area_level,area_level_label,area_id,iso3,area_name,sex,year,indicator,age_group_label,age_group,mean,provincial_value,ratio,organisation,country,pop_data_source,fertility_fit_level,admin1_level,mics,dhs,calendar_quarter
1,Província,AGO_1_10wp,AGO,HUÍLA,both,2022,prevalence,15-49,Y015_049,0.0087728374013854,NA,NA,angola,Angola,orderly,2,1,0,1,NA
1,Província,AGO_1_10wp,AGO,HUÍLA,both,2022,prevalence,15-29,Y015_029,0.00960849720297179,NA,NA,angola,Angola,orderly,2,1,0,1,NA
1,Província,AGO_1_10wp,AGO,HUÍLA,both,2022,prevalence,15-29,Y015_029,0.0037307111465571,NA,NA,angola,Angola,orderly,2,1,0,1,NA
1,Província,AGO_1_10wp,AGO,HUÍLA,both,2022,art_coverage,15-49,Y015_049,0.4237842032349618,NA,NA,angola,Angola,orderly,2,1,0,1,NA
1,Província,AGO_1_10wp,AGO,HUÍLA,both,2022,art_coverage,15-29,Y015_029,0.3240099845697665,NA,NA,angola,Angola,orderly,2,1,0,1,NA
1,Província,AGO_1_10wp,AGO,HUÍLA,both,2022,art_coverage,15-29,Y015_029,0.25779536386818364,NA,NA,angola,Angola,orderly,2,1,0,1,NA
1,Província,AGO_1_10wp,AGO,HUÍLA,both,2022,population,15-49,Y015_049,1446127.45876925,NA,NA,angola,Angola,orderly,2,1,0,1,NA
1,Província,AGO_1_10wp,AGO,HUÍLA,both,2022,population,15-29,Y015_029,226334.896006008,NA,NA,angola,Angola,orderly,2,1,0,1,NA
1,Província,AGO_1_10wp,AGO,HUÍLA,both,2022,population,15-29,Y015_029,660572.132270902,NA,NA,angola,Angola,orderly,2,1,0,1,NA
1,Província,AGO_1_10wp,AGO,HUÍLA,female,2022,prevalence,15-49,Y015_049,0.01114501348328446,NA,NA,angola,Angola,orderly,2,1,0,1,NA
1,Província,AGO_1_10wp,AGO,HUÍLA,female,2022,prevalence,15-29,Y015_029,0.01197745538762055,NA,NA,angola,Angola,orderly,2,1,0,1,NA
1,Província,AGO_1_10wp,AGO,HUÍLA,female,2022,prevalence,15-29,Y015_029,0.00440025440292012,NA,NA,angola,Angola,orderly,2,1,0,1,NA
1,Província,AGO_1_10wp,AGO,HUÍLA,female,2022,art_coverage,15-49,Y015_049,0.4741016117313611,NA,NA,angola,Angola,orderly,2,1,0,1,NA
