area_id,year,sex,population,age_group
AGO,2022,female,8270601.092233214,Y015_049
AGO,2022,male,8063822.520426753,Y015_049
AGO_1_10wp,2022,female,629472.5442346672,Y015_049
AGO_1_10wp,2022,male,575495.8240981653,Y015_049
AGO_1_11tw,2022,female,4814276.951348875,Y015_049
AGO_1_11tw,2022,male,4836381.306893877,Y015_049
AGO_1_12sy,2022,female,160258.54827690637,Y015_049
AGO_1_12sy,2022,male,147014.5251838528,Y015_049
AGO_1_13sz,2022,female,99129.00546318525,Y015_049
AGO_1_13sz,2022,male,83396.85302319955,Y015_049
AGO_1_14jw,2022,female,146534.6880114374,Y015_049
AGO_1_14jw,2022,male,140451.5169212419,Y015_049
AGO_1_15wo,2022,female,223017.91662898296,Y015_049
AGO_1_15wo,2022,male,223803.70017244734,Y015_049
AGO_1_16rk,2022,female,134867.39424362412,Y015_049
AGO_1_16rk,2022,male,124421.59210382054,Y015_049
AGO_1_17bv,2022,female,138039.14030060498,Y015_049
AGO_1_17bv,2022,male,131545.81077874135,Y015_049
AGO_1_18bk,2022,female,178695.96802633457,Y015_049
AGO_1_18bk,2022,male,176983.82572488708,Y015_049
AGO_1_1cl,2022,female,171236.84036920045,Y015_049
AGO_1_1cl,2022,male,177360.6247422695,Y015_049
AGO_1_2bo,2022,female,386866.835264544,Y015_049
AGO_1_2bo,2022,male,348073.2994475006,Y015_049
AGO_1_3hv,2022,female,169357.65938728428,Y015_049
AGO_1_3hv,2022,male,152994.86073128894,Y015_049
AGO_1_4pd,2022,female,350088.631274801,Y015_049
AGO_1_4pd,2022,male,358233.6717785481,Y015_049
AGO_1_5zb,2022,female,75951.79443257685,Y015_049
AGO_1_5zb,2022,male,58435.61920290764,Y015_049
AGO_1_6ih,2022,female,46876.2277567795,Y015_049
AGO_1_6ih,2022,male,45100.835177543864,Y015_049
AGO_1_7nw,2022,female,357516.82370926917,Y015_049
AGO_1_7nw,2022,male,351666.06027023605,Y015_049
AGO_1_8ql,2022,female,250077.81638427905,Y015_049
AGO_1_8ql,2022,male,205561.72706074454,Y015_049
AGO_1_9rq,2022,female,296402.647406115,Y015_049
AGO_1_9rq,2022,male,272010.7799483959,Y015_049
BDI,2022,female,2962280.753199333,Y015_049
BDI,2022,male,2917197.1207439485,Y015_049
BDI_1_1,2022,female,98290.92253304123,Y015_049
BDI_1_1,2022,male,110640.19349922486,Y015_049
BDI_1_10,2022,female,220274.33467578873,Y015_049
BDI_1_10,2022,male,204110.86415308373,Y015_049
BDI_1_11,2022,female,142082.24933723794,Y015_049
BDI_1_11,2022,male,141444.59076659675,Y015_049
BDI_1_12,2022,female,95939.62767733466,Y015_049
