iso3,year,age,sex,totpop,hivpop,artpop,infections
AGO,2022,15,female,409310,1061.59435,237.73625,217.02476
AGO,2022,15,male,410258.0313,861.43543,189.80021,14.64717
AGO,2022,16,female,393338.5625,1281.44557,307.16558,296.66558
AGO,2022,16,male,393934.25,793.90771,196.67529,22.37469
AGO,2022,17,female,377463.6563,1610.37332,424.80804,354.62603
AGO,2022,17,male,377716.0313,775.4563,194.16994,37.54806
AGO,2022,18,female,361399.8125,1945.71186,517.30409,384.36246
AGO,2022,18,male,360929.4688,763.82383,169.4622,61.17871
AGO,2022,19,female,346239.7188,2284.15061,627.90322,394.03337
AGO,2022,19,male,345055.75,787.85972,177.342,89.16154
AGO,2022,20,female,332405.5625,2623.98273,740.9321,399.48917
AGO,2022,20,male,330449.3125,846.12843,196.3118,117.19907
AGO,2022,21,female,319271.2813,2971.02063,859.294,403.86733
AGO,2022,21,male,316644.1563,928.65147,206.06752,140.36752
AGO,2022,22,female,306643.3125,3335.70918,1012.65872,398.44287
AGO,2022,22,male,303384.6875,1043.9421,227.57474,156.67936
AGO,2022,23,female,295555.8438,3716.36954,1196.85599,384.74905
AGO,2022,23,male,292024.0938,1173.47671,248.7993,165.36277
AGO,2022,24,female,285824.25,4106.56793,1397.76607,365.49898
AGO,2022,24,male,281718,1319.46029,274.23504,168.24138
AGO,2022,25,female,278052.3125,4489.37549,1606.66049,344.72865
AGO,2022,25,male,273536.75,1477.4101,306.35099,170.31104
AGO,2022,26,female,270808.5625,4872.21014,1835.00573,323.51101
AGO,2022,26,male,266180.2188,1655.37014,348.48499,172.23277
AGO,2022,27,female,263488.0625,5233.16772,2070.43323,302.25596
AGO,2022,27,male,258580.4219,1844.09583,399.725,171.21479
AGO,2022,28,female,256735.3281,5578.6481,2310.93119,283.05704
AGO,2022,28,male,251632.4531,2043.66897,459.70524,167.95259
AGO,2022,29,female,250072.4063,5897.74167,2551.30717,265.00946
AGO,2022,29,male,244824.7813,2249.35271,528.90033,162.71333
AGO,2022,30,female,243706.9375,6189.90466,2790.33154,246.73604
AGO,2022,30,male,238337.1406,2457.16016,605.90368,156.30481
AGO,2022,31,female,238192.4063,6468.91217,3034.22955,228.70663
AGO,2022,31,male,232816.8906,2672.05204,693.69844,149.78642
AGO,2022,32,female,231698.6875,6672.24564,3247.34273,210.81211
AGO,2022,32,male,226053.5938,2861.22765,781.46543,142.04541
AGO,2022,33,female,225001.1563,6824.22058,3439.47562,194.24645
AGO,2022,33,male,219330.2656,3037.68658,873.83151,134.26568
AGO,2022,34,female,217892.0625,6905.43237,3594.02996,178.6617
AGO,2022,34,male,212210.3281,3188.85764,965.20297,126.22068
AGO,2022,35,female,210420.4531,6895.9942,3719.48504,163.5413
AGO,2022,35,male,204721.8906,3290.34937,1059.16502,117.7231
AGO,2022,36,female,202960.2031,6824.95789,3805.35647,149.07448
AGO,2022,36,male,197264.4219,3361.41376,1145.66606,109.12323
AGO,2022,37,female,195211.7188,6685.85132,3842.45813,135.49896
AGO,2022,37,male,189432.4531,3395.17918,1220.4574,100.64056
AGO,2022,38,female,187310.4375,6486.72119,3831.07411,122.9704
AGO,2022,38,male,181246.125,3393.56183,1283.01861,92.44999
AGO,2022,39,female,178932.7969,6226.14435,3769.05597,111.18362
AGO,2022,39,male,172636.5781,3353.40472,1328.97664,84.50086
AGO,2022,40,female,170931.2031,5938.19092,3675.52034,100.48181
AGO,2022,40,male,164371.2656,3288.45609,1361.06782,77.01239
AGO,2022,41,female,163273.8281,5630.98694,3556.25277,90.72398
AGO,2022,41,male,156405.4844,3200.3938,1378.73507,69.9463
AGO,2022,42,female,155760.4219,5304.02277,3411.09339,81.82526
AGO,2022,42,male,148544.1563,3088.36517,1380.08123,63.3666
