area_level,area_level_label,area_id,iso3,area_name,sex,year,indicator,age_group_label,age_group,mean
1,Província,AGO_1_10wp,AGO,HUÍLA,female,2022,prevalence,15-49,Y015_049,0.01114501348328446
1,Província,AGO_1_10wp,AGO,HUÍLA,female,2022,prevalence,15-29,Y015_029,0.00639397796234957
1,Província,AGO_1_10wp,AGO,HUÍLA,female,2022,art_coverage,15-49,Y015_049,0.4741016117313611
1,Província,AGO_1_10wp,AGO,HUÍLA,female,2022,art_coverage,15-29,Y015_029,0.3219809011234524
1,Província,AGO_1_10wp,AGO,HUÍLA,female,2022,population,15-49,Y015_049,746813.557299506
1,Província,AGO_1_10wp,AGO,HUÍLA,female,2022,population,15-29,Y015_029,452337.328071032
1,Província,AGO_1_10wp,AGO,HUÍLA,male,2022,prevalence,15-49,Y015_049,0.00623953546853307
1,Província,AGO_1_10wp,AGO,HUÍLA,male,2022,prevalence,15-29,Y015_029,0.00401985486819449
1,Província,AGO_1_10wp,AGO,HUÍLA,male,2022,art_coverage,15-49,Y015_049,0.32780290105879323
1,Província,AGO_1_10wp,AGO,HUÍLA,male,2022,art_coverage,15-29,Y015_029,0.23395884459966873
1,Província,AGO_1_10wp,AGO,HUÍLA,male,2022,population,15-49,Y015_049,699313.901469742
1,Província,AGO_1_10wp,AGO,HUÍLA,male,2022,population,15-29,Y015_029,434569.700205877
1,Província,AGO_1_11tw,AGO,LUANDA,female,2022,prevalence,15-49,Y015_049,0.01899623291431248
1,Província,AGO_1_11tw,AGO,LUANDA,female,2022,prevalence,15-29,Y015_029,0.01017159125167607
1,Província,AGO_1_11tw,AGO,LUANDA,female,2022,art_coverage,15-49,Y015_049,0.43524149078058416
1,Província,AGO_1_11tw,AGO,LUANDA,female,2022,art_coverage,15-29,Y015_029,0.2778992916085006
1,Província,AGO_1_11tw,AGO,LUANDA,female,2022,population,15-49,Y015_049,2656962.06528498
1,Província,AGO_1_11tw,AGO,LUANDA,female,2022,population,15-29,Y015_029,1515874.616079166
1,Província,AGO_1_11tw,AGO,LUANDA,male,2022,prevalence,15-49,Y015_049,0.00972859030393195
1,Província,AGO_1_11tw,AGO,LUANDA,male,2022,prevalence,15-29,Y015_029,0.00578590929425052
1,Província,AGO_1_11tw,AGO,LUANDA,male,2022,art_coverage,15-49,Y015_049,0.29146328357454165
1,Província,AGO_1_11tw,AGO,LUANDA,male,2022,art_coverage,15-29,Y015_029,0.1962191566915791
1,Província,AGO_1_11tw,AGO,LUANDA,male,2022,population,15-49,Y015_049,2741090.08713704
1,Província,AGO_1_11tw,AGO,LUANDA,male,2022,population,15-29,Y015_029,1561182.064405811
1,Província,AGO_1_12sy,AGO,LUNDA NORTE,female,2022,prevalence,15-49,Y015_049,0.04434330034127749
1,Província,AGO_1_12sy,AGO,LUNDA NORTE,female,2022,prevalence,15-29,Y015_029,0.02337765880444717
1,Província,AGO_1_12sy,AGO,LUNDA NORTE,female,2022,art_coverage,15-49,Y015_049,0.6900984299951455
1,Província,AGO_1_12sy,AGO,LUNDA NORTE,female,2022,art_coverage,15-29,Y015_029,0.5320155222786526
1,Província,AGO_1_12sy,AGO,LUNDA NORTE,female,2022,population,15-49,Y015_049,243049.632291569
1,Província,AGO_1_12sy,AGO,LUNDA NORTE,female,2022,population,15-29,Y015_029,129951.5562539373
