area_id,year,sex,age_group,population
AGO,2022,female,Y015_029,4705786.088442311
AGO,2022,female,Y015_039,6861573.651445423
AGO,2022,female,Y015_049,8270601.092233214
AGO,2022,male,Y015_029,4659056.38183009
AGO,2022,male,Y015_039,6749680.189951616
AGO,2022,male,Y015_049,8063822.520426753
AGO_1_10wp,2022,female,Y015_029,377981.54980708053
AGO_1_10wp,2022,female,Y015_039,526966.9515688044
AGO_1_10wp,2022,female,Y015_049,629472.5442346672
AGO_1_10wp,2022,male,Y015_029,357822.3089690588
AGO_1_10wp,2022,male,Y015_039,485857.5830253406
AGO_1_10wp,2022,male,Y015_049,575495.8240981653
AGO_1_11tw,2022,female,Y015_029,2722631.8126683626
AGO_1_11tw,2022,female,Y015_039,4019243.9038785473
AGO_1_11tw,2022,female,Y015_049,4814276.951348875
AGO_1_11tw,2022,male,Y015_029,2756441.8406923795
AGO_1_11tw,2022,male,Y015_039,4068309.7065750705
AGO_1_11tw,2022,male,Y015_049,4836381.306893877
AGO_1_12sy,2022,female,Y015_029,84909.76954871982
AGO_1_12sy,2022,female,Y015_039,131183.4459622138
AGO_1_12sy,2022,female,Y015_049,160258.54827690637
AGO_1_12sy,2022,male,Y015_029,75979.24742248263
AGO_1_12sy,2022,male,Y015_039,117515.98068147598
AGO_1_12sy,2022,male,Y015_049,147014.5251838528
AGO_1_13sz,2022,female,Y015_029,55639.866784023645
AGO_1_13sz,2022,female,Y015_039,82727.162385741045
AGO_1_13sz,2022,female,Y015_049,99129.00546318525
AGO_1_13sz,2022,male,Y015_029,47982.86716421745
AGO_1_13sz,2022,male,Y015_039,69040.03835851637
AGO_1_13sz,2022,male,Y015_049,83396.85302319955
AGO_1_14jw,2022,female,Y015_029,88954.44991549532
AGO_1_14jw,2022,female,Y015_039,126195.46123244862
AGO_1_14jw,2022,female,Y015_049,146534.6880114374
AGO_1_14jw,2022,male,Y015_029,88445.32100100719
AGO_1_14jw,2022,male,Y015_039,122949.67818227004
AGO_1_14jw,2022,male,Y015_049,140451.5169212419
AGO_1_15wo,2022,female,Y015_029,130403.14710599981
AGO_1_15wo,2022,female,Y015_039,188549.16838710476
AGO_1_15wo,2022,female,Y015_049,223017.91662898296
AGO_1_15wo,2022,male,Y015_029,133228.69001562265
AGO_1_15wo,2022,male,Y015_039,189938.23695668974
AGO_1_15wo,2022,male,Y015_049,223803.70017244734
AGO_1_16rk,2022,female,Y015_029,83732.69885722533
AGO_1_16rk,2022,female,Y015_039,116029.37135684882
AGO_1_16rk,2022,female,Y015_049,134867.39424362412
AGO_1_16rk,2022,male,Y015_029,77654.28220205911
AGO_1_16rk,2022,male,Y015_039,107485.75039591208
AGO_1_16rk,2022,male,Y015_049,124421.59210382054
AGO_1_17bv,2022,female,Y015_029,71197.52670622354
AGO_1_17bv,2022,female,Y015_039,107651.47624370042
AGO_1_17bv,2022,female,Y015_049,138039.14030060498
AGO_1_17bv,2022,male,Y015_029,73326.8884389839
AGO_1_17bv,2022,male,Y015_039,105113.29464235106
AGO_1_17bv,2022,male,Y015_049,131545.81077874135
AGO_1_18bk,2022,female,Y015_029,92264.43476565085
AGO_1_18bk,2022,female,Y015_039,145046.35789159327
AGO_1_18bk,2022,female,Y015_049,178695.96802633457
AGO_1_18bk,2022,male,Y015_029,94176.15430596848
AGO_1_18bk,2022,male,Y015_039,145394.25648343767
AGO_1_18bk,2022,male,Y015_049,176983.82572488708
AGO_1_1cl,2022,female,Y015_029,95681.15346139719
AGO_1_1cl,2022,female,Y015_039,144384.65418495235
AGO_1_1cl,2022,female,Y015_049,171236.84036920045
AGO_1_1cl,2022,male,Y015_029,99761.18770971852
AGO_1_1cl,2022,male,Y015_039,151235.41738982382
AGO_1_1cl,2022,male,Y015_049,177360.6247422695
AGO_1_2bo,2022,female,Y015_029,207137.96229559733
AGO_1_2bo,2022,female,Y015_039,297705.194297665
AGO_1_2bo,2022,female,Y015_049,386866.835264544
AGO_1_2bo,2022,male,Y015_029,193994.47624986473
AGO_1_2bo,2022,male,Y015_039,272911.3296978258
AGO_1_2bo,2022,male,Y015_049,348073.2994475006
AGO_1_3hv,2022,female,Y015_029,98267.85040402929
AGO_1_3hv,2022,female,Y015_039,137756.69361414964
AGO_1_3hv,2022,female,Y015_049,169357.65938728428
AGO_1_3hv,2022,male,Y015_029,91723.68336094306
AGO_1_3hv,2022,male,Y015_039,126989.12011359683
AGO_1_3hv,2022,male,Y015_049,152994.86073128894
AGO_1_4pd,2022,female,Y015_029,207396.08289726227
AGO_1_4pd,2022,female,Y015_039,297629.7380228815
AGO_1_4pd,2022,female,Y015_049,350088.631274801
AGO_1_4pd,2022,male,Y015_029,210036.23941729756
AGO_1_4pd,2022,male,Y015_039,302147.2532227848
AGO_1_4pd,2022,male,Y015_049,358233.6717785481
AGO_1_5zb,2022,female,Y015_029,49762.011853071286
AGO_1_5zb,2022,female,Y015_039,67863.86492972859
AGO_1_5zb,2022,female,Y015_049,75951.79443257685
AGO_1_5zb,2022,male,Y015_029,39007.832042115915
AGO_1_5zb,2022,male,Y015_039,52019.26724642962
AGO_1_5zb,2022,male,Y015_049,58435.61920290764
AGO_1_6ih,2022,female,Y015_029,26125.790858811375
AGO_1_6ih,2022,female,Y015_039,38021.39558181735
AGO_1_6ih,2022,female,Y015_049,46876.2277567795
AGO_1_6ih,2022,male,Y015_029,26588.690239099713
AGO_1_6ih,2022,male,Y015_039,37779.05080864579
AGO_1_6ih,2022,male,Y015_049,45100.835177543864
AGO_1_7nw,2022,female,Y015_029,193222.9122654482
AGO_1_7nw,2022,female,Y015_039,279821.00984736846
AGO_1_7nw,2022,female,Y015_049,357516.82370926917
AGO_1_7nw,2022,male,Y015_029,194395.31633787914
AGO_1_7nw,2022,male,Y015_039,278409.50810129475
AGO_1_7nw,2022,male,Y015_049,351666.06027023605
AGO_1_8ql,2022,female,Y015_029,151624.90283130956
AGO_1_8ql,2022,female,Y015_039,212008.9297600045
AGO_1_8ql,2022,female,Y015_049,250077.81638427905
AGO_1_8ql,2022,male,Y015_029,132595.56847815472
AGO_1_8ql,2022,male,Y015_039,179258.18855927023
AGO_1_8ql,2022,male,Y015_049,205561.72706074454
AGO_1_9rq,2022,female,Y015_029,170599.24671155168
AGO_1_9rq,2022,female,Y015_039,237079.51450179567
AGO_1_9rq,2022,female,Y015_049,296402.647406115
AGO_1_9rq,2022,male,Y015_029,164897.5277424826
AGO_1_9rq,2022,male,Y015_039,223985.78615409974
AGO_1_9rq,2022,male,Y015_049,272010.7799483959
BDI,2022,female,Y015_029,1595862.974545374
BDI,2022,female,Y015_039,2449949.178518973
BDI,2022,female,Y015_049,2962280.753199333
BDI,2022,male,Y015_029,1593537.7047645051
BDI,2022,male,Y015_039,2426794.9640253107
BDI,2022,male,Y015_049,2917197.1207439485
BDI_1_1,2022,female,Y015_029,52518.56129236455
BDI_1_1,2022,female,Y015_039,81764.9172450134
BDI_1_1,2022,female,Y015_049,98290.92253304123
BDI_1_1,2022,male,Y015_029,59473.45670245513
BDI_1_1,2022,male,Y015_039,92791.32828072432
BDI_1_1,2022,male,Y015_049,110640.19349922486
BDI_1_10,2022,female,Y015_029,117455.65072664831
BDI_1_10,2022,female,Y015_039,182632.63628784724
BDI_1_10,2022,female,Y015_049,220274.33467578873
BDI_1_10,2022,male,Y015_029,110232.35760122299
BDI_1_10,2022,male,Y015_039,169187.68080018507
BDI_1_10,2022,male,Y015_049,204110.86415308373
BDI_1_11,2022,female,Y015_029,77054.17677535283
BDI_1_11,2022,female,Y015_039,118345.57106989074
BDI_1_11,2022,female,Y015_049,142082.24933723794
BDI_1_11,2022,male,Y015_029,77148.2468992628
BDI_1_11,2022,male,Y015_039,117758.1291824699
BDI_1_11,2022,male,Y015_049,141444.59076659675
BDI_1_12,2022,female,Y015_029,51071.461897339446
