kp,iso3,value,year
PWID,AGO,35,2020
PWID,BEN,76,2020
PWID,BWA,87,2020
PWID,BFA,83,2020
PWID,BDI,96,2020
PWID,CMR,77,2020
PWID,CAF,58,2020
PWID,TCD,73,2020
PWID,COG,25,2020
PWID,CIV,75,2020
PWID,COD,82,2020
PWID,GNQ,38,2020
PWID,SWZ,98,2020
PWID,ETH,81,2020
PWID,GAB,54,2020
PWID,GMB,31,2020
PWID,GHA,63,2020
PWID,GIN,52,2020
PWID,GNB,61,2020
PWID,KEN,86,2020
PWID,LSO,82,2020
PWID,LBR,55,2020
PWID,MWI,87,2020
PWID,MLI,55,2020
PWID,MOZ,69,2020
PWID,"NAM",88,2020
PWID,NER,71,2020
PWID,NGA,89,2020
PWID,RWA,94,2020
PWID,SEN,81,2020
PWID,SLE,54,2020
PWID,ZAF,69,2020
PWID,SSD,24,2020
PWID,TGO,74,2020
PWID,UGA,93,2020
PWID,TZA,84,2020
PWID,ZMB,82,2020
PWID,ZWE,94,2020
FSW,AGO,39,2020
FSW,BEN,86,2020
FSW,BWA,95,2020
FSW,BFA,98,2020
FSW,BDI,98,2020
FSW,CMR,80,2020
FSW,CAF,64,2020
FSW,TCD,78,2020
FSW,COG,25,2020
FSW,CIV,83,2020
FSW,COD,74,2020
FSW,GNQ,53,2020
FSW,SWZ,98,2020
FSW,ETH,80,2020
FSW,GAB,53,2020
FSW,GMB,38,2020
FSW,GHA,69,2020
FSW,GIN,54,2020
FSW,GNB,73,2020
FSW,KEN,91,2020
FSW,LSO,87,2020
FSW,LBR,65,2020
FSW,MWI,89,2020
FSW,MLI,62,2020
FSW,MOZ,73,2020
FSW,"NAM",92,2020
FSW,NER,81,2020
FSW,NGA,98,2020
FSW,RWA,96,2020
FSW,SEN,95,2020
FSW,SLE,65,2020
FSW,ZAF,75,2020
FSW,SSD,25,2020
FSW,TGO,83,2020
FSW,UGA,96,2020
FSW,TZA,90,2020
FSW,ZMB,84,2020
FSW,ZWE,96,2020
MSM,AGO,27,2020
MSM,BEN,58,2020
MSM,BWA,77,2020
MSM,BFA,62,2020
MSM,BDI,82,2020
MSM,CMR,70,2020
MSM,CAF,47,2020
MSM,TCD,65,2020
MSM,COG,24,2020
MSM,CIV,61,2020
MSM,COD,98,2020
MSM,GNQ,21,2020
MSM,SWZ,94,2020
MSM,ETH,81,2020
MSM,GAB,56,2020
MSM,GMB,19,2020
MSM,GHA,49,2020
MSM,GIN,46,2020
MSM,GNB,40,2020
MSM,KEN,77,2020
MSM,LSO,74,2020
MSM,LBR,37,2020
MSM,MWI,83,2020
MSM,MLI,44,2020
MSM,MOZ,62,2020
MSM,"NAM",82,2020
MSM,NER,59,2020
MSM,NGA,73,2020
MSM,RWA,92,2020
MSM,SEN,61,2020
MSM,SLE,35,2020
MSM,ZAF,60,2020
MSM,SSD,23,2020
MSM,TGO,59,2020
MSM,UGA,86,2020
MSM,TZA,74,2020
MSM,ZMB,80,2020
MSM,ZWE,92,2020
