iso3,X,year,kp,value,denominator,provincial_value,ratio,x,region,log_kp_prev,log_gen_prev,log_gen_prev2,logit_kp_prev,logit_gen_prev,logit_gen_prev2,positive,negative
BDI,3,2011,MSM,0.011,355,0.00836602202647938,1.31484234265506,NA,WCA,-4.509860006183766,-4.783576773108869,-4.783576773108869,-4.498799058824342,-4.775175559507002,-4.775175559507002,4,351
BDI,4,2011,MSM,0.015,410,0.013205257951356,1.13591116926722,NA,WCA,-4.199705077879927,-4.327140199053823,-4.327140199053823,-4.1845914400698785,-4.313846976427978,-4.313846976427978,6,404
BDI,5,2011,MSM,0.036,55,0.013205257951356,2.72618680624132,NA,WCA,-3.3242363405260273,-4.327140199053823,-4.327140199053823,-3.2875723561544357,-4.313846976427978,-4.313846976427978,2,53
BDI,6,2017,PWID,0.102,127,0.00953555500029607,10.6968078939121,NA,WCA,-2.282782465697866,-4.6527278349854075,-4.6527278349854075,-2.1751972550179284,-4.643146525485185,-4.643146525485185,13,114
BDI,7,2011,FSW,0.199,1216,0.017324872594974,11.4863759550954,NA,WCA,-1.6144504542576446,-4.055612087758664,-4.055612087758664,-1.3925561223438667,-4.038135383358557,-4.038135383358557,242,974
BDI,8,2011,FSW,0.243,576,0.00657408649282551,36.9633104561665,NA,WCA,-1.4146938356415886,-5.024619647023266,-5.024619647023266,-1.1363018100969002,-5.018023856046767,-5.018023856046767,140,436
BDI,9,2011,FSW,0.283,640,0.017324872594974,16.3348964587537,NA,WCA,-1.2623083813388996,-4.055612087758664,-4.055612087758664,-0.929628942956383,-4.038135383358557,-4.038135383358557,181,459
BDI,10,2013,FSW,0.225,342,0.0160955514286679,13.9790178048358,NA,WCA,-1.491654876777717,-4.129212353950415,-4.129212353950415,-1.2367626271489267,-4.11298586219509,-4.11298586219509,77,265
BDI,11,2011,FSW,0.265,1216,0.017324872594974,15.2959277793984,NA,WCA,-1.3280254529959148,-4.055612087758664,-4.055612087758664,-1.0201406732266145,-4.038135383358557,-4.038135383358557,322,894
BWA,2,2013,MSM,0.131,450,0.18769276265543,0.697949127854718,NA,ESA,-2.0325579557809856,-1.6729488941755157,-1.6729488941755157,-1.8921458020642405,-1.4650722549047606,-1.4650722549047606,59,391
