iso3,year,kp,is_national,logit_proportion,population_proportion
AGO,2011,MSM,0,-3.870965782141922,0.020412866411760332
AGO,2017,FSW,0,-2.998027925651956,0.04751504446670469
AGO,2017,FSW,0,-3.1927778530621325,0.03943841134193837
AGO,2017,FSW,0,-3.9156765891947907,0.019537732057793446
AGO,2017,FSW,0,-3.134868553306274,0.04169165688822002
AGO,2017,FSW,0,-5.3200705541099635,0.004868589405180442
AGO,2017,MSM,0,-3.368580610405126,0.03329195966503806
AGO,2017,MSM,0,-3.139429729751366,0.04150980256369924
AGO,2017,MSM,0,-5.91810195114045,0.0026830833543891055
AGO,2017,MSM,0,-5.650716606608161,0.0035026850745612896
AGO,2017,MSM,0,-6.520247356498851,0.0014711371925730412
AGO,2017,TG,0,-5.421352933016079,0.004401700438326631
AGO,2017,TG,0,-6.856303719028046,0.0010516909691183566
AGO,2017,TG,0,-10.109153105211941,4.070360845373635e-5
AGO,2017,TG,0,-7.388963997693441,6.176541761217781e-4
AGO,2017,TG,0,-8.502801985582158,2.0285789188251839e-4
AGO,2015,FSW,0,-3.1646998713129024,0.040515953771283725
AGO,2015,FSW,0,-4.370312501357947,0.01248933148786942
BWA,2012,MSM,0,-4.254903303192761,0.013995800364724014
BWA,2012,MSM,0,-4.6889111928815,0.009112885710369932
BWA,2017,MSM,0,-4.452210289455946,0.011518559198442364
BWA,2017,MSM,0,-6.1181738687497615,0.002197634067512992
BWA,2017,MSM,0,-4.197448608989101,0.014811215140660187
BWA,2017,MSM,0,-5.288385261310422,0.00502453452458177
BWA,2017,MSM,0,-5.718831333208814,0.0032727996438333138
BWA,2017,MSM,0,-4.1400782400337786,0.015672081053017265
BWA,2017,MSM,0,-5.296448325933547,0.00498438539119119
BWA,2017,MSM,0,-2.44978705087167,0.0794541231366244
BWA,2017,MSM,0,-5.407046223172491,0.004464843730269948
BWA,2012,FSW,0,-2.001845828717917,0.11900925802571556
BWA,2012,FSW,0,-3.219001182380516,0.03845690272708129
BWA,2012,FSW,0,-2.3671044027507406,0.0857157912712187
BWA,2017,FSW,1,-4.488138979782215,0.011116577589105739
SWZ,2015,FSW,0,-1.3258856697353607,0.20984073805940578
SWZ,2015,FSW,0,-2.243195748073119,0.09593800386345362
SWZ,2015,FSW,0,-5.334329507566272,0.004799991862478421
SWZ,2015,FSW,0,-1.731266742061114,0.1504256212589887
SWZ,2015,FSW,0,-4.749445561756866,0.008582201592693977
SWZ,2015,FSW,0,-4.0680449667698975,0.0168229536958546
SWZ,2015,FSW,0,-4.0680449667698975,0.0168229536958546
SWZ,2015,FSW,1,-4.2802299134400865,0.013650563144830383
SWZ,2015,FSW,0,-3.5165167352562237,0.028845915529230784
SWZ,2015,FSW,1,-3.14089578664709,0.04145151213252057
SWZ,2016,FSW,0,-3.634017864545934,0.02573032542884446
SWZ,2015,MSM,0,-2.594123085944917,0.06951760759884677
SWZ,2015,MSM,0,-2.246234432844351,0.095674770277643
SWZ,2015,MSM,0,-4.838165929895572,0.007859311369262267
SWZ,2015,MSM,0,-4.2699178362832235,0.013790105883027943
SWZ,2015,MSM,1,-4.691952223240291,0.009085466642067252
SWZ,2015,MSM,1,-3.8163875410406667,0.021533271332773565
SWZ,2016,MSM,0,-3.9510190691227622,0.018872083671973877
ETH,2015,PWID,0,-8.065261936424744,0.00031417005072266073
ETH,2013,FSW,0,-5.180568081625288,0.005593348631144275
ETH,2013,FSW,0,-4.617587146669964,0.009780004938502122
ETH,2013,FSW,0,-5.08168443851,0.0061711215667725455
ETH,2013,FSW,0,-4.71670919783606,0.008865268988830631
ETH,2020,FSW,1,-4.903624457972798,0.007364996458488846
ETH,2020,PWID,1,-8.557032087580895,1.9215191824124538e-4
ETH,2012,FSW,0,-4.574287202249016,0.010208362643691373
ETH,2013,FSW,0,-5.890493755711934,0.00275798331509007
ETH,2013,FSW,0,-5.8012486161886105,0.0030146611878578097
ETH,2013,FSW,0,-2.6588889087733083,0.06544325544724448
ETH,2013,FSW,0,-4.775150645741556,0.008366228714398924
ETH,2013,FSW,0,-5.2163541789724155,0.005397785054199703
ETH,2013,FSW,0,-5.189641027239626,0.005543110036428157
ETH,2013,FSW,0,-4.701683960237579,0.008998269849880353
ETH,2013,FSW,0,-4.90226852335034,0.007374915986520154
ETH,2013,FSW,0,-4.734053482978885,0.008714161355340286
ETH,2013,FSW,0,-4.6987860857054,0.009024147872043335
ETH,2013,FSW,0,-3.135297593877602,0.0416745186019983
ETH,2013,FSW,0,-5.836481536574649,0.0029105989926049352
ETH,2013,FSW,0,-5.5236522941478965,0.003975377390581727
ETH,2013,FSW,0,-6.902894436354404,0.0010038639202647882
ETH,2013,FSW,0,-5.15266339333716,0.005750717153897376
ETH,2013,FSW,0,-8.35525795789627,2.351015317636616e-4
ETH,2013,FSW,0,-6.7668790818976365,0.0011499581808025697
ETH,2013,FSW,0,-8.421717638272597,2.199879797832865e-4
KEN,2010,MSM,0,-4.718685903913891,0.008847917164292793
KEN,2010,MSM,0,-5.886204738594178,0.00276980492202734
KEN,2010,MSM,0,-3.9508743283074956,0.018874763869147975
KEN,2010,MSM,0,-4.60428887901636,0.009909633249093216
KEN,2010,FSW,0,-2.932850239682624,0.05055334458751978
KEN,2010,FSW,0,-4.1604550626790395,0.015360821284878045
KEN,2010,FSW,0,0.4153372138594421,0.6023669494795076
KEN,2010,PWID,0,-4.587112483981913,0.010079584759188336
KEN,2010,PWID,0,-5.130829586476783,0.005876911939279476
KEN,2010,PWID,0,-6.102944308195842,0.0022312839760406794
KEN,2010,PWID,0,-5.98627754298966,0.002506701855015289
KEN,2020,FSW,0,-5.313020541102822,0.004902865420941575
KEN,2020,FSW,0,-6.201097851516679,0.0020231026039818924
KEN,2020,FSW,0,-4.797979934284523,0.00817894175057179
KEN,2020,FSW,0,-4.421178632373664,0.011877290993265807
KEN,2020,FSW,0,-6.163247802248162,0.0021009808051616913
KEN,2020,FSW,0,-5.221868509931418,0.0053682611453038445
KEN,2020,FSW,0,-6.166506585824053,0.002094159621797964
KEN,2020,FSW,0,-5.472776715325282,0.004181992477366931
KEN,2020,FSW,0,-1.9387467588933673,0.1257856027818013
KEN,2020,FSW,0,-5.707825467326972,0.0033088987377653633
KEN,2020,FSW,0,-4.791416691442788,0.008232355306833616
KEN,2020,FSW,0,-4.981193080137271,0.006819047473302845
KEN,2020,FSW,0,-4.839605798255803,0.007848091886657046
KEN,2020,FSW,0,-4.817269244017754,0.008023941248432765
KEN,2020,FSW,0,-2.96718389300218,0.04893060814638257
KEN,2020,FSW,0,-4.219088999685998,0.014498735089687116
KEN,2020,FSW,0,-2.6513597935724564,0.06590524879407704
KEN,2020,FSW,0,-1.5367634598174351,0.17700626514703402
KEN,2020,FSW,0,-3.583590752317431,0.027025138633164986
KEN,2020,FSW,0,-4.452665116588675,0.01151338174077107
KEN,2020,FSW,0,-6.133322810257999,0.002164664659543131
KEN,2020,FSW,0,-4.404023907465142,0.012080317723032367
KEN,2020,FSW,0,-3.437201261726597,0.03115284589395405
KEN,2020,FSW,0,-3.8186192143735704,0.02148630106509478
KEN,2020,MSM,0,-6.555269084692853,0.0014205790997592854
KEN,2020,MSM,0,-6.736851422915554,0.001184970858823599
KEN,2020,MSM,0,-6.1705023838990645,0.0020858258976953407
KEN,2020,MSM,0,-3.800770273532655,0.02186479124153895
KEN,2020,MSM,0,-6.4238273647797035,0.0016198066564328437
KEN,2020,MSM,0,-6.300064391294927,0.0018328211372929174
KEN,2020,MSM,0,-6.838017056577638,0.0010710790190509242
KEN,2020,MSM,0,-6.252592585264887,0.001921755496275485
KEN,2020,MSM,0,-5.4371390536885675,0.004333058966735049
KEN,2020,MSM,0,-5.441792383123013,0.004313029418352606
KEN,2020,MSM,0,-5.7171865620838735,0.0032781694185930804
KEN,2020,MSM,0,-2.854917662889125,0.0544276729456571
KEN,2020,MSM,0,-4.279785932143519,0.013656542300004407
KEN,2020,MSM,0,-3.2000640916633514,0.039163310985332406
KEN,2020,MSM,0,-1.6029441034219356,0.16757053793115873
KEN,2020,MSM,0,-4.189549650808148,0.014926918327911794
KEN,2020,MSM,0,-5.574925246640568,0.0037774358916711323
