"","iso3","year","kp","population_proportion","study_idx","logit_proportion"
"1","BDI",2011,"FSW",0.0129867723177379,5,-4.33075211582817
"2","BDI",2013,"FSW",0.0229671505507318,7,-3.75045531614869
"3","BDI",2013,"FSW",0.0555980037793092,7,-2.83240462159187
"4","BDI",2014,"FSW",0.0222923788724299,9,-3.78096580398121
"5","BDI",2014,"FSW",0.0528668180900013,9,-2.88566383411619
"6","BDI",2011,"MSM",0.00306520542259351,6,-5.78457077699994
"7","BDI",2013,"MSM",0.00426799683153466,8,-5.45233355719174
"8","BDI",2013,"MSM",0.0109531302600521,8,-4.50311643763339
"9","BDI",2014,"MSM",0.00416153322364113,10,-5.47770149273459
"10","BDI",2014,"MSM",0.0103667867853907,10,-4.55872726531209
"11","BEN",2000,"FSW",0.00657802160824433,11,-5.01742149415375
"12","BEN",2001,"FSW",0.00918367936829222,12,-4.68110124267658
"13","BEN",2004,"FSW",0.00445468767349192,13,-5.4093336881172
"14","BEN",2004,"FSW",0.000703610780263426,13,-7.25858136520812
"15","BEN",2004,"FSW",0.00536848877020174,13,-5.2218258799976
"16","BEN",2004,"FSW",0.00444753946266419,13,-5.41094680627491
"17","BEN",2012,"FSW",0.00563209427547793,14,-5.17362590669055
"18","BEN",2014,"FSW",0.00618005394336159,16,-5.08022904932972
"19","BEN",2014,"FSW",0.0100161373347475,16,-4.59349111685762
"20","BEN",2014,"FSW",0.00660096924650014,16,-5.01391593320626
"21","BEN",2017,"FSW",0.0109250889077002,21,-4.5057081940805
"22","BEN",2017,"FSW",0.0148040533067191,21,-4.19793953669152
"23","BEN",2013,"MSM",0.000601955451899381,15,-7.41472497886092
"24","BEN",2014,"MSM",0.00157364194350212,17,-6.45278775533829
"25","BEN",2015,"MSM",0.00234334629042222,19,-6.05382923627883
"26","BEN",2015,"MSM",0.0037976796463273,19,-5.56956010900028
"27","BEN",2016,"MSM",0.0035732956208712,20,-5.63068727083294
"28","BEN",2014,"PWID",0.00100916112095197,18,-6.8976261958941
"29","BFA",2000,"FSW",0.0204901062612232,22,-3.86711018989744
"30","BFA",2014,"FSW",0.00762844306980037,24,-4.86821381980119
"31","BFA",2014,"FSW",0.00797025672369431,24,-4.82403638643948
"32","BFA",2014,"FSW",0.0172823023304953,24,-4.04063890321622
"33","BFA",2014,"FSW",0.00551958293224114,24,-5.19391810518502
"34","BFA",2014,"FSW",0.0195959108087259,24,-3.91264391032511
"35","BFA",2014,"FSW",0.0118049669907172,24,-4.42735970577639
"36","BFA",2017,"FSW",0.00492167719642475,26,-5.30917208445066
"37","BFA",2013,"MSM",0.000442777103972026,23,-7.72200119068821
"38","BFA",2014,"MSM",0.00662884926714461,25,-5.00967313671376
"39","BFA",2014,"MSM",0.00495261812200069,25,-5.30287400571206
"40","BFA",2014,"MSM",0.00277590027574721,25,-5.88400040047323
"41","CIV",2000,"FSW",0.00145656538179623,27,-6.53021646570352
"42","CIV",2001,"FSW",0.00442781170538082,28,-5.41541214517006
"43","CIV",2004,"FSW",0.00500968173940251,29,-5.29136061871028
"44","CIV",2004,"FSW",0.00494266567551198,29,-5.30489556184515
"45","CIV",2004,"FSW",0.00395389373569912,29,-5.52909269869524
"46","CIV",2009,"FSW",0.00667603418035633,30,-5.00253273473187
"47","CIV",2009,"FSW",0.00383601788983578,30,-5.55947706402596
"48","CIV",2009,"FSW",0.00460906311941182,30,-5.37511095291892
"49","CIV",2009,"FSW",0.00527761806578083,30,-5.23898881306973
"50","CIV",2009,"FSW",0.00498718310933063,30,-5.29588437515168
"51","CIV",2009,"FSW",0.0254584712544484,30,-3.64491858714654
"52","CIV",2009,"FSW",0.0177261864676832,30,-4.0148270942996
"53","CIV",2009,"FSW",0.0083425037736047,30,-4.77801439778778
"54","CIV",2009,"FSW",0.00807430145262587,30,-4.8109618458698
"55","CIV",2009,"FSW",0.0051946366496522,30,-5.25492042351427
"56","CIV",2010,"FSW",0.00485453460718877,31,-5.32297568415657
"57","CIV",2010,"FSW",0.0175105566954424,31,-4.02728566016442
