"","iso3","area_name","kp","lower","median","upper"
"1","AGO","Angola","FSW",0.0142391976420214,0.0257695131577417,0.0514325275786486
"2","BDI","Burundi","FSW",0.0105620028114865,0.0206502196276025,0.0399574803659053
"3","BEN","Benin","FSW",0.0040060294822343,0.00651476100251062,0.0104178932483328
"4","BFA","Burkina Faso","FSW",0.00524046793228967,0.0088941686309075,0.0153286375247208
"5","BWA","Botswana","FSW",0.0102790643948931,0.0178409545793868,0.0296421412636925
"6","CAF","Central African Republic","FSW",0.00545184426309031,0.0175368177784936,0.061843187536568
"7","CIV","Côte d’Ivoire","FSW",0.00396351817243972,0.00596467965321255,0.00853589808178859
"8","CMR","Cameroon","FSW",0.0117581258882397,0.0151539781016716,0.0190899079165756
"9","COD","Congo - Kinshasa","FSW",0.0100689762921358,0.0185823082736894,0.0349793960571326
"10","COG","Congo - Brazzaville","FSW",0.0119741300454544,0.0221153427226888,0.0407652573849231
"11","ETH","Ethiopia","FSW",0.00374235365552356,0.00582465907299936,0.00834157052349773
"12","GAB","Gabon","FSW",0.00448062093302366,0.016724734504625,0.0710746000059236
"13","GHA","Ghana","FSW",0.00387841349843688,0.00625675284597443,0.0103021111659171
"14","GIN","Guinea","FSW",0.0032800201788092,0.00724496476616645,0.0160688404916073
"15","GMB","Gambia","FSW",0.00304829742508632,0.0122955675877788,0.0486237791342866
"16","GNB","Guinea-Bissau","FSW",0.00143244129031021,0.00780047294409023,0.0464047267956136
"17","GNQ","Equatorial Guinea","FSW",0.0026362993444695,0.0170293792805123,0.0973317322785264
"18","KEN","Kenya","FSW",0.00622143380858691,0.011378441174111,0.0197429373119807
"19","LBR","Liberia","FSW",0.00271160834393729,0.0105782283332177,0.0428225368966595
"20","LSO","Lesotho","FSW",0.0117804013378771,0.0224017324242801,0.041984361746753
"21","MLI","Mali","FSW",0.00417131685781875,0.00608077218787047,0.00859622011442642
"22","MOZ","Mozambique","FSW",0.0135418990451317,0.0221641856132567,0.0394458835827703
"23","MWI","Malawi","FSW",0.00607594338138768,0.00929165223955666,0.0144063317640019
"24","NAM","Namibia","FSW",0.0187850709557342,0.029226560771679,0.0455337472588452
"25","NER","Niger","FSW",0.00624750799936369,0.0112971223700669,0.0207120885853293
"26","NGA","Nigeria","FSW",0.0112139003247101,0.0150494435845045,0.0192461502975775
"27","RWA","Rwanda","FSW",0.00286408822547958,0.00507648335279502,0.00871168051782255
"28","SEN","Senegal","FSW",0.00397971973461422,0.00810428739207032,0.0144688706575319
"29","SLE","Sierra Leone","FSW",0.00684166790696262,0.0278315924249606,0.0997260553879479
"30","SSD","South Sudan","FSW",0.00180945230047854,0.0130725766844388,0.0737522317894181
"31","SWZ","Eswatini","FSW",0.016837642359225,0.0295267335105186,0.0500060414243107
"32","TCD","Chad","FSW",0.00494260966617825,0.0140018749667453,0.0455262554360752
"33","TGO","Togo","FSW",0.00315979687038425,0.0067296187551603,0.0136674267902453
"34","TZA","Tanzania","FSW",0.00755335005081749,0.0120342588092182,0.0183042632762608
"35","UGA","Uganda","FSW",0.00555841154538061,0.00865241634931916,0.0134028359512603
"36","ZAF","South Africa","FSW",0.004014854702872,0.00556022687692982,0.00750378424470435
"37","ZMB","Zambia","FSW",0.0132185557123312,0.0176738453497103,0.02371196137518
"38","ZWE","Zimbabwe","FSW",0.0103200309932462,0.018375672586375,0.0341913514504093
"39","AGO","Angola","MSM",0.00528242775666768,0.0118934687214209,0.0306784440515151
"40","BDI","Burundi","MSM",0.00258913600692874,0.00555342153038971,0.0115539981758448
"41","BEN","Benin","MSM",0.0012213146308824,0.00272888779521783,0.00611234926250724
"42","BFA","Burkina Faso","MSM",0.0018055314528873,0.00356399130303017,0.00710214703826829
"43","BWA","Botswana","MSM",0.00775390773227266,0.0140587319877251,0.0245065966843106
"44","CAF","Central African Republic","MSM",0.00190056440410542,0.00581741278124308,0.016699647028808
"45","CIV","Côte d’Ivoire","MSM",0.00470169076382081,0.00791388397294493,0.0131540343006707
"46","CMR","Cameroon","MSM",0.00481230066212105,0.00646507086047178,0.00873563890591792
"47","COD","Congo - Kinshasa","MSM",0.00389788384608009,0.0071849934162283,0.0143408847457153
"48","COG","Congo - Brazzaville","MSM",0.00219516588395236,0.005391925617435,0.0124268978843328
"49","ETH","Ethiopia","MSM",0.000290333393349422,0.00216810538662874,0.0153751866131254
"50","GAB","Gabon","MSM",0.00150664011567962,0.00596057389484127,0.0238914728415049
"51","GHA","Ghana","MSM",0.00538604521276786,0.00929786903913618,0.0163570595949307
"52","GIN","Guinea","MSM",0.000965442842733318,0.00263413654441816,0.00558044229294335
"53","GMB","Gambia","MSM",0.00093316101760221,0.00460237314516633,0.0209009704357694
"54","GNB","Guinea-Bissau","MSM",0.00065495821930565,0.00310863064856402,0.0151899169571754
"55","GNQ","Equatorial Guinea","MSM",0.00137761472976144,0.00606742185731783,0.0328655395400226
"56","KEN","Kenya","MSM",0.00147178258468017,0.00209489547586667,0.00301356873352368
"57","LBR","Liberia","MSM",0.00116704706185496,0.00471396586298975,0.0179475565727759
"58","LSO","Lesotho","MSM",0.0173538779871317,0.0355420939097239,0.0695315334895373
"59","MLI","Mali","MSM",0.00165241896885531,0.00260069874006451,0.00407124210937256
"60","MOZ","Mozambique","MSM",0.00625558316246103,0.0112495773909024,0.0208963858285069
"61","MWI","Malawi","MSM",0.00233966084453082,0.0039756547386641,0.00656702796757317
"62","NAM","Namibia","MSM",0.0103916925631346,0.0171343403908842,0.0291893958619899
"63","NER","Niger","MSM",0.001583872748967,0.00304092699975883,0.00578614258595128
"64","NGA","Nigeria","MSM",0.00238120023775512,0.00328938458647486,0.0046049305826
"65","RWA","Rwanda","MSM",0.00167875601765066,0.00410582080720747,0.0095902728377758
"66","SEN","Senegal","MSM",0.00210669342823237,0.00417900052967589,0.00783841941530874
"67","SLE","Sierra Leone","MSM",0.00128750524534148,0.0052965133325985,0.0202003392211501
"68","SSD","South Sudan","MSM",0.00105960569937025,0.00574421896129296,0.0321702846653268
"69","SWZ","Eswatini","MSM",0.00954548363291195,0.0189837829150913,0.0369852877981498
"70","TCD","Chad","MSM",0.00148201839585173,0.00444383101033331,0.0131700825292493
"71","TGO","Togo","MSM",0.00134658072200183,0.00448063921740197,0.0157995529401797
"72","TZA","Tanzania","MSM",0.00295467674928586,0.00537977293875939,0.0101762109608476
"73","UGA","Uganda","MSM",0.00266494063880276,0.00439688804737591,0.00770203180630488
"74","ZAF","South Africa","MSM",0.00681445311902909,0.0129182064683584,0.0230893447074145
"75","ZMB","Zambia","MSM",0.00520257567018814,0.0083396386827873,0.0126872887873695
"76","ZWE","Zimbabwe","MSM",0.00872039231832279,0.0175457908247288,0.0392105639863201
"77","AGO","Angola","PWID",0.000192836659151902,0.000620511765805349,0.00226190771880416
"78","BDI","Burundi","PWID",0.000102972893077981,0.000396220698164957,0.00152386833165506
"79","BEN","Benin","PWID",0.000304564342663786,0.000939285870823211,0.00340280489129837
"80","BFA","Burkina Faso","PWID",0.000270618403492614,0.00080329874168944,0.00229471879694951
"81","BWA","Botswana","PWID",0.000211944670743545,0.00069341314856975,0.00267315532142355
"82","CAF","Central African Republic","PWID",0.000195873563372459,0.000651576502293172,0.00191748093192209
"83","CIV","Côte d’Ivoire","PWID",0.000236744248019264,0.000554921914220789,0.00134940897688062
"84","CMR","Cameroon","PWID",0.000292169424956464,0.000596075305822908,0.00120728570820445
"85","COD","Congo - Kinshasa","PWID",0.00026323056646989,0.000554933296108715,0.00128435069125285
"86","COG","Congo - Brazzaville","PWID",0.00020378856013966,0.000548950712679653,0.00151178312112387
"87","ETH","Ethiopia","PWID",9.06897111476899e-05,0.000417238898628338,0.00170386726975697
"88","GAB","Gabon","PWID",0.000134560416664905,0.000587064075568677,0.00239448101132379
"89","GHA","Ghana","PWID",0.000221145402712542,0.000795612066664962,0.0030730925182365
"90","GIN","Guinea","PWID",0.000241861330427536,0.000692796265113602,0.00208288991214202
"91","GMB","Gambia","PWID",6.41797935998572e-05,0.000692741812283144,0.00680536416919221
"92","GNB","Guinea-Bissau","PWID",0.000117517381454704,0.000709359670786529,0.00389575604962477
"93","GNQ","Equatorial Guinea","PWID",0.000115257304160836,0.000599091788751989,0.00309442465782702
"94","KEN","Kenya","PWID",0.000357156429887491,0.000666839525911081,0.00125260846664599
"95","LBR","Liberia","PWID",0.000120796583462693,0.000639817649658344,0.00287054090086296
"96","LSO","Lesotho","PWID",9.22584150602336e-05,0.000721078160179793,0.00669417100671569
"97","MLI","Mali","PWID",0.000301255200777256,0.000792068312395488,0.00218604371268555
"98","MOZ","Mozambique","PWID",0.000322313296272179,0.000728599979874082,0.00175116590335071
"99","MWI","Malawi","PWID",0.00014289591141778,0.000516148268616619,0.0021421612638159
"100","NAM","Namibia","PWID",0.000219027034445367,0.000700139918806465,0.00247764425381491
"101","NER","Niger","PWID",0.00028926501634873,0.000906616145983499,0.00284451935008567
"102","NGA","Nigeria","PWID",0.000844224019892552,0.00132438934774413,0.00220506885258861
"103","RWA","Rwanda","PWID",0.000138482017192717,0.000413788622052871,0.00124489138615969
"104","SEN","Senegal","PWID",0.000227054617934146,0.00067096757726156,0.00183387574133072
"105","SLE","Sierra Leone","PWID",0.000133841579366007,0.000626661236790811,0.00304706498557461
"106","SSD","South Sudan","PWID",0.000104750798040827,0.000659349536449767,0.00407293231145402
"107","SWZ","Eswatini","PWID",0.00013097100728872,0.000711306692205958,0.00357408584385784
"108","TCD","Chad","PWID",0.000257817774388806,0.000855142460561427,0.00275928786259693
"109","TGO","Togo","PWID",0.000187074926291234,0.000836266412064916,0.00373584973453502
"110","TZA","Tanzania","PWID",0.00014513139070245,0.000276073698765137,0.000497335423864399
"111","UGA","Uganda","PWID",0.000280218742118915,0.00066089855525277,0.00172402927524171
"112","ZAF","South Africa","PWID",0.000273224015929342,0.000699842667309489,0.00186181978745131
"113","ZMB","Zambia","PWID",0.000365721180455594,0.000744222577049389,0.00187579445787206
"114","ZWE","Zimbabwe","PWID",0.000248781984842871,0.00070359028927059,0.00245291003519265
