iso3,year,kp,is_national,population_proportion
BDI,2011,FSW,1,0.012986772317737915
BDI,2013,FSW,1,0.022967150550731775
BDI,2013,FSW,0,0.05559800377930922
BDI,2014,FSW,1,0.022292378872429946
BDI,2014,FSW,0,0.052866818090001315
BDI,2011,MSM,1,0.00306520542259351
BDI,2013,MSM,1,0.004267996831534661
BDI,2013,MSM,0,0.010953130260052115
BDI,2014,MSM,1,0.004161533223641129
BDI,2014,MSM,0,0.010366786785390675
BWA,2012,FSW,0,0.06642160382068452
BWA,2012,FSW,0,0.0857157912712187
BWA,2012,FSW,0,0.03845690272708129
BWA,2012,FSW,0,0.11900925802571556
BWA,2012,FSW,0,0.06717330509195159
BWA,2017,FSW,0,0.031693586630914934
BWA,2017,FSW,0,0.007023282425456346
BWA,2017,FSW,0,0.01406337144158835
BWA,2017,FSW,0,4.190932496197301e-5
BWA,2012,MSM,0,0.013520405165839217
BWA,2012,MSM,0,0.01441833287051681
BWA,2012,MSM,0,0.012401834212074891
BWA,2012,MSM,0,0.01384932667435515
BWA,2017,MSM,0,0.00841163163899116
BWA,2017,MSM,0,0.015672081053017265
BWA,2017,MSM,0,0.0794541231366244
BWA,2017,MSM,0,0.004464843730269948
BWA,2017,TG,0,9.241161086126772e-5
BEN,2000,FSW,0,0.006578021608244335
BEN,2001,FSW,0,0.009183679368292223
BEN,2004,FSW,0,0.00445468767349192
BEN,2004,FSW,0,7.036107802634263e-4
BEN,2004,FSW,0,0.005368488770201736
BEN,2004,FSW,0,0.004447539462664192
BEN,2012,FSW,1,0.005632094275477928
BEN,2014,FSW,1,0.006180053943361588
BEN,2014,FSW,0,0.010016137334747493
BEN,2014,FSW,1,0.006600969246500141
BEN,2017,FSW,1,0.010925088907700154
BEN,2017,FSW,0,0.014804053306719087
BEN,2013,MSM,1,6.019554518993807e-4
BEN,2014,MSM,1,0.0015736419435021223
BEN,2015,MSM,0,0.003797679646327297
BEN,2016,MSM,0,0.003573295620871197
BEN,2014,PWID,1,0.0010091611209519671
BFA,2000,FSW,0,0.02049010626122323
BFA,2014,FSW,1,0.007628443069800369
BFA,2014,FSW,0,0.00797025672369431
BFA,2014,FSW,0,0.01728230233049534
BFA,2014,FSW,0,0.005519582932241141
BFA,2014,FSW,0,0.019595910808725907
BFA,2014,FSW,0,0.0118049669907172
BFA,2017,FSW,1,0.004921677196424747
BFA,2013,MSM,0,4.4277710397202613e-4
BFA,2014,MSM,1,0.006628849267144607
BFA,2014,MSM,0,0.0049526181220006914
BFA,2014,MSM,0,0.00277590027574721
CIV,2000,FSW,0,0.0014565653817962296
CIV,2001,FSW,0,0.0044278117053808165
CIV,2004,FSW,0,0.005009681739402506
CIV,2004,FSW,0,0.004942665675511983
CIV,2004,FSW,0,0.003953893735699121
CIV,2009,FSW,0,0.0066760341803563305
CIV,2009,FSW,0,0.00383601788983578
CIV,2009,FSW,0,0.0046090631194118225
CIV,2009,FSW,0,0.005277618065780833
CIV,2009,FSW,0,0.00498718310933063
CIV,2009,FSW,0,0.025458471254448393
CIV,2009,FSW,0,0.017726186467683154
CIV,2009,FSW,0,0.008342503773604704
CIV,2009,FSW,0,0.008074301452625873
CIV,2009,FSW,0,0.0051946366496522034
CIV,2010,FSW,0,0.004854534607188772
CIV,2010,FSW,0,0.01751055669544243
CIV,2014,FSW,0,0.0038683521414360996
CIV,2014,FSW,0,0.0038637324613193047
CIV,2015,FSW,0,0.0028827968244824658
CIV,2016,FSW,0,0.0039095658995341705
CIV,2019,FSW,0,0.008195633851474812
CIV,2014,MSM,0,0.002377425263945473
CIV,2014,MSM,0,0.008044850036429445
CIV,2014,MSM,0,0.014166940536316152
CIV,2014,MSM,0,0.02266120521855497
CIV,2014,MSM,0,0.033775362347195914
CIV,2015,MSM,0,0.019801678297619377
CIV,2015,MSM,0,0.002315156079659388
CIV,2015,MSM,0,0.007927850527126735
CIV,2015,MSM,0,0.014059474252735866
CIV,2015,MSM,0,0.0218752487194141
CIV,2015,MSM,0,0.03294242652233943
CIV,2017,MSM,0,0.004993915580135221
CIV,2019,MSM,0,0.006393233305936084
CIV,2014,PWID,0,7.2457078742578e-4
CIV,2014,PWID,0,2.469426142888202e-5
CIV,2014,PWID,0,2.0578551190735017e-5
CIV,2019,PWID,0,0.0011941282904910325
CIV,2019,PWID,0,0.0024967787521728234
CIV,2019,PWID,0,0.004502480010633844
CIV,2019,PWID,0,9.13502479417399e-5
CMR,1997,FSW,0,0.01912283456179675
CMR,2013,FSW,1,0.007356135100784569
CMR,2013,FSW,0,0.01911377954218325
CMR,2013,FSW,0,0.016882341948682173
CMR,2013,FSW,0,0.03185993624438427
CMR,2013,FSW,0,0.017029211829391714
CMR,2013,FSW,0,0.014138082543907488
CMR,2013,FSW,0,0.016086567548917262
CMR,2013,FSW,0,0.010141728326551223
CMR,2015,FSW,0,0.005189178692954612
CMR,2015,FSW,0,0.010753149112783614
CMR,2015,FSW,0,0.024118001707387874
CMR,2015,FSW,0,0.0072513707098634935
CMR,2015,FSW,0,0.006642473485594784
CMR,2015,FSW,0,0.015386146746795148
CMR,2015,FSW,0,0.03131362740419475
CMR,2015,FSW,0,0.01646198389457042
CMR,2015,FSW,0,0.013733714302115032
CMR,2015,FSW,0,0.015502487558549438
CMR,2015,FSW,0,0.009260196379487839
CMR,2015,FSW,1,0.020231759658194664
CMR,2016,FSW,1,0.0036843726079612764
CMR,2016,FSW,0,0.003686000298932852
CMR,2016,FSW,0,0.009271153388286648
CMR,2016,FSW,0,0.021321490023248856
CMR,2016,FSW,0,0.03439547786222993
CMR,2016,FSW,0,0.026541772611438474
CMR,2016,FSW,0,0.030557293716361508
CMR,2016,FSW,0,0.005137837109050207
CMR,2016,FSW,0,0.003907738799724137
CMR,2016,FSW,0,0.011368976782787399
CMR,2016,FSW,0,0.009289502161389638
CMR,2016,FSW,0,0.005137837109050207
CMR,2016,FSW,0,0.009271153388286648
CMR,2016,FSW,0,0.03439547786222993
CMR,2016,FSW,0,0.030557293716361508
CMR,2016,FSW,0,0.021321490023248856
CMR,2016,FSW,0,0.026541772611438474
CMR,2016,FSW,0,0.003907738799724137
CMR,2018,FSW,1,0.01158466136827379
CMR,2018,FSW,0,0.009353398057685015
CMR,2018,FSW,0,0.03534298821732779
CMR,2018,FSW,0,0.019647782003355915
CMR,2018,FSW,0,0.011092663893802727
CMR,2018,FSW,0,0.019613662873946135
CMR,2018,FSW,0,0.05396578729092964
CMR,2018,FSW,0,0.022746018128241605
CMR,2018,FSW,0,0.02728007558458756
CMR,2018,FSW,0,0.031973093921496006
CMR,2018,FSW,0,0.030228487290754485
CMR,2018,FSW,0,0.0459090548616441
CMR,2018,FSW,0,0.006238664148708522
CMR,2013,MSM,1,0.005431151960631597
CMR,2013,MSM,0,0.012226629722839874
CMR,2013,MSM,0,0.011012508188300775
CMR,2013,MSM,0,0.022535388186369635
CMR,2013,MSM,0,0.012056032951410956
CMR,2013,MSM,0,0.0115470504583769
CMR,2013,MSM,0,0.009661162986483146
CMR,2013,MSM,0,0.006239220570520348
CMR,2015,MSM,0,0.0022810049015090815
CMR,2015,MSM,0,0.00600075343408602
CMR,2015,MSM,0,0.013328751095167065
CMR,2015,MSM,0,0.003491524385295372
CMR,2015,MSM,0,0.0037069199848965783
CMR,2015,MSM,0,0.010038743168484798
CMR,2015,MSM,0,0.02219567912868955
CMR,2015,MSM,0,0.011663287285595599
CMR,2015,MSM,0,0.011270902676403087
CMR,2015,MSM,0,0.005697825070482018
CMR,2016,MSM,0,0.006227450430077472
CMR,2016,MSM,0,0.006356144963278815
CMR,2016,MSM,0,0.005747921799942729
CMR,2016,MSM,0,0.012849327951976231
CMR,2018,MSM,1,0.0011455812976009525
CMR,2018,MSM,0,0.0021460960727528082
CMR,2018,MSM,0,0.0029866836006507084
CMR,2018,MSM,0,0.0021329964687575942
CMR,2018,MSM,0,0.002387208937845773
CMR,2018,MSM,0,0.004521693682527362
CMR,2018,MSM,0,0.008456080035651759
CMR,2018,MSM,0,0.0032242048734906527
CMR,2018,MSM,0,0.001807587257386932
CMR,2018,MSM,0,0.005479179427421972
CMR,2018,MSM,0,0.00603026367353523
CMR,2018,MSM,0,0.005221894804636752
CMR,2018,MSM,0,0.0017025129244615928
CMR,2018,PWID,0,5.656393332769342e-4
