Country,1990,1990_lower, 1990_upper, 1990_Footnote, 1991,1991_lower, 1991_upper, 1991_Footnote, 1992,1992_lower, 1992_upper, 1992_Footnote, 1993,1993_lower, 1993_upper, 1993_Footnote, 1994,1994_lower, 1994_upper, 1994_Footnote, 1995,1995_lower, 1995_upper, 1995_Footnote, 1996,1996_lower, 1996_upper, 1996_Footnote, 1997,1997_lower, 1997_upper, 1997_Footnote, 1998,1998_lower, 1998_upper, 1998_Footnote, 1999,1999_lower, 1999_upper, 1999_Footnote, 2000,2000_lower, 2000_upper, 2000_Footnote, 2001,2001_lower, 2001_upper, 2001_Footnote, 2002,2002_lower, 2002_upper, 2002_Footnote, 2003,2003_lower, 2003_upper, 2003_Footnote, 2004,2004_lower, 2004_upper, 2004_Footnote, 2005,2005_lower, 2005_upper, 2005_Footnote, 2006,2006_lower, 2006_upper, 2006_Footnote, 2007,2007_lower, 2007_upper, 2007_Footnote, 2008,2008_lower, 2008_upper, 2008_Footnote, 2009,2009_lower, 2009_upper, 2009_Footnote, 2010,2010_lower, 2010_upper, 2010_Footnote, 2011,2011_lower, 2011_upper, 2011_Footnote, 2012,2012_lower, 2012_upper, 2012_Footnote, 2013,2013_lower, 2013_upper, 2013_Footnote, 2014,2014_lower, 2014_upper, 2014_Footnote, 2015,2015_lower, 2015_upper, 2015_Footnote, 2016,2016_lower, 2016_upper, 2016_Footnote, 2017,2017_lower, 2017_upper, 2017_Footnote, 2018,2018_lower, 2018_upper, 2018_Footnote, 2019,2019_lower, 2019_upper, 2019_Footnote, 2020,2020_lower, 2020_upper, 2020_Footnote
Afghanistan,<500 ,<200 , <500,,<500 ,<200 , <1000,,<500 ,<200 , <1000,,<500 ,<500 , <1000,,<1000 ,<500 , 1100,,<1000 ,<500 , 1400,,<1000 ,<500 , 1600,,<1000 ,<500 , 1900,,1000 ,<500 , 2200,,1200 ,<1000 , 2700,,1300 ,<1000 , 3200,,1500 ,<1000 , 3700,,1800 ,1000 , 4300,,2000 ,1100 , 5200,,2300 ,1300 , 6400,,2500 ,1400 , 6500,,2800 ,1500 , 7200,,3000 ,1700 , 7600,,3300 ,1700 , 7700,,3600 ,1900 , 8600,,4000 ,2000 , 9600,,4400 ,2200 , 11 000,,4900 ,2500 , 12 000,,5500 ,2700 , 14 000,,6100 ,2900 , 16 000,,6700 ,3100 , 18 000,,7300 ,3300 , 21 000,,8000 ,3400 , 24 000,,8800 ,3700 , 28 000,,9600 ,3900 , 32 000,,10 000 ,4100 , 36 000,
Albania,<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <200,"Children estimates were not available at the time of publication.",<200 ,<100 , <200,"Children estimates were not available at the time of publication.",<200 ,<200 , <200,"Children estimates were not available at the time of publication.",<200 ,<200 , <200,"Children estimates were not available at the time of publication.",<200 ,<200 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <1000,"Children estimates were not available at the time of publication.",<1000 ,<500 , <1000,"Children estimates were not available at the time of publication.",<1000 ,<1000 , <1000,"Children estimates were not available at the time of publication.",<1000 ,<1000 , <1000,"Children estimates were not available at the time of publication.",<1000 ,<1000 , <1000,"Children estimates were not available at the time of publication.",<1000 ,<1000 , <1000,"Children estimates were not available at the time of publication.",<1000 ,<1000 , <1000,"Children estimates were not available at the time of publication.",<1000 ,<1000 , <1000,"Children estimates were not available at the time of publication.",<1000 ,<1000 , 1000,"Children estimates were not available at the time of publication.",<1000 ,<1000 , 1100,"Children estimates were not available at the time of publication.",1000 ,<1000 , 1100,"Children estimates were not available at the time of publication.",1000 ,<1000 , 1200,"Children estimates were not available at the time of publication."
Algeria,<500 ,<500 , <500,,<500 ,<500 , <1000,,<1000 ,<500 , <1000,,<1000 ,<500 , <1000,,<1000 ,<1000 , <1000,,<1000 ,<1000 , <1000,,<1000 ,<1000 , 1100,,1100 ,1000 , 1200,,1300 ,1200 , 1400,,1500 ,1400 , 1600,,1700 ,1600 , 1900,,2000 ,1800 , 2200,,2200 ,2100 , 2500,,2500 ,2300 , 2800,,2800 ,2600 , 3100,,3100 ,2900 , 3300,,3400 ,3100 , 3700,,3700 ,3500 , 4000,,4000 ,3800 , 4300,,4400 ,4200 , 4700,,4900 ,4500 , 5200,,5400 ,5000 , 5800,,6000 ,5600 , 6500,,6800 ,6300 , 7300,,7700 ,7100 , 8300,,8900 ,8300 , 9500,,10 000 ,9500 , 11 000,,11 000 ,11 000 , 12 000,,12 000 ,11 000 , 13 000,,13 000 ,12 000 , 14 000,,14 000 ,13 000 , 15 000,
Angola,9900 ,5300 , 18 000,,13 000 ,7200 , 22 000,,16 000 ,9700 , 26 000,,21 000 ,13 000 , 32 000,,26 000 ,17 000 , 38 000,,32 000 ,22 000 , 46 000,,39 000 ,28 000 , 55 000,,47 000 ,34 000 , 64 000,,55 000 ,42 000 , 75 000,,65 000 ,49 000 , 85 000,,76 000 ,59 000 , 97 000,,88 000 ,69 000 , 110 000,,100 000 ,80 000 , 120 000,,110 000 ,91 000 , 140 000,,130 000 ,100 000 , 150 000,,140 000 ,110 000 , 160 000,,150 000 ,120 000 , 180 000,,160 000 ,130 000 , 190 000,,180 000 ,150 000 , 210 000,,190 000 ,160 000 , 220 000,,200 000 ,170 000 , 230 000,,210 000 ,180 000 , 250 000,,220 000 ,190 000 , 260 000,,230 000 ,190 000 , 270 000,,240 000 ,200 000 , 280 000,,240 000 ,210 000 , 290 000,,250 000 ,220 000 , 300 000,,260 000 ,220 000 , 300 000,,260 000 ,220 000 , 310 000,,260 000 ,230 000 , 310 000,,270 000 ,230 000 , 310 000,
Argentina,12 000 ,9700 , 13 000,,16 000 ,14 000 , 18 000,,21 000 ,19 000 , 23 000,,26 000 ,23 000 , 29 000,,30 000 ,27 000 , 33 000,,34 000 ,31 000 , 37 000,,38 000 ,35 000 , 41 000,,41 000 ,38 000 , 44 000,,44 000 ,41 000 , 47 000,,47 000 ,44 000 , 50 000,,50 000 ,47 000 , 53 000,,53 000 ,50 000 , 56 000,,56 000 ,53 000 , 59 000,,59 000 ,55 000 , 62 000,,62 000 ,57 000 , 65 000,,64 000 ,60 000 , 68 000,,66 000 ,62 000 , 70 000,,69 000 ,63 000 , 72 000,,71 000 ,65 000 , 75 000,,73 000 ,67 000 , 77 000,,75 000 ,69 000 , 79 000,,77 000 ,71 000 , 82 000,,80 000 ,73 000 , 84 000,,82 000 ,75 000 , 86 000,,84 000 ,76 000 , 88 000,,85 000 ,78 000 , 90 000,,87 000 ,79 000 , 92 000,,88 000 ,81 000 , 94 000,,90 000 ,82 000 , 95 000,,91 000 ,82 000 , 97 000,,86 000 ,77 000 , 93 000,
Armenia,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <200,,<100 ,<100 , <500,,<200 ,<100 , <1000,,<500 ,<200 , 1100,,<500 ,<200 , 1500,,<1000 ,<500 , 1900,,<1000 ,<1000 , 2400,,1300 ,<1000 , 2700,,1700 ,1100 , 3000,,2100 ,1500 , 3500,,2500 ,1900 , 3800,,2800 ,2200 , 4000,,3100 ,2500 , 4100,,3200 ,2700 , 4200,,3300 ,2700 , 4200,,3300 ,2800 , 4100,,3300 ,2800 , 4100,,3200 ,2800 , 4000,,3200 ,2800 , 3900,,3200 ,2700 , 3800,,3200 ,2700 , 3700,,3200 ,2800 , 3700,,3200 ,2800 , 3800,,3300 ,2900 , 3800,,3400 ,3000 , 4000,,3500 ,3000 , 4100,,3600 ,3200 , 4300,
Australia,8900 ,7300 , 10 000,"Children estimates were not available at the time of publication.",9500 ,7900 , 11 000,"Children estimates were not available at the time of publication.",9900 ,8200 , 11 000,"Children estimates were not available at the time of publication.",10 000 ,8400 , 12 000,"Children estimates were not available at the time of publication.",10 000 ,8400 , 12 000,"Children estimates were not available at the time of publication.",10 000 ,8300 , 12 000,"Children estimates were not available at the time of publication.",10 000 ,8200 , 12 000,"Children estimates were not available at the time of publication.",10 000 ,8400 , 12 000,"Children estimates were not available at the time of publication.",10 000 ,8600 , 12 000,"Children estimates were not available at the time of publication.",11 000 ,8700 , 12 000,"Children estimates were not available at the time of publication.",11 000 ,8800 , 12 000,"Children estimates were not available at the time of publication.",11 000 ,8900 , 12 000,"Children estimates were not available at the time of publication.",11 000 ,9000 , 13 000,"Children estimates were not available at the time of publication.",11 000 ,9100 , 13 000,"Children estimates were not available at the time of publication.",11 000 ,9200 , 13 000,"Children estimates were not available at the time of publication.",11 000 ,9200 , 13 000,"Children estimates were not available at the time of publication.",11 000 ,9200 , 13 000,"Children estimates were not available at the time of publication.",11 000 ,9300 , 13 000,"Children estimates were not available at the time of publication.",11 000 ,9400 , 13 000,"Children estimates were not available at the time of publication.",11 000 ,9500 , 13 000,"Children estimates were not available at the time of publication.",12 000 ,9600 , 13 000,"Children estimates were not available at the time of publication.",12 000 ,9800 , 13 000,"Children estimates were not available at the time of publication.",12 000 ,10 000 , 14 000,"Children estimates were not available at the time of publication.",12 000 ,10 000 , 14 000,"Children estimates were not available at the time of publication.",12 000 ,10 000 , 14 000,"Children estimates were not available at the time of publication.",13 000 ,11 000 , 15 000,"Children estimates were not available at the time of publication.",13 000 ,11 000 , 15 000,"Children estimates were not available at the time of publication.",13 000 ,11 000 , 15 000,"Children estimates were not available at the time of publication.",13 000 ,11 000 , 15 000,"Children estimates were not available at the time of publication.",13 000 ,11 000 , 15 000,"Children estimates were not available at the time of publication.",13 000 ,11 000 , 15 000,"Children estimates were not available at the time of publication."
Austria,... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication."
Azerbaijan,<200 ,<100 , <500,,<200 ,<100 , <1000,,<200 ,<100 , <1000,,<500 ,<100 , <1000,,<500 ,<200 , 1300,,<1000 ,<200 , 1800,,1000 ,<500 , 2900,,1500 ,<500 , 4700,,2100 ,<1000 , 6400,,2900 ,<1000 , 7500,,3800 ,1100 , 8400,,4600 ,1600 , 8500,,5400 ,2400 , 9200,,6000 ,2900 , 9900,,6400 ,3500 , 9800,,6800 ,4100 , 9800,,7000 ,4700 , 10 000,,7200 ,5100 , 11 000,,7300 ,5200 , 11 000,,7400 ,5300 , 11 000,,7400 ,5400 , 11 000,,7400 ,5500 , 11 000,,7400 ,5600 , 11 000,,7400 ,5600 , 11 000,,7400 ,5700 , 10 000,,7400 ,5700 , 10 000,,7400 ,5700 , 10 000,,7400 ,5600 , 10 000,,7400 ,5600 , 9800,,7400 ,5400 , 9700,,7300 ,5400 , 9800,
Bahamas,1900 ,1700 , 2100,"Children estimates were not available at the time of publication.",2200 ,2000 , 2500,"Children estimates were not available at the time of publication.",2500 ,2200 , 2800,"Children estimates were not available at the time of publication.",2700 ,2400 , 3100,"Children estimates were not available at the time of publication.",2900 ,2500 , 3300,"Children estimates were not available at the time of publication.",3000 ,2600 , 3500,"Children estimates were not available at the time of publication.",3100 ,2600 , 3700,"Children estimates were not available at the time of publication.",3200 ,2600 , 3800,"Children estimates were not available at the time of publication.",3200 ,2600 , 3900,"Children estimates were not available at the time of publication.",3200 ,2600 , 3900,"Children estimates were not available at the time of publication.",3200 ,2600 , 3900,"Children estimates were not available at the time of publication.",3200 ,2500 , 3800,"Children estimates were not available at the time of publication.",3100 ,2500 , 3800,"Children estimates were not available at the time of publication.",3100 ,2500 , 3800,"Children estimates were not available at the time of publication.",3200 ,2600 , 3800,"Children estimates were not available at the time of publication.",3200 ,2700 , 3900,"Children estimates were not available at the time of publication.",3300 ,2800 , 3900,"Children estimates were not available at the time of publication.",3300 ,2800 , 3900,"Children estimates were not available at the time of publication.",3400 ,2900 , 3900,"Children estimates were not available at the time of publication.",3400 ,3000 , 3900,"Children estimates were not available at the time of publication.",3400 ,3000 , 3900,"Children estimates were not available at the time of publication.",3400 ,3000 , 3900,"Children estimates were not available at the time of publication.",3300 ,2900 , 3800,"Children estimates were not available at the time of publication.",3200 ,2800 , 3700,"Children estimates were not available at the time of publication.",3100 ,2700 , 3600,"Children estimates were not available at the time of publication.",3000 ,2600 , 3400,"Children estimates were not available at the time of publication.",2900 ,2500 , 3300,"Children estimates were not available at the time of publication.",2700 ,2400 , 3100,"Children estimates were not available at the time of publication.",2600 ,2300 , 3000,"Children estimates were not available at the time of publication.",2500 ,2200 , 2900,"Children estimates were not available at the time of publication.",2400 ,2100 , 2800,"Children estimates were not available at the time of publication."
