Country,1990,1990_lower, 1990_upper, 1990_Footnote, 1991,1991_lower, 1991_upper, 1991_Footnote, 1992,1992_lower, 1992_upper, 1992_Footnote, 1993,1993_lower, 1993_upper, 1993_Footnote, 1994,1994_lower, 1994_upper, 1994_Footnote, 1995,1995_lower, 1995_upper, 1995_Footnote, 1996,1996_lower, 1996_upper, 1996_Footnote, 1997,1997_lower, 1997_upper, 1997_Footnote, 1998,1998_lower, 1998_upper, 1998_Footnote, 1999,1999_lower, 1999_upper, 1999_Footnote, 2000,2000_lower, 2000_upper, 2000_Footnote, 2001,2001_lower, 2001_upper, 2001_Footnote, 2002,2002_lower, 2002_upper, 2002_Footnote, 2003,2003_lower, 2003_upper, 2003_Footnote, 2004,2004_lower, 2004_upper, 2004_Footnote, 2005,2005_lower, 2005_upper, 2005_Footnote, 2006,2006_lower, 2006_upper, 2006_Footnote, 2007,2007_lower, 2007_upper, 2007_Footnote, 2008,2008_lower, 2008_upper, 2008_Footnote, 2009,2009_lower, 2009_upper, 2009_Footnote, 2010,2010_lower, 2010_upper, 2010_Footnote, 2011,2011_lower, 2011_upper, 2011_Footnote, 2012,2012_lower, 2012_upper, 2012_Footnote, 2013,2013_lower, 2013_upper, 2013_Footnote, 2014,2014_lower, 2014_upper, 2014_Footnote, 2015,2015_lower, 2015_upper, 2015_Footnote, 2016,2016_lower, 2016_upper, 2016_Footnote, 2017,2017_lower, 2017_upper, 2017_Footnote, 2018,2018_lower, 2018_upper, 2018_Footnote, 2019,2019_lower, 2019_upper, 2019_Footnote, 2020,2020_lower, 2020_upper, 2020_Footnote
Afghanistan,<100 ,<100 , <200,,<100 ,<100 , <200,,<100 ,<100 , <200,,<200 ,<100 , <500,,<200 ,<100 , <500,,<200 ,<100 , <500,,<500 ,<200 , <500,,<500 ,<200 , <500,,<500 ,<200 , <1000,,<500 ,<200 , <1000,,<500 ,<500 , <1000,,<500 ,<500 , <1000,,<500 ,<500 , 1100,,<1000 ,<500 , 1400,,<1000 ,<500 , 1700,,<1000 ,<500 , 1800,,<1000 ,<500 , 2000,,<1000 ,<500 , 2100,,<1000 ,<500 , 2200,,1000 ,<1000 , 2400,,1200 ,<1000 , 2700,,1300 ,<1000 , 3000,,1400 ,<1000 , 3500,,1600 ,<1000 , 3900,,1700 ,<1000 , 4500,,1900 ,<1000 , 5100,,2100 ,<1000 , 6000,,2300 ,1000 , 7000,,2500 ,1100 , 8100,,2800 ,1100 , 9400,,3000 ,1200 , 11 000,
Albania,<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <200,"Children estimates were not available at the time of publication.",<200 ,<100 , <200,"Children estimates were not available at the time of publication.",<200 ,<200 , <200,"Children estimates were not available at the time of publication.",<200 ,<200 , <200,"Children estimates were not available at the time of publication.",<200 ,<200 , <200,"Children estimates were not available at the time of publication.",<200 ,<200 , <200,"Children estimates were not available at the time of publication.",<500 ,<200 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication."
Algeria,<200 ,<200 , <200,,<200 ,<200 , <500,,<500 ,<200 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,,<1000 ,<500 , <1000,,<1000 ,<1000 , <1000,,<1000 ,<1000 , <1000,,<1000 ,<1000 , <1000,,<1000 ,<1000 , <1000,,1000 ,<1000 , 1100,,1100 ,1000 , 1200,,1300 ,1200 , 1400,,1400 ,1300 , 1500,,1500 ,1400 , 1700,,1700 ,1600 , 1800,,1800 ,1700 , 1900,,2000 ,1900 , 2100,,2200 ,2100 , 2400,,2500 ,2300 , 2700,,2800 ,2600 , 3000,,3200 ,3000 , 3400,,3600 ,3400 , 3900,,4200 ,3900 , 4500,,4800 ,4500 , 5100,,5300 ,5000 , 5600,,5800 ,5400 , 6100,,6300 ,5900 , 6700,,6800 ,6300 , 7200,
Angola,5500 ,3000 , 10 000,,7300 ,4100 , 12 000,,9400 ,5600 , 15 000,,12 000 ,7600 , 18 000,,15 000 ,10 000 , 22 000,,19 000 ,13 000 , 27 000,,23 000 ,16 000 , 32 000,,28 000 ,20 000 , 38 000,,33 000 ,25 000 , 44 000,,39 000 ,30 000 , 51 000,,46 000 ,35 000 , 59 000,,53 000 ,42 000 , 67 000,,60 000 ,48 000 , 75 000,,68 000 ,55 000 , 83 000,,76 000 ,62 000 , 91 000,,84 000 ,69 000 , 100 000,,92 000 ,75 000 , 110 000,,100 000 ,82 000 , 120 000,,110 000 ,89 000 , 130 000,,120 000 ,96 000 , 130 000,,120 000 ,100 000 , 140 000,,130 000 ,110 000 , 150 000,,140 000 ,120 000 , 160 000,,140 000 ,120 000 , 170 000,,150 000 ,130 000 , 170 000,,150 000 ,130 000 , 180 000,,160 000 ,140 000 , 180 000,,160 000 ,140 000 , 190 000,,170 000 ,140 000 , 200 000,,170 000 ,150 000 , 200 000,,170 000 ,150 000 , 200 000,
Argentina,3400 ,2800 , 3800,,4700 ,4100 , 5200,,6100 ,5500 , 6800,,7500 ,6900 , 8400,,8800 ,8200 , 9700,,10 000 ,9400 , 11 000,,11 000 ,11 000 , 12 000,,12 000 ,12 000 , 13 000,,13 000 ,13 000 , 14 000,,14 000 ,14 000 , 15 000,,15 000 ,15 000 , 16 000,,16 000 ,16 000 , 17 000,,17 000 ,16 000 , 18 000,,18 000 ,17 000 , 19 000,,19 000 ,18 000 , 19 000,,20 000 ,19 000 , 20 000,,20 000 ,20 000 , 21 000,,21 000 ,20 000 , 22 000,,22 000 ,21 000 , 22 000,,22 000 ,22 000 , 23 000,,23 000 ,22 000 , 24 000,,24 000 ,23 000 , 25 000,,24 000 ,23 000 , 25 000,,25 000 ,24 000 , 26 000,,25 000 ,24 000 , 26 000,,26 000 ,24 000 , 27 000,,26 000 ,25 000 , 27 000,,27 000 ,25 000 , 28 000,,27 000 ,25 000 , 28 000,,27 000 ,26 000 , 29 000,,27 000 ,26 000 , 29 000,
Armenia,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <200,,<100 ,<100 , <500,,<100 ,<100 , <500,,<200 ,<100 , <500,,<500 ,<100 , <1000,,<500 ,<200 , <1000,,<500 ,<500 , <1000,,<1000 ,<500 , 1000,,<1000 ,<500 , 1100,,<1000 ,<1000 , 1300,,<1000 ,<1000 , 1300,,1100 ,<1000 , 1400,,1100 ,<1000 , 1400,,1200 ,<1000 , 1400,,1200 ,<1000 , 1400,,1200 ,<1000 , 1400,,1100 ,<1000 , 1400,,1100 ,<1000 , 1300,,1100 ,<1000 , 1300,,1100 ,<1000 , 1300,,1100 ,<1000 , 1300,,1100 ,<1000 , 1300,,1200 ,<1000 , 1300,,1200 ,1000 , 1400,,1200 ,1100 , 1400,,1300 ,1100 , 1500,
Australia,<1000 ,<1000 , 1000,"Children estimates were not available at the time of publication.",<1000 ,<1000 , 1100,"Children estimates were not available at the time of publication.",1000 ,<1000 , 1200,"Children estimates were not available at the time of publication.",1000 ,<1000 , 1200,"Children estimates were not available at the time of publication.",1100 ,<1000 , 1200,"Children estimates were not available at the time of publication.",1100 ,<1000 , 1200,"Children estimates were not available at the time of publication.",1100 ,<1000 , 1200,"Children estimates were not available at the time of publication.",1100 ,<1000 , 1300,"Children estimates were not available at the time of publication.",1200 ,<1000 , 1300,"Children estimates were not available at the time of publication.",1200 ,<1000 , 1400,"Children estimates were not available at the time of publication.",1200 ,1000 , 1400,"Children estimates were not available at the time of publication.",1300 ,1100 , 1400,"Children estimates were not available at the time of publication.",1300 ,1100 , 1500,"Children estimates were not available at the time of publication.",1300 ,1100 , 1500,"Children estimates were not available at the time of publication.",1400 ,1200 , 1600,"Children estimates were not available at the time of publication.",1400 ,1200 , 1600,"Children estimates were not available at the time of publication.",1500 ,1200 , 1600,"Children estimates were not available at the time of publication.",1500 ,1300 , 1700,"Children estimates were not available at the time of publication.",1600 ,1300 , 1800,"Children estimates were not available at the time of publication.",1700 ,1400 , 1800,"Children estimates were not available at the time of publication.",1700 ,1500 , 1900,"Children estimates were not available at the time of publication.",1800 ,1500 , 2000,"Children estimates were not available at the time of publication.",1900 ,1600 , 2100,"Children estimates were not available at the time of publication.",1900 ,1600 , 2100,"Children estimates were not available at the time of publication.",2000 ,1700 , 2200,"Children estimates were not available at the time of publication.",2100 ,1700 , 2300,"Children estimates were not available at the time of publication.",2100 ,1800 , 2300,"Children estimates were not available at the time of publication.",2100 ,1800 , 2400,"Children estimates were not available at the time of publication.",2200 ,1800 , 2400,"Children estimates were not available at the time of publication.",2200 ,1900 , 2500,"Children estimates were not available at the time of publication.",2200 ,1900 , 2500,"Children estimates were not available at the time of publication."
Austria,... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication."
Azerbaijan,<100 ,<100 , <200,,<100 ,<100 , <200,,<100 ,<100 , <500,,<100 ,<100 , <500,,<200 ,<100 , <500,,<500 ,<100 , <1000,,<500 ,<100 , <1000,,<1000 ,<200 , 1600,,<1000 ,<200 , 2200,,1000 ,<500 , 2700,,1400 ,<500 , 3000,,1700 ,<1000 , 3100,,2000 ,<1000 , 3300,,2200 ,1000 , 3500,,2400 ,1200 , 3500,,2500 ,1400 , 3600,,2700 ,1600 , 3700,,2800 ,1800 , 3800,,2800 ,1900 , 3900,,2800 ,1900 , 3800,,2800 ,1900 , 3800,,2800 ,1900 , 3800,,2800 ,2000 , 3700,,2800 ,2000 , 3700,,2800 ,2000 , 3700,,2800 ,2000 , 3600,,2800 ,2000 , 3600,,2800 ,2000 , 3600,,2800 ,2000 , 3500,,2800 ,1900 , 3400,,2800 ,1900 , 3400,
Bahamas,<1000 ,<1000 , <1000,"Children estimates were not available at the time of publication.",1000 ,<1000 , 1100,"Children estimates were not available at the time of publication.",1200 ,1000 , 1300,"Children estimates were not available at the time of publication.",1300 ,1100 , 1400,"Children estimates were not available at the time of publication.",1400 ,1200 , 1500,"Children estimates were not available at the time of publication.",1400 ,1200 , 1600,"Children estimates were not available at the time of publication.",1500 ,1300 , 1700,"Children estimates were not available at the time of publication.",1500 ,1300 , 1800,"Children estimates were not available at the time of publication.",1500 ,1300 , 1800,"Children estimates were not available at the time of publication.",1500 ,1300 , 1800,"Children estimates were not available at the time of publication.",1500 ,1300 , 1800,"Children estimates were not available at the time of publication.",1500 ,1300 , 1800,"Children estimates were not available at the time of publication.",1500 ,1300 , 1800,"Children estimates were not available at the time of publication.",1500 ,1300 , 1800,"Children estimates were not available at the time of publication.",1600 ,1300 , 1800,"Children estimates were not available at the time of publication.",1600 ,1400 , 1900,"Children estimates were not available at the time of publication.",1600 ,1400 , 1900,"Children estimates were not available at the time of publication.",1700 ,1400 , 1900,"Children estimates were not available at the time of publication.",1700 ,1500 , 2000,"Children estimates were not available at the time of publication.",1700 ,1500 , 2000,"Children estimates were not available at the time of publication.",1700 ,1500 , 2000,"Children estimates were not available at the time of publication.",1700 ,1500 , 2000,"Children estimates were not available at the time of publication.",1700 ,1500 , 2000,"Children estimates were not available at the time of publication.",1700 ,1500 , 1900,"Children estimates were not available at the time of publication.",1600 ,1400 , 1800,"Children estimates were not available at the time of publication.",1600 ,1400 , 1800,"Children estimates were not available at the time of publication.",1500 ,1300 , 1700,"Children estimates were not available at the time of publication.",1400 ,1300 , 1600,"Children estimates were not available at the time of publication.",1400 ,1200 , 1600,"Children estimates were not available at the time of publication.",1300 ,1200 , 1500,"Children estimates were not available at the time of publication.",1300 ,1100 , 1400,"Children estimates were not available at the time of publication."
Bahrain,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
