Country,1990,1990_lower, 1990_upper, 1990_Footnote, 1991,1991_lower, 1991_upper, 1991_Footnote, 1992,1992_lower, 1992_upper, 1992_Footnote, 1993,1993_lower, 1993_upper, 1993_Footnote, 1994,1994_lower, 1994_upper, 1994_Footnote, 1995,1995_lower, 1995_upper, 1995_Footnote, 1996,1996_lower, 1996_upper, 1996_Footnote, 1997,1997_lower, 1997_upper, 1997_Footnote, 1998,1998_lower, 1998_upper, 1998_Footnote, 1999,1999_lower, 1999_upper, 1999_Footnote, 2000,2000_lower, 2000_upper, 2000_Footnote, 2001,2001_lower, 2001_upper, 2001_Footnote, 2002,2002_lower, 2002_upper, 2002_Footnote, 2003,2003_lower, 2003_upper, 2003_Footnote, 2004,2004_lower, 2004_upper, 2004_Footnote, 2005,2005_lower, 2005_upper, 2005_Footnote, 2006,2006_lower, 2006_upper, 2006_Footnote, 2007,2007_lower, 2007_upper, 2007_Footnote, 2008,2008_lower, 2008_upper, 2008_Footnote, 2009,2009_lower, 2009_upper, 2009_Footnote, 2010,2010_lower, 2010_upper, 2010_Footnote, 2011,2011_lower, 2011_upper, 2011_Footnote, 2012,2012_lower, 2012_upper, 2012_Footnote, 2013,2013_lower, 2013_upper, 2013_Footnote, 2014,2014_lower, 2014_upper, 2014_Footnote, 2015,2015_lower, 2015_upper, 2015_Footnote, 2016,2016_lower, 2016_upper, 2016_Footnote, 2017,2017_lower, 2017_upper, 2017_Footnote, 2018,2018_lower, 2018_upper, 2018_Footnote, 2019,2019_lower, 2019_upper, 2019_Footnote, 2020,2020_lower, 2020_upper, 2020_Footnote
Afghanistan,<200 ,<100 , <500,,<500 ,<200 , <500,,<500 ,<200 , <1000,,<500 ,<200 , <1000,,<500 ,<500 , <1000,,<1000 ,<500 , 1100,,<1000 ,<500 , 1200,,<1000 ,<500 , 1400,,<1000 ,<500 , 1600,,<1000 ,<500 , 2000,,<1000 ,<1000 , 2400,,1100 ,<1000 , 2800,,1300 ,<1000 , 3100,,1500 ,<1000 , 3800,,1600 ,<1000 , 4600,,1800 ,<1000 , 4700,,2000 ,1100 , 5200,,2200 ,1200 , 5500,,2400 ,1300 , 5600,,2600 ,1400 , 6200,,2800 ,1400 , 6900,,3100 ,1600 , 7800,,3500 ,1800 , 8500,,3900 ,2000 , 9800,,4300 ,2100 , 11 000,,4800 ,2200 , 13 000,,5200 ,2400 , 15 000,,5700 ,2500 , 17 000,,6200 ,2600 , 20 000,,6800 ,2800 , 23 000,,7400 ,2900 , 26 000,
Albania,<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<200 ,<100 , <200,"Children estimates were not available at the time of publication.",<200 ,<200 , <200,"Children estimates were not available at the time of publication.",<200 ,<200 , <200,"Children estimates were not available at the time of publication.",<200 ,<200 , <500,"Children estimates were not available at the time of publication.",<500 ,<200 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <1000,"Children estimates were not available at the time of publication.",<1000 ,<500 , <1000,"Children estimates were not available at the time of publication.",<1000 ,<1000 , <1000,"Children estimates were not available at the time of publication.",<1000 ,<1000 , <1000,"Children estimates were not available at the time of publication.",<1000 ,<1000 , <1000,"Children estimates were not available at the time of publication.",<1000 ,<1000 , <1000,"Children estimates were not available at the time of publication.",<1000 ,<1000 , <1000,"Children estimates were not available at the time of publication.",<1000 ,<1000 , <1000,"Children estimates were not available at the time of publication.",<1000 ,<1000 , <1000,"Children estimates were not available at the time of publication."
Algeria,<200 ,<200 , <500,,<500 ,<200 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<500 , <1000,,<1000 ,<500 , <1000,,<1000 ,<1000 , <1000,,<1000 ,<1000 , <1000,,<1000 ,<1000 , <1000,,<1000 ,<1000 , 1000,,1100 ,<1000 , 1200,,1200 ,1100 , 1400,,1400 ,1300 , 1500,,1500 ,1400 , 1700,,1700 ,1600 , 1800,,1800 ,1700 , 2000,,2000 ,1900 , 2200,,2200 ,2100 , 2400,,2400 ,2300 , 2600,,2700 ,2400 , 2800,,2900 ,2600 , 3100,,3200 ,2900 , 3500,,3600 ,3300 , 3900,,4100 ,3700 , 4400,,4700 ,4300 , 5100,,5400 ,4900 , 5800,,5900 ,5400 , 6400,,6500 ,6000 , 7000,,7000 ,6400 , 7500,,7500 ,6900 , 8100,
Angola,4400 ,2300 , 8200,,5500 ,3100 , 9800,,7000 ,4100 , 11 000,,8700 ,5400 , 14 000,,11 000 ,7200 , 16 000,,13 000 ,9100 , 19 000,,16 000 ,11 000 , 22 000,,19 000 ,14 000 , 26 000,,22 000 ,17 000 , 30 000,,26 000 ,20 000 , 35 000,,31 000 ,24 000 , 39 000,,35 000 ,27 000 , 44 000,,40 000 ,31 000 , 49 000,,45 000 ,35 000 , 55 000,,50 000 ,40 000 , 60 000,,55 000 ,44 000 , 65 000,,60 000 ,48 000 , 70 000,,64 000 ,52 000 , 76 000,,69 000 ,56 000 , 81 000,,73 000 ,60 000 , 87 000,,78 000 ,64 000 , 92 000,,81 000 ,68 000 , 96 000,,84 000 ,70 000 , 100 000,,87 000 ,72 000 , 100 000,,89 000 ,74 000 , 110 000,,90 000 ,74 000 , 110 000,,92 000 ,74 000 , 110 000,,92 000 ,75 000 , 110 000,,93 000 ,74 000 , 110 000,,93 000 ,73 000 , 110 000,,93 000 ,72 000 , 110 000,
Argentina,8300 ,6900 , 9500,,11 000 ,10 000 , 13 000,,15 000 ,13 000 , 16 000,,18 000 ,16 000 , 20 000,,21 000 ,19 000 , 23 000,,24 000 ,22 000 , 26 000,,27 000 ,24 000 , 29 000,,29 000 ,26 000 , 31 000,,31 000 ,28 000 , 33 000,,33 000 ,30 000 , 35 000,,35 000 ,32 000 , 38 000,,37 000 ,34 000 , 40 000,,39 000 ,36 000 , 42 000,,41 000 ,37 000 , 44 000,,43 000 ,39 000 , 46 000,,45 000 ,41 000 , 48 000,,46 000 ,42 000 , 49 000,,48 000 ,43 000 , 51 000,,49 000 ,44 000 , 53 000,,51 000 ,46 000 , 54 000,,52 000 ,47 000 , 56 000,,54 000 ,48 000 , 57 000,,55 000 ,49 000 , 59 000,,57 000 ,51 000 , 61 000,,58 000 ,52 000 , 62 000,,60 000 ,53 000 , 64 000,,61 000 ,54 000 , 65 000,,62 000 ,55 000 , 67 000,,63 000 ,56 000 , 68 000,,64 000 ,56 000 , 69 000,,59 000 ,51 000 , 65 000,
Armenia,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <200,,<100 ,<100 , <500,,<200 ,<100 , <500,,<200 ,<100 , <1000,,<500 ,<200 , 1000,,<500 ,<500 , 1300,,<1000 ,<500 , 1600,,<1000 ,<1000 , 1800,,1200 ,<1000 , 2000,,1400 ,1000 , 2300,,1700 ,1300 , 2500,,1900 ,1500 , 2600,,2000 ,1600 , 2700,,2100 ,1800 , 2800,,2100 ,1800 , 2800,,2100 ,1800 , 2700,,2100 ,1800 , 2700,,2100 ,1800 , 2600,,2100 ,1800 , 2600,,2100 ,1800 , 2500,,2000 ,1800 , 2500,,2000 ,1800 , 2400,,2100 ,1900 , 2500,,2100 ,1900 , 2500,,2200 ,1900 , 2600,,2200 ,2000 , 2700,,2300 ,2100 , 2800,
Australia,8000 ,6600 , 9200,"Children estimates were not available at the time of publication.",8600 ,7100 , 9800,"Children estimates were not available at the time of publication.",8900 ,7400 , 10 000,"Children estimates were not available at the time of publication.",9100 ,7500 , 11 000,"Children estimates were not available at the time of publication.",9100 ,7500 , 11 000,"Children estimates were not available at the time of publication.",9000 ,7400 , 10 000,"Children estimates were not available at the time of publication.",8900 ,7300 , 10 000,"Children estimates were not available at the time of publication.",9000 ,7500 , 10 000,"Children estimates were not available at the time of publication.",9200 ,7600 , 11 000,"Children estimates were not available at the time of publication.",9300 ,7700 , 11 000,"Children estimates were not available at the time of publication.",9400 ,7800 , 11 000,"Children estimates were not available at the time of publication.",9500 ,7900 , 11 000,"Children estimates were not available at the time of publication.",9600 ,7900 , 11 000,"Children estimates were not available at the time of publication.",9600 ,8000 , 11 000,"Children estimates were not available at the time of publication.",9500 ,8000 , 11 000,"Children estimates were not available at the time of publication.",9500 ,7900 , 11 000,"Children estimates were not available at the time of publication.",9500 ,8000 , 11 000,"Children estimates were not available at the time of publication.",9600 ,8000 , 11 000,"Children estimates were not available at the time of publication.",9700 ,8100 , 11 000,"Children estimates were not available at the time of publication.",9700 ,8100 , 11 000,"Children estimates were not available at the time of publication.",9800 ,8100 , 11 000,"Children estimates were not available at the time of publication.",10 000 ,8200 , 11 000,"Children estimates were not available at the time of publication.",10 000 ,8300 , 12 000,"Children estimates were not available at the time of publication.",10 000 ,8400 , 12 000,"Children estimates were not available at the time of publication.",10 000 ,8600 , 12 000,"Children estimates were not available at the time of publication.",11 000 ,8700 , 12 000,"Children estimates were not available at the time of publication.",11 000 ,8900 , 13 000,"Children estimates were not available at the time of publication.",11 000 ,9000 , 13 000,"Children estimates were not available at the time of publication.",11 000 ,9000 , 13 000,"Children estimates were not available at the time of publication.",11 000 ,9000 , 13 000,"Children estimates were not available at the time of publication.",11 000 ,8900 , 13 000,"Children estimates were not available at the time of publication."
Austria,... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication."
Azerbaijan,<100 ,<100 , <500,,<100 ,<100 , <500,,<200 ,<100 , <1000,,<200 ,<100 , <1000,,<500 ,<100 , <1000,,<500 ,<200 , 1200,,<1000 ,<200 , 1900,,<1000 ,<500 , 3100,,1400 ,<500 , 4200,,1900 ,<500 , 4800,,2400 ,<1000 , 5400,,2900 ,1000 , 5400,,3400 ,1500 , 6000,,3700 ,1900 , 6300,,4000 ,2300 , 6100,,4200 ,2700 , 6400,,4400 ,3100 , 6600,,4500 ,3300 , 6800,,4500 ,3400 , 6900,,4600 ,3400 , 6900,,4600 ,3500 , 6800,,4600 ,3500 , 6800,,4600 ,3600 , 6900,,4600 ,3600 , 6900,,4600 ,3600 , 6800,,4600 ,3600 , 6700,,4600 ,3600 , 6700,,4600 ,3600 , 6400,,4600 ,3600 , 6400,,4600 ,3500 , 6400,,4600 ,3500 , 6400,
Bahamas,1000 ,<1000 , 1200,"Children estimates were not available at the time of publication.",1200 ,1100 , 1300,"Children estimates were not available at the time of publication.",1300 ,1200 , 1500,"Children estimates were not available at the time of publication.",1400 ,1200 , 1600,"Children estimates were not available at the time of publication.",1500 ,1300 , 1800,"Children estimates were not available at the time of publication.",1600 ,1300 , 1900,"Children estimates were not available at the time of publication.",1600 ,1300 , 2000,"Children estimates were not available at the time of publication.",1700 ,1300 , 2000,"Children estimates were not available at the time of publication.",1700 ,1300 , 2000,"Children estimates were not available at the time of publication.",1600 ,1300 , 2100,"Children estimates were not available at the time of publication.",1600 ,1300 , 2000,"Children estimates were not available at the time of publication.",1600 ,1300 , 2000,"Children estimates were not available at the time of publication.",1600 ,1200 , 2000,"Children estimates were not available at the time of publication.",1600 ,1200 , 2000,"Children estimates were not available at the time of publication.",1600 ,1300 , 2000,"Children estimates were not available at the time of publication.",1600 ,1300 , 2000,"Children estimates were not available at the time of publication.",1700 ,1400 , 2000,"Children estimates were not available at the time of publication.",1700 ,1400 , 2000,"Children estimates were not available at the time of publication.",1700 ,1400 , 2000,"Children estimates were not available at the time of publication.",1700 ,1400 , 1900,"Children estimates were not available at the time of publication.",1600 ,1400 , 1900,"Children estimates were not available at the time of publication.",1600 ,1400 , 1900,"Children estimates were not available at the time of publication.",1600 ,1400 , 1900,"Children estimates were not available at the time of publication.",1500 ,1300 , 1800,"Children estimates were not available at the time of publication.",1500 ,1300 , 1700,"Children estimates were not available at the time of publication.",1400 ,1200 , 1600,"Children estimates were not available at the time of publication.",1400 ,1200 , 1600,"Children estimates were not available at the time of publication.",1300 ,1100 , 1500,"Children estimates were not available at the time of publication.",1300 ,1100 , 1500,"Children estimates were not available at the time of publication.",1200 ,1000 , 1400,"Children estimates were not available at the time of publication.",1200 ,<1000 , 1400,"Children estimates were not available at the time of publication."
