Country,2010,2010_Footnote, 2011,2011_Footnote, 2012,2012_Footnote, 2013,2013_Footnote, 2014,2014_Footnote, 2015,2015_Footnote, 2016,2016_Footnote, 2017,2017_Footnote, 2018,2018_Footnote, 2019,2019_Footnote, 2020,2020_Footnote
Afghanistan,58,,109,,155,,203,,265,,338,,517,,791,,863,,984,,1034,
Albania,117,"Children estimates were not available at the time of publication.",161,"Children estimates were not available at the time of publication.",222,"Children estimates were not available at the time of publication.",314,"Children estimates were not available at the time of publication.",354,"Children estimates were not available at the time of publication.",423,"Children estimates were not available at the time of publication.",497,"Children estimates were not available at the time of publication.",551,"Children estimates were not available at the time of publication.",562,"Children estimates were not available at the time of publication.",596,"Children estimates were not available at the time of publication.",666,"Children estimates were not available at the time of publication."
Algeria,2115,,2480,,3134,,4205,,5509,,7136,,8908,,10 346,,11 986,,13 498,,14 576,
Angola,20 573,,24 779,,29 432,,45 691,,59 756,,67 319,,66 669,,74 884,,83 888,,88 197,,105 227,
Argentina,44 833,,49 541,,54 249,,58 956,,63 665,,68 373,,73 080,,77 788,,82 496,,87 715,,89 570,
Armenia,240,,309,,436,,564,,721,,917,,1163,,1501,,1842,,2157,,2264,
Australia,11 952,"Children estimates were not available at the time of publication.",13 035,"Children estimates were not available at the time of publication.",14 289,"Children estimates were not available at the time of publication.",16 762,"Children estimates were not available at the time of publication.",18 144,"Children estimates were not available at the time of publication.",19 413,"Children estimates were not available at the time of publication.",20 680,"Children estimates were not available at the time of publication.",21 854,"Children estimates were not available at the time of publication.",22 874,"Children estimates were not available at the time of publication.",23 810,"Children estimates were not available at the time of publication.",25 117,"Children estimates were not available at the time of publication."
Austria,...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication."
Azerbaijan,576,,924,,1272,,1728,,1770,,2299,,2803,,3565,,4269,,4973,,5502,
Bahamas,1297,"Children estimates were not available at the time of publication.",1297,"Children estimates were not available at the time of publication.",1619,"Children estimates were not available at the time of publication.",1941,"Children estimates were not available at the time of publication.",2325,"Children estimates were not available at the time of publication.",2270,"Children estimates were not available at the time of publication.",2246,"Children estimates were not available at the time of publication.",2932,"Children estimates were not available at the time of publication.",3068,"Children estimates were not available at the time of publication.",2985,"Children estimates were not available at the time of publication.",2960,"Children estimates were not available at the time of publication."
Bahrain,59,"Estimates were not available at the time of publication.",67,"Estimates were not available at the time of publication.",75,"Estimates were not available at the time of publication.",83,"Estimates were not available at the time of publication.",95,"Estimates were not available at the time of publication.",111,"Estimates were not available at the time of publication.",117,"Estimates were not available at the time of publication.",136,"Estimates were not available at the time of publication.",145,"Estimates were not available at the time of publication.",151,"Estimates were not available at the time of publication.",157,"Estimates were not available at the time of publication."
Bangladesh,431,"Estimates were not available at the time of publication.",625,"Estimates were not available at the time of publication.",783,"Estimates were not available at the time of publication.",1023,"Estimates were not available at the time of publication.",1208,"Estimates were not available at the time of publication.",1393,"Estimates were not available at the time of publication.",1705,"Estimates were not available at the time of publication.",2352,"Estimates were not available at the time of publication.",2916,"Estimates were not available at the time of publication.",3201,"Estimates were not available at the time of publication.",4810,"Estimates were not available at the time of publication."
Barbados,862,"Estimates were not available at the time of publication.",919,"Estimates were not available at the time of publication.",1004,"Estimates were not available at the time of publication.",1067,"Estimates were not available at the time of publication.",1095,"Estimates were not available at the time of publication.",1131,"Estimates were not available at the time of publication.",1185,"Estimates were not available at the time of publication.",1263,"Estimates were not available at the time of publication.",1316,"Estimates were not available at the time of publication.",1400,"Estimates were not available at the time of publication.",1402,"Estimates were not available at the time of publication."
Belarus,2494,"Children estimates were not available at the time of publication.",3084,"Children estimates were not available at the time of publication.",4120,"Children estimates were not available at the time of publication.",5008,"Children estimates were not available at the time of publication.",5729,"Children estimates were not available at the time of publication.",7174,"Children estimates were not available at the time of publication.",8326,"Children estimates were not available at the time of publication.",11 027,"Children estimates were not available at the time of publication.",15 309,"Children estimates were not available at the time of publication.",17 518,"Children estimates were not available at the time of publication.",18 585,"Children estimates were not available at the time of publication."
Belgium,...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication."
Belize,702,,791,,809,,913,,989,,1059,,1205,,1234,,1324,,1479,,1443,
Benin,18 814,,23 929,,26 017,,23 437,,27 241,,31 757,,36 101,,36 575,,42 208,,46 706,,50 355,
Bhutan,62,,79,,111,,149,,181,,252,,294,,378,,453,,517,,567,
Bolivia (Plurinational State of),1200,,1207,,2260,,2861,,3691,,5101,,6229,,7336,,9647,,11 358,,11 537,
