country.name,surveillance_type,indicator,method,kp,sex,age_group,area_name,province,year,pse_lower,pse,pse_upper,prop_lower,population_proportion,prop_upper,sample,ref
South Africa,NA,Population size estimate,RDS,FSW,female,NA,Johannesburg,NA,2013,5000,7697,10895,NA,0.0010135647282867965,NA,NA,UCSF (2015): South Africa Health Monitoring Study (SAHMS)
South Africa,NA,Population size estimate,RDS,FSW,female,NA,Durban,NA,2013,4000,9323,10000,NA,0.0038119686275759376,NA,NA,UCSF (2015): South Africa Health Monitoring Study (SAHMS)
South Africa,NA,Population size estimate,RDS,FSW,female,NA,Cape Town,NA,2013,NA,6500,NA,NA,0.002539522155114101,NA,NA,UCSF (2015): South Africa Health Monitoring Study (SAHMS)
South Africa,NA,Population size estimate,NA,FSW,female,NA,South Africa,NA,2013,120986,137641,240857,NA,0.009304120988769411,NA,NA,NA
South Africa,NA,Population size estimate,NA,FSW,female,NA,Western Cape,NA,2013,13670,15699,35328,NA,0.00901190904723638,NA,NA,NA
South Africa,NA,Population size estimate,NA,FSW,female,NA,Eastern Cape,NA,2013,11410,13408,15989,NA,0.007860215419610505,NA,NA,NA
South Africa,NA,Population size estimate,NA,FSW,female,NA,Northern Cape,NA,2013,4318,4988,5108,NA,0.01598554568720526,NA,NA,NA
South Africa,NA,Population size estimate,NA,FSW,female,NA,Free State,NA,2013,8357,10046,11299,NA,0.01335203975730273,NA,NA,NA
South Africa,NA,Population size estimate,NA,FSW,female,NA,KwaZulu-Natal,NA,2013,19335,22480,42994,NA,0.007786232007205181,NA,NA,NA
South Africa,NA,Population size estimate,NA,FSW,female,NA,North West,NA,2013,12292,13911,14667,NA,0.014882918261484399,NA,NA,NA
South Africa,NA,Population size estimate,NA,FSW,female,NA,Gauteng,NA,2013,28696,29733,86376,NA,0.007776940380622004,NA,NA,NA
South Africa,NA,Population size estimate,NA,FSW,female,NA,Mpumalanga,NA,2013,11758,14112,15130,NA,0.012268157572336012,NA,NA,NA
South Africa,NA,Population size estimate,NA,FSW,female,NA,Northern Province,NA,2013,11150,13263,14059,NA,NA,NA,NA,NA
South Africa,NA,Population size estimate,"Wisdom of the crowds, mapping, focus discussions and interviews",FSW,female,NA,South Africa,NA,2013,NA,262500,NA,NA,0.017744216908856886,NA,NA,NA
South Africa,NA,Population size estimate,NA,FSW,female,NA,Cape Town,NA,2013,NA,7500,NA,NA,0.0029302178712855014,NA,NA,NA
South Africa,NA,Population size estimate,NA,FSW,female,NA,Beaufort West,NA,2013,NA,170,NA,NA,0.00916918604406731,NA,NA,NA
South Africa,NA,Population size estimate,NA,FSW,female,NA,Bloemfontein,NA,2013,NA,720,NA,NA,0.002663254632958465,NA,NA,NA
South Africa,NA,Population size estimate,NA,FSW,female,NA,Buffalo City mm,NA,2013,NA,500,NA,NA,0.0022124684748992844,NA,NA,NA
South Africa,NA,Population size estimate,NA,FSW,female,NA,Durban,NA,2013,NA,6300,NA,NA,0.002575930746940728,NA,NA,NA
South Africa,NA,Population size estimate,NA,FSW,female,NA,Johannesburg,NA,2013,NA,11000,NA,NA,0.0014485139679296822,NA,NA,NA
South Africa,NA,Population size estimate,NA,FSW,female,NA,Kimberley,NA,2013,NA,370,NA,NA,0.002821484163274992,NA,NA,NA
South Africa,NA,Population size estimate,NA,FSW,female,NA,Musina,NA,2013,NA,500,NA,NA,0.01623472059679211,NA,NA,NA
