"","iso3","year","kp","population_proportion","study_idx","logit_proportion"
"1","BDI",2011,"FSW",0.0129867723177379,5,-4.33075211582817
"2","BDI",2013,"FSW",0.0229671505507318,7,-3.75045531614869
"3","BDI",2013,"FSW",0.0555980037793092,7,-2.83240462159187
"4","BDI",2014,"FSW",0.0222923788724299,9,-3.78096580398121
"5","BDI",2014,"FSW",0.0528668180900013,9,-2.88566383411619
"6","BDI",2011,"MSM",0.00306520542259351,6,-5.78457077699994
"7","BDI",2013,"MSM",0.00426799683153466,8,-5.45233355719174
"8","BDI",2013,"MSM",0.0109531302600521,8,-4.50311643763339
"9","BDI",2014,"MSM",0.00416153322364113,10,-5.47770149273459
"10","BDI",2014,"MSM",0.0103667867853907,10,-4.55872726531209
"11","BWA",2012,"FSW",0.0664216038206845,27,-2.64300257805544
"12","BWA",2012,"FSW",0.0857157912712187,27,-2.36710440275074
"13","BWA",2012,"FSW",0.0384569027270813,27,-3.21900118238052
"14","BWA",2012,"FSW",0.119009258025716,27,-2.00184582871792
"15","BWA",2017,"FSW",0.0488082798281447,29,-2.96981567364888
"16","BWA",2017,"FSW",0.00702328242545635,29,-4.95147652648981
"17","BWA",2017,"FSW",0.0140633714415884,29,-4.25001843407397
"18","BWA",2017,"FSW",4.1909324961973e-05,29,-10.0799602928025
"19","BWA",2012,"MSM",0.0144183328705168,28,-4.2247314790203
"20","BWA",2012,"MSM",0.0124018342120749,28,-4.37743151822695
"21","BWA",2017,"MSM",0.0155846286606733,30,-4.14576284710512
"22","BWA",2017,"MSM",0.0156720810530173,30,-4.14007824003378
"23","BWA",2017,"MSM",0.0794541231366244,30,-2.44978705087167
"24","BWA",2017,"MSM",0.00446484373026995,30,-5.40704622317249
"25","BWA",2017,"TG",9.24116108612677e-05,31,-9.28916551265822
"26","BEN",2000,"FSW",0.00657802160824433,11,-5.01742149415375
"27","BEN",2001,"FSW",0.00918367936829222,12,-4.68110124267658
"28","BEN",2004,"FSW",0.00445468767349192,13,-5.4093336881172
"29","BEN",2004,"FSW",0.000703610780263426,13,-7.25858136520812
"30","BEN",2004,"FSW",0.00536848877020174,13,-5.2218258799976
"31","BEN",2004,"FSW",0.00444753946266419,13,-5.41094680627491
"32","BEN",2012,"FSW",0.00563209427547793,14,-5.17362590669055
"33","BEN",2014,"FSW",0.00618005394336159,16,-5.08022904932972
"34","BEN",2014,"FSW",0.0100161373347475,16,-4.59349111685762
"35","BEN",2014,"FSW",0.00660096924650014,16,-5.01391593320626
"36","BEN",2017,"FSW",0.0109250889077002,21,-4.5057081940805
"37","BEN",2017,"FSW",0.0148040533067191,21,-4.19793953669152
"38","BEN",2013,"MSM",0.000601955451899381,15,-7.41472497886092
"39","BEN",2014,"MSM",0.00157364194350212,17,-6.45278775533829
"40","BEN",2015,"MSM",0.0037976796463273,19,-5.56956010900028
"41","BEN",2016,"MSM",0.0035732956208712,20,-5.63068727083294
"42","BEN",2014,"PWID",0.00100916112095197,18,-6.8976261958941
"43","BFA",2000,"FSW",0.0204901062612232,22,-3.86711018989744
"44","BFA",2014,"FSW",0.00762844306980037,24,-4.86821381980119
"45","BFA",2014,"FSW",0.00797025672369431,24,-4.82403638643948
"46","BFA",2014,"FSW",0.0172823023304953,24,-4.04063890321622
"47","BFA",2014,"FSW",0.00551958293224114,24,-5.19391810518502
"48","BFA",2014,"FSW",0.0195959108087259,24,-3.91264391032511
"49","BFA",2014,"FSW",0.0118049669907172,24,-4.42735970577639
"50","BFA",2017,"FSW",0.00492167719642475,26,-5.30917208445066
"51","BFA",2013,"MSM",0.000442777103972026,23,-7.72200119068821
"52","BFA",2014,"MSM",0.00662884926714461,25,-5.00967313671376
"53","BFA",2014,"MSM",0.00495261812200069,25,-5.30287400571206
"54","BFA",2014,"MSM",0.00277590027574721,25,-5.88400040047323
"55","CIV",2000,"FSW",0.00145656538179623,32,-6.53021646570352
"56","CIV",2001,"FSW",0.00442781170538082,33,-5.41541214517006
"57","CIV",2004,"FSW",0.00500968173940251,34,-5.29136061871028
