kp,iso3,area_id,logit_gen_prev,logit_kp_prev,obs_iid,method,positive,negative,denominator,id.ref,id.iso3,id.area,idx,id.ref.nat,lower,median,upper,indicator,source,gen_prev,region
Female sex workers,NA,NA,-6.906754778648554,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,-3.0579838995531667,0.07131480859831325,-2.109819047841605,prevalence,Main results,9.999999999999994e-4,Western and Central Africa
Female sex workers,NA,NA,-5.109977737428519,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,-2.6598264455247285,0.0889589525421869,-2.0177141509091063,prevalence,Main results,0.006000000000000001,Western and Central Africa
Female sex workers,NA,NA,-4.498799058824342,NA,NA,NA,NA,NA,1,NA,NA,NA,3,NA,-2.557382503344485,0.09621464059585395,-1.9511711444852495,prevalence,Main results,0.010999999999999998,Western and Central Africa
Female sex workers,NA,NA,-4.119037174812472,NA,NA,NA,NA,NA,1,NA,NA,NA,4,NA,-2.5067317772408364,0.10108552541884107,-1.897222831902015,prevalence,Main results,0.016000000000000007,Western and Central Africa
Female sex workers,NA,NA,-3.8420092048070873,NA,NA,NA,NA,NA,1,NA,NA,NA,5,NA,-2.462021048552103,0.1044278373451856,-1.856292096979603,prevalence,Main results,0.021000000000000005,Western and Central Africa
Female sex workers,NA,NA,-3.623314765621053,NA,NA,NA,NA,NA,1,NA,NA,NA,6,NA,-2.4270320815433193,0.10722573180576801,-1.827518382744252,prevalence,Main results,0.026000000000000006,Western and Central Africa
Female sex workers,NA,NA,-3.4422774074056197,NA,NA,NA,NA,NA,1,NA,NA,NA,7,NA,-2.4052603481709114,0.10968671834110534,-1.7994086271923369,prevalence,Main results,0.031000000000000007,Western and Central Africa
Female sex workers,NA,NA,-3.2875723561544357,NA,NA,NA,NA,NA,1,NA,NA,NA,8,NA,-2.3792523831826116,0.11162868197510915,-1.7753666514336424,prevalence,Main results,0.036,Western and Central Africa
Female sex workers,NA,NA,-3.15231900817913,NA,NA,NA,NA,NA,1,NA,NA,NA,9,NA,-2.363682941996517,0.11335649244055736,-1.7517109528019024,prevalence,Main results,0.04100000000000001,Western and Central Africa
Female sex workers,NA,NA,-3.0320222749591914,NA,NA,NA,NA,NA,1,NA,NA,NA,10,NA,-2.3511217217018308,0.11533201605480992,-1.7293992846288613,prevalence,Main results,0.046000000000000006,Western and Central Africa
Female sex workers,NA,NA,-2.923583165885602,NA,NA,NA,NA,NA,1,NA,NA,NA,11,NA,-2.3341485751228928,0.11657798022909982,-1.709576977477911,prevalence,Main results,0.05100000000000001,Western and Central Africa
Female sex workers,NA,NA,-2.8247744754103516,NA,NA,NA,NA,NA,1,NA,NA,NA,12,NA,-2.3281898061537274,0.11792660958574874,-1.6895473443328801,prevalence,Main results,0.05599999999999999,Western and Central Africa
Female sex workers,NA,NA,-2.7339416150349516,NA,NA,NA,NA,NA,1,NA,NA,NA,13,NA,-2.3185658852290385,0.11916905334255999,-1.6734893093512055,prevalence,Main results,0.061000000000000006,Western and Central Africa
