organisation,country,iso3,pop_data_source
angola,Angola,AGO,orderly
burundi,Burundi,BDI,orderly
benin,Benin,BEN,gpw
burkina-faso,Burkina Faso,BFA,gpw
botswana,Botswana,BWA,orderly
republique-centrafricaine,Central African Republic,CAF,worldpop
cote-d-ivoire,C����,CIV,orderly
cameroon,Cameroon,CMR,orderly
republique-democratique-du-congo,"Congo, The Democratic Republic of the",COD,orderly
congo,Congo,COG,worldpop
cabo-verde,Cabo Verde,CPV,
ethiopia,Ethiopia,ETH,gpw
gabon,Gabon,GAB,worldpop
ghana,Ghana,GHA,worldpop
guinee,Guinea,GIN,worldpop
gambia,Gambia,GMB,orderly 
guinea-ecuatorial,Equatorial Guinea,GNQ,
haiti,Haiti,HTI,worldpop
kenya-moh,Kenya,KEN,orderly
liberia,Liberia,LBR,worldpop
lesotho,Lesotho,LSO,orderly
mali,Mali,MLI,worldpop
mozambique,Mozambique,MOZ,orderly
mauritania,Mauritania,MRT,
malawi-moh,Malawi,MWI,orderly
namibia,Namibia,NAM,gpw
niger,Niger,NER,worldpop
nigeria,Nigeria,NGA,orderly
rwanda,Rwanda,RWA,orderly
senegal,Senegal,SEN,worldpop
sierra-leone,Sierra Leone,SLE,worldpop
sao-tome,Sao Tome and Principe,STP,worldpop
eswatini,Eswatini,SWZ,orderly
chad,Chad,TCD,worldpop
togo,Togo,TGO,orderly
tanzania,"Tanzania, United Republic of",TZA,orderly
uganda,Uganda,UGA,orderly
zambia-moh,Zambia,ZMB,orderly
zimbabwe,Zimbabwe,ZWE,orderly
