area_id,year,sex,age_group,population
COG,1995,female,Y000_004,251098.0000000001
COG,1995,female,Y005_009,218871.9999999999
COG,1995,female,Y010_014,195790.00000000017
COG,1995,female,Y015_019,169308.00000000015
COG,1995,female,Y020_024,150263.99999999997
COG,1995,female,Y025_029,128410.99999999999
COG,1995,female,Y030_034,110460
COG,1995,female,Y035_039,88511.99999999993
COG,1995,female,Y040_044,67990
COG,1995,female,Y045_049,50671.999999999985
COG,1995,female,Y050_054,39053.00000000002
COG,1995,female,Y055_059,30398.999999999996
COG,1995,female,Y060_064,27089.99999999999
COG,1995,female,Y065_069,21324.99999999999
COG,1995,female,Y070_074,16182.000000000007
COG,1995,female,Y075_079,9980.000000000004
COG,1995,female,Y080_999,8126.999999999997
COG,1995,male,Y000_004,254491.00000000015
COG,1995,male,Y005_009,220902.0000000001
COG,1995,male,Y010_014,197563
COG,1995,male,Y015_019,171517.9999999999
COG,1995,male,Y020_024,150352.0000000001
COG,1995,male,Y025_029,126379
COG,1995,male,Y030_034,105567.99999999991
COG,1995,male,Y035_039,85312.99999999996
COG,1995,male,Y040_044,65274.99999999999
COG,1995,male,Y045_049,46457.99999999997
COG,1995,male,Y050_054,35600.000000000015
COG,1995,male,Y055_059,27962.00000000001
COG,1995,male,Y060_064,23388.99999999998
COG,1995,male,Y065_069,16744.99999999999
COG,1995,male,Y070_074,11418.999999999998
COG,1995,male,Y075_079,6476.000000000003
COG,1995,male,Y080_999,5093.000000000001
COG,1996,female,Y000_004,251098.0000000001
COG,1996,female,Y005_009,218871.9999999999
COG,1996,female,Y010_014,195790.00000000017
COG,1996,female,Y015_019,169308.00000000015
COG,1996,female,Y020_024,150263.99999999997
COG,1996,female,Y025_029,128410.99999999999
COG,1996,female,Y030_034,110460
COG,1996,female,Y035_039,88511.99999999993
COG,1996,female,Y040_044,67990
COG,1996,female,Y045_049,50671.999999999985
COG,1996,female,Y050_054,39053.00000000002
COG,1996,female,Y055_059,30398.999999999996
COG,1996,female,Y060_064,27089.99999999999
COG,1996,female,Y065_069,21324.99999999999
COG,1996,female,Y070_074,16182.000000000007
COG,1996,female,Y075_079,9980.000000000004
COG,1996,female,Y080_999,8126.999999999997
COG,1996,male,Y000_004,254491.00000000015
COG,1996,male,Y005_009,220902.0000000001
COG,1996,male,Y010_014,197563
COG,1996,male,Y015_019,171517.9999999999
COG,1996,male,Y020_024,150352.0000000001
COG,1996,male,Y025_029,126379
COG,1996,male,Y030_034,105567.99999999991
COG,1996,male,Y035_039,85312.99999999996
COG,1996,male,Y040_044,65274.99999999999
COG,1996,male,Y045_049,46457.99999999997
COG,1996,male,Y050_054,35600.000000000015
COG,1996,male,Y055_059,27962.00000000001
COG,1996,male,Y060_064,23388.99999999998
COG,1996,male,Y065_069,16744.99999999999
COG,1996,male,Y070_074,11418.999999999998
COG,1996,male,Y075_079,6476.000000000003
COG,1996,male,Y080_999,5093.000000000001
COG,1997,female,Y000_004,251098.0000000001
COG,1997,female,Y005_009,218871.9999999999
COG,1997,female,Y010_014,195790.00000000017
COG,1997,female,Y015_019,169308.00000000015
COG,1997,female,Y020_024,150263.99999999997
COG,1997,female,Y025_029,128410.99999999999
COG,1997,female,Y030_034,110460
COG,1997,female,Y035_039,88511.99999999993
COG,1997,female,Y040_044,67990
COG,1997,female,Y045_049,50671.999999999985
COG,1997,female,Y050_054,39053.00000000002
COG,1997,female,Y055_059,30398.999999999996
COG,1997,female,Y060_064,27089.99999999999
COG,1997,female,Y065_069,21324.99999999999
COG,1997,female,Y070_074,16182.000000000007
COG,1997,female,Y075_079,9980.000000000004
COG,1997,female,Y080_999,8126.999999999997
COG,1997,male,Y000_004,254491.00000000015
COG,1997,male,Y005_009,220902.0000000001
COG,1997,male,Y010_014,197563
COG,1997,male,Y015_019,171517.9999999999
COG,1997,male,Y020_024,150352.0000000001
COG,1997,male,Y025_029,126379
COG,1997,male,Y030_034,105567.99999999991
COG,1997,male,Y035_039,85312.99999999996
COG,1997,male,Y040_044,65274.99999999999
COG,1997,male,Y045_049,46457.99999999997
COG,1997,male,Y050_054,35600.000000000015
COG,1997,male,Y055_059,27962.00000000001
COG,1997,male,Y060_064,23388.99999999998
COG,1997,male,Y065_069,16744.99999999999
COG,1997,male,Y070_074,11418.999999999998
COG,1997,male,Y075_079,6476.000000000003
COG,1997,male,Y080_999,5093.000000000001
COG,1998,female,Y000_004,251098.0000000001
COG,1998,female,Y005_009,218871.9999999999
COG,1998,female,Y010_014,195790.00000000017
COG,1998,female,Y015_019,169308.00000000015
COG,1998,female,Y020_024,150263.99999999997
COG,1998,female,Y025_029,128410.99999999999
COG,1998,female,Y030_034,110460
COG,1998,female,Y035_039,88511.99999999993
COG,1998,female,Y040_044,67990
COG,1998,female,Y045_049,50671.999999999985
COG,1998,female,Y050_054,39053.00000000002
COG,1998,female,Y055_059,30398.999999999996
COG,1998,female,Y060_064,27089.99999999999
COG,1998,female,Y065_069,21324.99999999999
COG,1998,female,Y070_074,16182.000000000007
COG,1998,female,Y075_079,9980.000000000004
COG,1998,female,Y080_999,8126.999999999997
COG,1998,male,Y000_004,254491.00000000015
COG,1998,male,Y005_009,220902.0000000001
COG,1998,male,Y010_014,197563
COG,1998,male,Y015_019,171517.9999999999
COG,1998,male,Y020_024,150352.0000000001
COG,1998,male,Y025_029,126379
COG,1998,male,Y030_034,105567.99999999991
COG,1998,male,Y035_039,85312.99999999996
COG,1998,male,Y040_044,65274.99999999999
COG,1998,male,Y045_049,46457.99999999997
COG,1998,male,Y050_054,35600.000000000015
COG,1998,male,Y055_059,27962.00000000001
COG,1998,male,Y060_064,23388.99999999998
COG,1998,male,Y065_069,16744.99999999999
COG,1998,male,Y070_074,11418.999999999998
COG,1998,male,Y075_079,6476.000000000003
COG,1998,male,Y080_999,5093.000000000001
COG,1999,female,Y000_004,251098.0000000001
COG,1999,female,Y005_009,218871.9999999999
COG,1999,female,Y010_014,195790.00000000017
COG,1999,female,Y015_019,169308.00000000015
COG,1999,female,Y020_024,150263.99999999997
COG,1999,female,Y025_029,128410.99999999999
COG,1999,female,Y030_034,110460
COG,1999,female,Y035_039,88511.99999999993
COG,1999,female,Y040_044,67990
COG,1999,female,Y045_049,50671.999999999985
COG,1999,female,Y050_054,39053.00000000002
COG,1999,female,Y055_059,30398.999999999996
COG,1999,female,Y060_064,27089.99999999999
COG,1999,female,Y065_069,21324.99999999999
COG,1999,female,Y070_074,16182.000000000007
COG,1999,female,Y075_079,9980.000000000004
COG,1999,female,Y080_999,8126.999999999997
COG,1999,male,Y000_004,254491.00000000015
COG,1999,male,Y005_009,220902.0000000001
COG,1999,male,Y010_014,197563
COG,1999,male,Y015_019,171517.9999999999
COG,1999,male,Y020_024,150352.0000000001
COG,1999,male,Y025_029,126379
COG,1999,male,Y030_034,105567.99999999991
COG,1999,male,Y035_039,85312.99999999996
COG,1999,male,Y040_044,65274.99999999999
COG,1999,male,Y045_049,46457.99999999997
COG,1999,male,Y050_054,35600.000000000015
COG,1999,male,Y055_059,27962.00000000001
COG,1999,male,Y060_064,23388.99999999998
COG,1999,male,Y065_069,16744.99999999999
COG,1999,male,Y070_074,11418.999999999998
COG,1999,male,Y075_079,6476.000000000003
COG,1999,male,Y080_999,5093.000000000001
COG,2000,female,Y000_004,251098.0000000001
COG,2000,female,Y005_009,218871.9999999999
COG,2000,female,Y010_014,195790.00000000017
COG,2000,female,Y015_019,169308.00000000015
COG,2000,female,Y020_024,150263.99999999997
COG,2000,female,Y025_029,128410.99999999999
COG,2000,female,Y030_034,110460
COG,2000,female,Y035_039,88511.99999999993
COG,2000,female,Y040_044,67990
COG,2000,female,Y045_049,50671.999999999985
COG,2000,female,Y050_054,39053.00000000002
COG,2000,female,Y055_059,30398.999999999996
COG,2000,female,Y060_064,27089.99999999999
COG,2000,female,Y065_069,21324.99999999999
COG,2000,female,Y070_074,16182.000000000007
COG,2000,female,Y075_079,9980.000000000004
COG,2000,female,Y080_999,8126.999999999997
COG,2000,male,Y000_004,254491.00000000015
COG,2000,male,Y005_009,220902.0000000001
COG,2000,male,Y010_014,197563
COG,2000,male,Y015_019,171517.9999999999
COG,2000,male,Y020_024,150352.0000000001
COG,2000,male,Y025_029,126379
COG,2000,male,Y030_034,105567.99999999991
COG,2000,male,Y035_039,85312.99999999996
COG,2000,male,Y040_044,65274.99999999999
COG,2000,male,Y045_049,46457.99999999997
COG,2000,male,Y050_054,35600.000000000015
COG,2000,male,Y055_059,27962.00000000001
COG,2000,male,Y060_064,23388.99999999998
COG,2000,male,Y065_069,16744.99999999999
COG,2000,male,Y070_074,11418.999999999998
COG,2000,male,Y075_079,6476.000000000003
COG,2000,male,Y080_999,5093.000000000001
COG,2001,female,Y000_004,258689.48228950094
COG,2001,female,Y005_009,223897.64599519502
COG,2001,female,Y010_014,200003.8689019894
COG,2001,female,Y015_019,174558.6693886849
COG,2001,female,Y020_024,154798.892260805
COG,2001,female,Y025_029,133403.24560450437
COG,2001,female,Y030_034,114322.99238628875
COG,2001,female,Y035_039,92554.32476138446
COG,2001,female,Y040_044,71453.82077512862
COG,2001,female,Y045_049,53417.52151918956
COG,2001,female,Y050_054,40748.62392751135
COG,2001,female,Y055_059,31504.774289560122
COG,2001,female,Y060_064,27132.267894820285
COG,2001,female,Y065_069,21635.807101240298
COG,2001,female,Y070_074,16275.317498671242
COG,2001,female,Y075_079,10221.432666092063
COG,2001,female,Y080_999,8311.619360415452
COG,2001,male,Y000_004,262276.8085065239
COG,2001,male,Y005_009,225946.6707334873
COG,2001,male,Y010_014,201761.7011747211
COG,2001,male,Y015_019,176617.4264355061
COG,2001,male,Y020_024,155132.57412094186
COG,2001,male,Y025_029,131684.62252510228
COG,2001,male,Y030_034,109991.44264935383
COG,2001,male,Y035_039,89193.21709518482
COG,2001,male,Y040_044,68748.19646260198
COG,2001,male,Y045_049,49472.87403970425
COG,2001,male,Y050_054,37207.01710408818
COG,2001,male,Y055_059,28921.63280692153
COG,2001,male,Y060_064,23697.74077940032
COG,2001,male,Y065_069,17279.738865772364
COG,2001,male,Y070_074,11677.983054558623
COG,2001,male,Y075_079,6682.415338594796
COG,2001,male,Y080_999,5183.1514534476355
COG,2002,female,Y000_004,266510.4789652247
COG,2002,female,Y005_009,229038.68874131772
COG,2002,female,Y010_014,204308.43033742372
COG,2002,female,Y015_019,179972.17531804866
COG,2002,female,Y020_024,159470.6452987563
COG,2002,female,Y025_029,138589.57517514634
COG,2002,female,Y030_034,118321.0808270454
COG,2002,female,Y035_039,96781.26165984082
COG,2002,female,Y040_044,75094.10947733787
COG,2002,female,Y045_049,56311.80149299575
COG,2002,female,Y050_054,42517.86935666273
COG,2002,female,Y055_059,32650.77150683011
COG,2002,female,Y060_064,27174.601739250495
COG,2002,female,Y065_069,21951.14414640471
COG,2002,female,Y070_074,16369.17313574059
COG,2002,female,Y075_079,10468.705986718825
COG,2002,female,Y080_999,8500.43268025509
COG,2002,male,Y000_004,270300.81331115006
COG,2002,male,Y005_009,231106.5450541276
COG,2002,male,Y010_014,206049.63510838326
COG,2002,male,Y015_019,181868.46465502994
COG,2002,male,Y020_024,160065.1508020479
COG,2002,male,Y025_029,137212.98482800683
COG,2002,male,Y030_034,114600.23355643854
COG,2002,male,Y035_039,93249.91473502031
COG,2002,male,Y040_044,72406.19711774062
COG,2002,male,Y045_049,52683.39717052918
COG,2002,male,Y050_054,38886.57645460422
COG,2002,male,Y055_059,29914.199421300316
COG,2002,male,Y060_064,24010.55701601831
COG,2002,male,Y065_069,17831.55421136361
COG,2002,male,Y070_074,11942.839847846451
COG,2002,male,Y075_079,6895.409937845427
COG,2002,male,Y080_999,5274.898682382953
COG,2003,female,Y000_004,274567.9289689325
COG,2003,female,Y005_009,234297.7779295996
COG,2003,female,Y010_014,208705.6362264533
COG,2003,female,Y015_019,185553.56776115522
COG,2003,female,Y020_024,164283.3895035622
COG,2003,female,Y025_029,143977.53413114118
COG,2003,female,Y030_034,122458.98988346681
COG,2003,female,Y035_039,101201.24189354466
COG,2003,female,Y040_044,78919.85644744195
COG,2003,female,Y045_049,59362.899984931064
COG,2003,female,Y050_054,44363.932824973876
COG,2003,female,Y055_059,33838.4547749164
COG,2003,female,Y060_064,27217.001636190253
COG,2003,female,Y065_069,22271.077158411845
COG,2003,female,Y070_074,16463.57001451603
COG,2003,female,Y075_079,10721.96125695003
COG,2003,female,Y080_999,8693.53523281856
COG,2003,male,Y000_004,278570.3017079824
COG,2003,male,Y005_009,236384.25383065248
COG,2003,male,Y010_014,210428.69821726708
COG,2003,male,Y015_019,187275.62225042388
COG,2003,male,Y020_024,165154.56309845173
COG,2003,male,Y025_029,142973.43793366538
COG,2003,male,Y030_034,119402.1390651102
COG,2003,male,Y035_039,97491.11963086686
COG,2003,male,Y040_044,76258.83515220722
COG,2003,male,Y045_049,56102.26596498564
COG,2003,male,Y050_054,40641.95267600826
COG,2003,male,Y055_059,30940.830104279863
COG,2003,male,Y060_064,24327.502506931203
COG,2003,male,Y065_069,18400.991361195993
COG,2003,male,Y070_074,12213.703596327032
COG,2003,male,Y075_079,7115.193504409717
COG,2003,male,Y080_999,5368.269933709447
COG,2004,female,Y000_004,282868.98102841753
COG,2004,female,Y005_009,239677.62409235685
COG,2004,female,Y010_014,213197.48049921796
COG,2004,female,Y015_019,191308.05330350847
COG,2004,female,Y020_024,169241.37991802293
COG,2004,female,Y025_029,149574.96123562264
COG,2004,female,Y030_034,126741.60934347444
COG,2004,female,Y035_039,105823.08171175171
COG,2004,female,Y040_044,82940.51004845412
COG,2004,female,Y045_049,62579.31377065348
COG,2004,female,Y050_054,46290.14965893109
COG,2004,female,Y055_059,35069.3404385417
COG,2004,female,Y060_064,27259.46768869975
COG,2004,female,Y065_069,22595.673122449607
COG,2004,female,Y070_074,16558.511256201444
COG,2004,female,Y075_079,10981.343190016285
COG,2004,female,Y080_999,8891.02445570921
COG,2004,male,Y000_004,287092.7839360495
COG,2004,male,Y005_009,241782.4880121298
COG,2004,male,Y010_014,214900.8272211795
COG,2004,male,Y015_019,192843.54082940498
COG,2004,male,Y020_024,170405.79773652708
COG,2004,male,Y025_029,148975.7254402303
COG,2004,male,Y030_034,124405.25093958633
COG,2004,male,Y035_039,101925.22356602819
COG,2004,male,Y040_044,80316.46696366328
COG,2004,male,Y045_049,59743.000934773845
COG,2004,male,Y050_054,42476.568212353406
COG,2004,male,Y055_059,32002.693906634915
COG,2004,male,Y060_064,24648.631759351254
COG,2004,male,Y065_069,18988.613054213172
COG,2004,male,Y070_074,12490.710537814964
COG,2004,male,Y075_079,7341.982429113269
COG,2004,male,Y080_999,5463.293954330533
COG,2005,female,Y000_004,291420.9999999999
COG,2005,female,Y005_009,245180.99999999983
COG,2005,female,Y010_014,217785.99999999994
COG,2005,female,Y015_019,197241.00000000012
COG,2005,female,Y020_024,174349
COG,2005,female,Y025_029,155389.9999999999
COG,2005,female,Y030_034,131174.0000000001
COG,2005,female,Y035_039,110656
COG,2005,female,Y040_044,87165.99999999993
COG,2005,female,Y045_049,65969.99999999999
COG,2005,female,Y050_054,48300
COG,2005,female,Y055_059,36344.99999999999
COG,2005,female,Y060_064,27301.999999999978
COG,2005,female,Y065_069,22925
COG,2005,female,Y070_074,16654
COG,2005,female,Y075_079,11247.000000000004
COG,2005,female,Y080_999,9092.999999999995
COG,2005,male,Y000_004,295876.00000000023
COG,2005,male,Y005_009,247304.00000000003
COG,2005,male,Y010_014,219467.9999999999
COG,2005,male,Y015_019,198576.99999999983
COG,2005,male,Y020_024,175824
COG,2005,male,Y025_029,155230.00000000003
COG,2005,male,Y030_034,129617.99999999994
COG,2005,male,Y035_039,106561.00000000004
COG,2005,male,Y040_044,84590.00000000006
COG,2005,male,Y045_049,63620.00000000004
COG,2005,male,Y050_054,44394.00000000003
COG,2005,male,Y055_059,33100.99999999999
COG,2005,male,Y060_064,24974.000000000022
COG,2005,male,Y065_069,19595
COG,2005,male,Y070_074,12774.000000000002
COG,2005,male,Y075_079,7575.999999999995
COG,2005,male,Y080_999,5559.999999999995
COG,2006,female,Y000_004,304185.0342416722
COG,2006,female,Y005_009,253389.813975605
COG,2006,female,Y010_014,223084.624754082
COG,2006,female,Y015_019,202132.85693723528
COG,2006,female,Y020_024,181013.6268982987
COG,2006,female,Y025_029,161521.45190920497
COG,2006,female,Y030_034,137373.62214637155
COG,2006,female,Y035_039,115369.39493575784
COG,2006,female,Y040_044,91687.86671816249
COG,2006,female,Y045_049,69681.27102261003
COG,2006,female,Y050_054,51149.06678588611
COG,2006,female,Y055_059,38103.58342502924
COG,2006,female,Y060_064,28442.118297405974
COG,2006,female,Y065_069,23108.053249873545
COG,2006,female,Y070_074,17001.58513459808
COG,2006,female,Y075_079,11371.22533544531
COG,2006,female,Y080_999,9337.853434814651
COG,2006,male,Y000_004,308864.65304228733
COG,2006,male,Y005_009,255731.6878569417
COG,2006,male,Y010_014,224779.59768392958
COG,2006,male,Y015_019,203377.7922708033
COG,2006,male,Y020_024,182210.31129346785
COG,2006,male,Y025_029,161486.86478398886
