iso3,pop_assign,notes
UGA,,
NAM,,
ZMB,,"""kasumbalesa"" - town on the DRC border, near Chilalabombwe is unmatched"
LSO,,"""Lesotho Urban"" - can't find source for what that would include"
SWZ,N,What do with the Mbabane/Manzini corridor?
ZWE,N,Orderly input not found
MOZ,N,Orderly input not found
MWI,,"""Non selected districts""
Rural areas around cities"
AGO,,
TZA,,
BDI,N,"Lots of ""Urban"" and ""Rural"". Requires data review"
KEN,N,Orderly input not found
COD,N,Old province areas need renaming
COG,,"""5 cities (not specified)"""
GAB,N,"""5 regions"" Data review (only data avaialble!!)"
CMR,,
NGA,N,Orderly input not found
BEN,,"Quite a lot of ""major cities"". "
TGO,,"""Vogan"" is the capital of ""Vo"" district (which we have). But don't have city limits of Vogan in the city dictionary. 
Similar situation for ""Tabligbo"". 
A few ""urban areas"" too"
GHA,,"""Non-RDS Sites"""
CIV,,A few unmatched towns
BFA,N,"Wiki suggests there are three area levels - we're missing the 2nd level ""province"": BOULKIEMDE is a province within centre-est, Houet within Hauts-Bassins"
NER,N,So many missing urban areas in the mapping
MLI,,
LBR,,
SLE,,
GIN,,"""Bissoa"" doesn't exist. Was the area_name meant to read Guinea Bissau and not for GIN at all?"
SEN,N,
GMB,,"Recoding of ""Banjul City"" and ""Greater Banjul"" May require review"
ETH,N,Orderly input not found
