iso3,country.name,method,simple_method,kp,area_name,area_level,province,age_group,year,count_lower,count_estimate,count_upper,prop_lower,prop_estimate,prop_upper,denominator,ref,link,dataset_id,dataset,uid,data_checked,source_found,duplicate_of,is_aggregate,study_idx,idx
AGO,Angola,Multiplier,Multiplier,FSW,Benguela,NA,NA,NA,2015,2768,3277,3786,NA,NA,NA,NA,"Prevalencia Do VIH, Factores Biologicos E Comportamentais Da Infeccao Entre As Profissionais Do Sexo (MTS) Em Angola",NA,NA,Surveillance review,NA,Yes,yes,NA,NA,2,1
AGO,Angola,Multiplier,Multiplier,FSW,Benguela,NA,NA,NA,2015,5310,5695,6080,NA,NA,NA,NA,"Prevalencia Do VIH, Factores Biologicos E Comportamentais Da Infeccao Entre As Profissionais Do Sexo (MTS) Em Angola",NA,NA,Surveillance review,NA,Yes,yes,NA,NA,2,2
AGO,Angola,Multiplier,Multiplier,FSW,Kilamba Kiaxi,NA,NA,NA,2015,748,994,1240,NA,NA,NA,NA,"Prevalencia Do VIH, Factores Biologicos E Comportamentais Da Infeccao Entre As Profissionais Do Sexo (MTS) Em Angola",NA,NA,Surveillance review,NA,Yes,yes,NA,NA,2,3
AGO,Angola,Multiplier,Multiplier,FSW,Lobito,NA,NA,NA,2015,1364,1767,2170,NA,NA,NA,NA,"Prevalencia Do VIH, Factores Biologicos E Comportamentais Da Infeccao Entre As Profissionais Do Sexo (MTS) Em Angola",NA,NA,Surveillance review,NA,Yes,yes,NA,NA,2,4
AGO,Angola,PLACE,PLACE/mapping,FSW,Benguela,NA,NA,NA,2017,NA,4500,NA,NA,NA,NA,NA,Mapeamento Programatico E Prevalencia De VIH E Outras Its Entre Populacoes Chave De Angola: Estudo PLACE 2017,NA,NA,Surveillance review,NA,Yes,yes,NA,NA,3,5
AGO,Angola,PLACE,PLACE/mapping,MSM,Benguela,NA,NA,NA,2017,NA,4300,NA,NA,NA,NA,NA,Mapeamento Programatico E Prevalencia De VIH E Outras Its Entre Populacoes Chave De Angola: Estudo PLACE 2017,NA,NA,Surveillance review,NA,Yes,yes,NA,NA,3,6
AGO,Angola,PLACE,PLACE/mapping,TGW,Benguela,NA,NA,NA,2017,NA,120,NA,NA,NA,NA,NA,Mapeamento Programatico E Prevalencia De VIH E Outras Its Entre Populacoes Chave De Angola: Estudo PLACE 2017,NA,NA,Surveillance review,NA,Yes,yes,NA,NA,3,7
AGO,Angola,PLACE,PLACE/mapping,FSW,Bie,NA,NA,NA,2017,NA,4800,NA,NA,NA,NA,NA,Mapeamento Programático e Prevalência de VIH e outras ITS entre Populações Chave de Angola: Estudo PLACE 2017,NA,NA,Surveillance review,NA,Yes,yes,NA,NA,3,8
AGO,Angola,PLACE,PLACE/mapping,MSM,Bie,NA,NA,NA,2017,NA,600,NA,NA,NA,NA,NA,Mapeamento Programático e Prevalência de VIH e outras ITS entre Populações Chave de Angola: Estudo PLACE 2017,NA,NA,Surveillance review,NA,Yes,yes,NA,NA,3,9
AGO,Angola,PLACE,PLACE/mapping,TGW,Bie,NA,NA,NA,2017,NA,10,NA,NA,NA,NA,NA,Mapeamento Programático e Prevalência de VIH e outras ITS entre Populações Chave de Angola: Estudo PLACE 2017,NA,NA,Surveillance review,NA,Yes,yes,NA,NA,3,10
AGO,Angola,PLACE,PLACE/mapping,FSW,Cabinda,NA,NA,NA,2017,NA,8100,NA,NA,NA,NA,NA,Mapeamento Programático e Prevalência de VIH e outras ITS entre Populações Chave de Angola: Estudo PLACE 2017,NA,NA,Surveillance review,NA,Yes,yes,NA,NA,3,11
AGO,Angola,PLACE,PLACE/mapping,MSM,Cabinda,NA,NA,NA,2017,NA,700,NA,NA,NA,NA,NA,Mapeamento Programático e Prevalência de VIH e outras ITS entre Populações Chave de Angola: Estudo PLACE 2017,NA,NA,Surveillance review,NA,Yes,yes,NA,NA,3,12
AGO,Angola,PLACE,PLACE/mapping,TGW,Cabinda,NA,NA,NA,2017,NA,120,NA,NA,NA,NA,NA,Mapeamento Programático e Prevalência de VIH e outras ITS entre Populações Chave de Angola: Estudo PLACE 2017,NA,NA,Surveillance review,NA,Yes,yes,NA,NA,3,13
AGO,Angola,PLACE,PLACE/mapping,FSW,Cunene,NA,NA,NA,2017,NA,1200,NA,NA,NA,NA,NA,Mapeamento Programático e Prevalência de VIH e outras ITS entre Populações Chave de Angola: Estudo PLACE 2017,NA,NA,Surveillance review,NA,Yes,yes,NA,NA,3,14
AGO,Angola,PLACE,PLACE/mapping,MSM,Cunene,NA,NA,NA,2017,NA,300,NA,NA,NA,NA,NA,Mapeamento Programático e Prevalência de VIH e outras ITS entre Populações Chave de Angola: Estudo PLACE 2017,NA,NA,Surveillance review,NA,Yes,yes,NA,NA,3,15
AGO,Angola,PLACE,PLACE/mapping,TGW,Cunene,NA,NA,NA,2017,NA,50,NA,NA,NA,NA,NA,Mapeamento Programático e Prevalência de VIH e outras ITS entre Populações Chave de Angola: Estudo PLACE 2017,NA,NA,Surveillance review,NA,Yes,yes,NA,NA,3,16
AGO,Angola,PLACE,PLACE/mapping,FSW,Luanda,NA,NA,NA,2017,NA,32600,NA,NA,NA,NA,NA,Mapeamento Programático e Prevalência de VIH e outras ITS entre Populações Chave de Angola: Estudo PLACE 2017,NA,NA,Surveillance review,NA,Yes,yes,NA,NA,3,17
