area_id,year,sex,age_group,population,area_name
BFA-HUMD_2_1,1995,female,Y000_004,81753.12072,Kadiogo
BFA-HUMD_2_1,1995,female,Y005_009,67657.27203,Kadiogo
BFA-HUMD_2_1,1995,female,Y010_014,75103.11253,Kadiogo
BFA-HUMD_2_1,1995,female,Y015_019,85440.59893,Kadiogo
BFA-HUMD_2_1,1995,female,Y020_024,73465.71006,Kadiogo
BFA-HUMD_2_1,1995,female,Y025_029,52814.72961,Kadiogo
BFA-HUMD_2_1,1995,female,Y030_034,39684.87262,Kadiogo
BFA-HUMD_2_1,1995,female,Y035_039,29767.87011,Kadiogo
BFA-HUMD_2_1,1995,female,Y040_044,23734.70617,Kadiogo
BFA-HUMD_2_1,1995,female,Y045_049,17588.3606,Kadiogo
BFA-HUMD_2_1,1995,female,Y050_054,13741.42372,Kadiogo
BFA-HUMD_2_1,1995,female,Y055_059,11468.46315,Kadiogo
BFA-HUMD_2_1,1995,female,Y060_064,8500.614931,Kadiogo
BFA-HUMD_2_1,1995,female,Y065_069,6278.497714,Kadiogo
BFA-HUMD_2_1,1995,female,Y070_074,4243.419828,Kadiogo
BFA-HUMD_2_1,1995,female,Y075_079,2373.117446,Kadiogo
BFA-HUMD_2_1,1995,female,Y080_999,1472.119124,Kadiogo
BFA-HUMD_2_1,1995,male,Y000_004,86071.94918,Kadiogo
BFA-HUMD_2_1,1995,male,Y005_009,66469.52951,Kadiogo
BFA-HUMD_2_1,1995,male,Y010_014,65624.49825,Kadiogo
BFA-HUMD_2_1,1995,male,Y015_019,75959.70583,Kadiogo
BFA-HUMD_2_1,1995,male,Y020_024,87031.40476,Kadiogo
BFA-HUMD_2_1,1995,male,Y025_029,69707.39361,Kadiogo
BFA-HUMD_2_1,1995,male,Y030_034,53669.32413,Kadiogo
BFA-HUMD_2_1,1995,male,Y035_039,39331.56491,Kadiogo
BFA-HUMD_2_1,1995,male,Y040_044,28663.38994,Kadiogo
BFA-HUMD_2_1,1995,male,Y045_049,20502.57588,Kadiogo
BFA-HUMD_2_1,1995,male,Y050_054,15476.77676,Kadiogo
BFA-HUMD_2_1,1995,male,Y055_059,12049.25156,Kadiogo
BFA-HUMD_2_1,1995,male,Y060_064,7648.013877,Kadiogo
BFA-HUMD_2_1,1995,male,Y065_069,4717.036575,Kadiogo
BFA-HUMD_2_1,1995,male,Y070_074,2897.819122,Kadiogo
BFA-HUMD_2_1,1995,male,Y075_079,1437.327031,Kadiogo
BFA-HUMD_2_1,1995,male,Y080_999,698.551467,Kadiogo
BFA-HUMD_2_1,1996,female,Y000_004,81753.12072,Kadiogo
BFA-HUMD_2_1,1996,female,Y005_009,67657.27203,Kadiogo
BFA-HUMD_2_1,1996,female,Y010_014,75103.11253,Kadiogo
BFA-HUMD_2_1,1996,female,Y015_019,85440.59893,Kadiogo
BFA-HUMD_2_1,1996,female,Y020_024,73465.71006,Kadiogo
BFA-HUMD_2_1,1996,female,Y025_029,52814.72961,Kadiogo
BFA-HUMD_2_1,1996,female,Y030_034,39684.87262,Kadiogo
BFA-HUMD_2_1,1996,female,Y035_039,29767.87011,Kadiogo
BFA-HUMD_2_1,1996,female,Y040_044,23734.70617,Kadiogo
BFA-HUMD_2_1,1996,female,Y045_049,17588.3606,Kadiogo
BFA-HUMD_2_1,1996,female,Y050_054,13741.42372,Kadiogo
BFA-HUMD_2_1,1996,female,Y055_059,11468.46315,Kadiogo
BFA-HUMD_2_1,1996,female,Y060_064,8500.614931,Kadiogo
BFA-HUMD_2_1,1996,female,Y065_069,6278.497714,Kadiogo
BFA-HUMD_2_1,1996,female,Y070_074,4243.419828,Kadiogo
BFA-HUMD_2_1,1996,female,Y075_079,2373.117446,Kadiogo
BFA-HUMD_2_1,1996,female,Y080_999,1472.119124,Kadiogo
BFA-HUMD_2_1,1996,male,Y000_004,86071.94918,Kadiogo
BFA-HUMD_2_1,1996,male,Y005_009,66469.52951,Kadiogo
BFA-HUMD_2_1,1996,male,Y010_014,65624.49825,Kadiogo
BFA-HUMD_2_1,1996,male,Y015_019,75959.70583,Kadiogo
BFA-HUMD_2_1,1996,male,Y020_024,87031.40476,Kadiogo
BFA-HUMD_2_1,1996,male,Y025_029,69707.39361,Kadiogo
BFA-HUMD_2_1,1996,male,Y030_034,53669.32413,Kadiogo
BFA-HUMD_2_1,1996,male,Y035_039,39331.56491,Kadiogo
BFA-HUMD_2_1,1996,male,Y040_044,28663.38994,Kadiogo
BFA-HUMD_2_1,1996,male,Y045_049,20502.57588,Kadiogo
BFA-HUMD_2_1,1996,male,Y050_054,15476.77676,Kadiogo
BFA-HUMD_2_1,1996,male,Y055_059,12049.25156,Kadiogo
BFA-HUMD_2_1,1996,male,Y060_064,7648.013877,Kadiogo
BFA-HUMD_2_1,1996,male,Y065_069,4717.036575,Kadiogo
BFA-HUMD_2_1,1996,male,Y070_074,2897.819122,Kadiogo
BFA-HUMD_2_1,1996,male,Y075_079,1437.327031,Kadiogo
BFA-HUMD_2_1,1996,male,Y080_999,698.551467,Kadiogo
BFA-HUMD_2_1,1997,female,Y000_004,81753.12072,Kadiogo
BFA-HUMD_2_1,1997,female,Y005_009,67657.27203,Kadiogo
BFA-HUMD_2_1,1997,female,Y010_014,75103.11253,Kadiogo
BFA-HUMD_2_1,1997,female,Y015_019,85440.59893,Kadiogo
BFA-HUMD_2_1,1997,female,Y020_024,73465.71006,Kadiogo
BFA-HUMD_2_1,1997,female,Y025_029,52814.72961,Kadiogo
BFA-HUMD_2_1,1997,female,Y030_034,39684.87262,Kadiogo
BFA-HUMD_2_1,1997,female,Y035_039,29767.87011,Kadiogo
BFA-HUMD_2_1,1997,female,Y040_044,23734.70617,Kadiogo
BFA-HUMD_2_1,1997,female,Y045_049,17588.3606,Kadiogo
BFA-HUMD_2_1,1997,female,Y050_054,13741.42372,Kadiogo
BFA-HUMD_2_1,1997,female,Y055_059,11468.46315,Kadiogo
BFA-HUMD_2_1,1997,female,Y060_064,8500.614931,Kadiogo
BFA-HUMD_2_1,1997,female,Y065_069,6278.497714,Kadiogo
BFA-HUMD_2_1,1997,female,Y070_074,4243.419828,Kadiogo
BFA-HUMD_2_1,1997,female,Y075_079,2373.117446,Kadiogo
BFA-HUMD_2_1,1997,female,Y080_999,1472.119124,Kadiogo
BFA-HUMD_2_1,1997,male,Y000_004,86071.94918,Kadiogo
BFA-HUMD_2_1,1997,male,Y005_009,66469.52951,Kadiogo
BFA-HUMD_2_1,1997,male,Y010_014,65624.49825,Kadiogo
BFA-HUMD_2_1,1997,male,Y015_019,75959.70583,Kadiogo
BFA-HUMD_2_1,1997,male,Y020_024,87031.40476,Kadiogo
BFA-HUMD_2_1,1997,male,Y025_029,69707.39361,Kadiogo
BFA-HUMD_2_1,1997,male,Y030_034,53669.32413,Kadiogo
BFA-HUMD_2_1,1997,male,Y035_039,39331.56491,Kadiogo
BFA-HUMD_2_1,1997,male,Y040_044,28663.38994,Kadiogo
BFA-HUMD_2_1,1997,male,Y045_049,20502.57588,Kadiogo
BFA-HUMD_2_1,1997,male,Y050_054,15476.77676,Kadiogo
BFA-HUMD_2_1,1997,male,Y055_059,12049.25156,Kadiogo
BFA-HUMD_2_1,1997,male,Y060_064,7648.013877,Kadiogo
BFA-HUMD_2_1,1997,male,Y065_069,4717.036575,Kadiogo
BFA-HUMD_2_1,1997,male,Y070_074,2897.819122,Kadiogo
BFA-HUMD_2_1,1997,male,Y075_079,1437.327031,Kadiogo
BFA-HUMD_2_1,1997,male,Y080_999,698.551467,Kadiogo
BFA-HUMD_2_1,1998,female,Y000_004,81753.12072,Kadiogo
BFA-HUMD_2_1,1998,female,Y005_009,67657.27203,Kadiogo
BFA-HUMD_2_1,1998,female,Y010_014,75103.11253,Kadiogo
BFA-HUMD_2_1,1998,female,Y015_019,85440.59893,Kadiogo
BFA-HUMD_2_1,1998,female,Y020_024,73465.71006,Kadiogo
