area_id,year,sex,age_group,population
GMB,1995,female,Y000_004,129569.00000000004
GMB,1995,female,Y005_009,107487
GMB,1995,female,Y010_014,90705
GMB,1995,female,Y015_019,77096.99999999997
GMB,1995,female,Y020_024,66744.99999999999
GMB,1995,female,Y025_029,58007.000000000015
GMB,1995,female,Y030_034,48650.99999999998
GMB,1995,female,Y035_039,37864.99999999999
GMB,1995,female,Y040_044,26600.999999999978
GMB,1995,female,Y045_049,18285.99999999999
GMB,1995,female,Y050_054,15025.000000000004
GMB,1995,female,Y055_059,13844.000000000011
GMB,1995,female,Y060_064,11361.999999999993
GMB,1995,female,Y065_069,9543.99999999999
GMB,1995,female,Y070_074,7380.999999999996
GMB,1995,female,Y075_079,5234.000000000005
GMB,1995,female,Y080_999,5080.999999999998
GMB,1995,male,Y000_004,132243.9999999999
GMB,1995,male,Y005_009,108496.99999999997
GMB,1995,male,Y010_014,90173.00000000004
GMB,1995,male,Y015_019,74857
GMB,1995,male,Y020_024,62958.99999999997
GMB,1995,male,Y025_029,53144.999999999985
GMB,1995,male,Y030_034,44045.99999999998
GMB,1995,male,Y035_039,35014.000000000015
GMB,1995,male,Y040_044,25667.000000000004
GMB,1995,male,Y045_049,18358
GMB,1995,male,Y050_054,15541.99999999999
GMB,1995,male,Y055_059,13753.000000000007
GMB,1995,male,Y060_064,10839.000000000005
GMB,1995,male,Y065_069,8800.000000000007
GMB,1995,male,Y070_074,6626.000000000001
GMB,1995,male,Y075_079,4548.999999999996
GMB,1995,male,Y080_999,4004.9999999999986
GMB,1996,female,Y000_004,129569.00000000004
GMB,1996,female,Y005_009,107487
GMB,1996,female,Y010_014,90705
GMB,1996,female,Y015_019,77096.99999999997
GMB,1996,female,Y020_024,66744.99999999999
GMB,1996,female,Y025_029,58007.000000000015
GMB,1996,female,Y030_034,48650.99999999998
GMB,1996,female,Y035_039,37864.99999999999
GMB,1996,female,Y040_044,26600.999999999978
GMB,1996,female,Y045_049,18285.99999999999
GMB,1996,female,Y050_054,15025.000000000004
GMB,1996,female,Y055_059,13844.000000000011
GMB,1996,female,Y060_064,11361.999999999993
GMB,1996,female,Y065_069,9543.99999999999
GMB,1996,female,Y070_074,7380.999999999996
GMB,1996,female,Y075_079,5234.000000000005
GMB,1996,female,Y080_999,5080.999999999998
GMB,1996,male,Y000_004,132243.9999999999
GMB,1996,male,Y005_009,108496.99999999997
GMB,1996,male,Y010_014,90173.00000000004
GMB,1996,male,Y015_019,74857
GMB,1996,male,Y020_024,62958.99999999997
GMB,1996,male,Y025_029,53144.999999999985
GMB,1996,male,Y030_034,44045.99999999998
GMB,1996,male,Y035_039,35014.000000000015
GMB,1996,male,Y040_044,25667.000000000004
GMB,1996,male,Y045_049,18358
GMB,1996,male,Y050_054,15541.99999999999
GMB,1996,male,Y055_059,13753.000000000007
GMB,1996,male,Y060_064,10839.000000000005
GMB,1996,male,Y065_069,8800.000000000007
GMB,1996,male,Y070_074,6626.000000000001
