iso3,method,simple_method,kp,area_name,area_level,age_group,year,count_lower,count_estimate,count_upper,prop_lower,prop_estimate,prop_upper,denominator,ref,link,dataset_id,dataset,uid,data_checked,source_found,duplicate_of,is_aggregate,study_idx,observation_idx
AGO,PLACE,PLACE/mapping,FSW,Benguela,1,NA,2017,NA,4500,NA,NA,0.01,NA,NA,Mapeamento Programatico E Prevalencia De VIH E Outras Its Entre Populacoes Chave De Angola: Estudo PLACE 2017,NA,NA,Surveillance review,NA,Yes,yes,NA,NA,3,225
ZAF,Unique object,Object multiplier,PWID,Cape Town MM,NA,NA,2017,NA,1347,NA,NA,NA,NA,NA,TipVal 2017,NA,NA,Surveillance review,NA,Yes,yes,NA,NA,239,412
ZAF,Service multiplier,Service multiplier,PWID,Cape Town MM,NA,NA,2017,NA,1688,NA,NA,NA,NA,NA,TipVal 2017,NA,NA,Surveillance review,NA,Yes,yes,NA,NA,239,413
ZAF,SS-PSE,SS-PSE,PWID,Cape Town MM,NA,NA,2017,NA,909,NA,NA,NA,NA,NA,TipVal 2017,NA,KP_Atlas_8387e341e4d6f58810575ac2930bc24b,KP_Atlas,8f8f6038bc6fe061cc54b3f5390d684f,Yes,yes,NA,NA,239,414
ZAF,Event multiplier,Event multiplier,FSW,Cape Town MM,NA,NA,2014,1380,7500,37500,NA,NA,NA,NA,SAHMS,NA,NA,Surveillance review,NA,Yes,yes,NA,NA,243,415
ZAF,Service multiplier,Service multiplier,FSW,Cape Town MM,NA,NA,2014,3153,4579,6869,NA,NA,NA,NA,SAHMS,NA,NA,Surveillance review,NA,Yes,yes,NA,NA,243,416
ZAF,Unique object,Object multiplier,FSW,Cape Town MM,NA,NA,2014,NA,23750,NA,NA,NA,NA,NA,SAHMS,NA,NA,Surveillance review,NA,Yes,yes,NA,NA,243,417
ZAF,Service multiplier,Service multiplier,FSW,Cape Town MM,NA,NA,2014,1708,2551,3585,NA,NA,NA,NA,SAHMS,NA,NA,Surveillance review,NA,Yes,yes,NA,NA,243,418
ZAF,Unique object,Object multiplier,FSW,eThekwini MM,NA,NA,2014,NA,11200,NA,NA,NA,NA,NA,SAHMS,NA,NA,Surveillance review,NA,Yes,yes,NA,NA,243,433
ZAF,Service multiplier,Service multiplier,FSW,eThekwini MM,NA,NA,2014,7379,12840,33879,NA,NA,NA,NA,SAHMS,NA,NA,Surveillance review,NA,Yes,yes,NA,NA,243,434
ZAF,Service multiplier,Service multiplier,FSW,eThekwini MM,NA,NA,2014,5255,9323,17515,NA,NA,NA,NA,SAHMS,NA,NA,Surveillance review,NA,Yes,yes,NA,NA,243,443
ZAF,Event multiplier,Event multiplier,FSW,Johannesburg MM,NA,NA,2014,272,4500,NA,NA,NA,NA,NA,SAHMS,NA,NA,Surveillance review,NA,Yes,yes,NA,NA,243,444
ZAF,Unique object,Object multiplier,FSW,Johannesburg MM,NA,NA,2014,582,10895,25018,NA,NA,NA,NA,SAHMS,NA,NA,Surveillance review,NA,Yes,yes,NA,NA,243,445
BDI,Service multiplier,Service multiplier,FSW,Bujumbura,NA,NA,2021,NA,8799,NA,NA,NA,NA,NA,2021 BBS,NA,NA,Surveillance review,NA,Yes,yes,NA,NA,7,648
BDI,Service multiplier,Service multiplier,FSW,Gitega,NA,NA,2021,NA,1017,NA,NA,NA,NA,NA,2021 BBS,NA,NA,Surveillance review,NA,Yes,yes,NA,NA,7,649
BDI,Service multiplier,Service multiplier,FSW,Rumonge; Makamba,NA,NA,2021,NA,421,NA,NA,NA,NA,NA,2021 BBS,NA,NA,Surveillance review,NA,Yes,yes,NA,NA,7,650
BDI,Service multiplier,Service multiplier,FSW,Ngozi; Kirundo; Muyinga,NA,NA,2021,NA,1416,NA,NA,NA,NA,NA,2021 BBS,NA,NA,Surveillance review,NA,Yes,yes,NA,NA,7,651
BDI,Service multiplier,Service multiplier,FSW,Ngozi; Kirundo; Muyinga,NA,NA,2021,NA,7361,NA,NA,NA,NA,NA,2021 BBS,NA,NA,Surveillance review,NA,Yes,yes,NA,NA,7,652
BDI,Service multiplier,Service multiplier,FSW,Rumonge; Makamba,NA,NA,2021,NA,6000,NA,NA,NA,NA,NA,2021 BBS,NA,NA,Surveillance review,NA,Yes,yes,NA,NA,7,653
BDI,SS-PSE,SS-PSE,FSW,Bujumbura,NA,NA,2021,NA,1563,NA,NA,NA,NA,NA,2021 BBS,NA,NA,Surveillance review,NA,Yes,yes,NA,NA,7,654
BDI,SS-PSE,SS-PSE,FSW,Kirundo,NA,NA,2021,NA,632,NA,NA,NA,NA,NA,2021 BBS,NA,NA,Surveillance review,NA,Yes,yes,NA,NA,7,655
NER,unique object multiplier,Object multiplier,FSW,Agadez,NA,NA,2017,NA,1920,NA,NA,NA,NA,NA,2017 ESDG,NA,NA,Surveillance review,NA,Yes,yes,NA,NA,374,2094
NER,unique object multiplier,Object multiplier,FSW,Maradi,NA,NA,2017,NA,2375,NA,NA,NA,NA,NA,2017 ESDG,NA,NA,Surveillance review,NA,Yes,yes,NA,NA,374,2102
NER,unique object multiplier,Object multiplier,MSM,Maradi,NA,NA,2017,NA,1736,NA,NA,NA,NA,NA,2017 ESDG,NA,NA,Surveillance review,NA,Yes,yes,NA,NA,374,2103
ZAF,Multiple methods - empirical,Multiple methods - empirical,TGW,Eastern Cape,NA,NA,2021,9299,10976,12745,NA,NA,NA,NA,Populations size estimates for Transgender persons in South Africa,NA,NA,Surveillance review,NA,Yes,yes,NA,NA,336,2944
ZAF,Multiple methods - empirical,Multiple methods - empirical,TGW,Free State,NA,NA,2021,2708,3336,4030,NA,NA,NA,NA,Populations size estimates for Transgender persons in South Africa,NA,NA,Surveillance review,NA,Yes,yes,NA,NA,336,2971
ZAF,Multiple methods - empirical,Multiple methods - empirical,TGW,Gauteng,NA,NA,2021,25105,27228,29385,NA,NA,NA,NA,Populations size estimates for Transgender persons in South Africa,NA,NA,Surveillance review,NA,Yes,yes,NA,NA,336,3011
ZMB,Object multiplier,Object multiplier,FSW,Livingstone,NA,NA,2017,1286,1521,1759,NA,NA,NA,NA,2017 IBBS,NA,NA,Surveillance review,NA,Yes,yes,NA,NA,259,3033
ZMB,Object multiplier,Object multiplier,FSW,Lusaka,NA,NA,2017,NA,3333,NA,NA,NA,NA,NA,2017 IBBS,NA,GF_737c3d6602b0657af9dc0c71a16ba317,GF,f5477d3035d91dc488acc05534707ec1,Yes,yes,NA,NA,259,3034
ZMB,Object multiplier,Object multiplier,FSW,Ndola,NA,NA,2017,2708,4148,5591,NA,NA,NA,NA,2017 IBBS,NA,GF_26e3c543403cd5e356cd4f67bb4c1a9b,GF,f8792138190d3fb2ddb4702dab341e82,Yes,yes,NA,NA,259,3054
ZMB,Object multiplier,Object multiplier,FSW,Solwezi,NA,NA,2017,822,941,1063,NA,NA,NA,NA,2017 IBBS,NA,GF_b1263b7d21d4b8cd9a4de7df3801ea2f,GF,a261b3b2c2049aaa44101b4fb43298f1,Yes,yes,NA,NA,259,3057
ZMB,SS-PSE,SS-PSE,FSW,Livingstone,NA,NA,2017,556,872,1447,NA,NA,NA,NA,2017 IBBS,NA,CDC_d57566fe7b48d7d859b4e6538d380e27,CDC,9b62680207f28ca493617fba8eaf82b1,Yes,yes,NA,NA,259,3058
ZMB,SS-PSE,SS-PSE,FSW,Lusaka,NA,NA,2017,4566,4730,5222,NA,NA,NA,NA,2017 IBBS,NA,CDC_206653e712c9a2e27ebede24ec1d08e7,CDC,e628dd249742f8e3c566d0e1cd5eb41e,Yes,yes,NA,NA,259,3061
ZMB,SS-PSE,SS-PSE,FSW,Ndola,NA,NA,2017,812,2093,4628,NA,NA,NA,NA,2017 IBBS,NA,CDC_a1aeb24c55f5eecb753a80f0de2f561c,CDC,b4e88d1acd3215103b6a118991167371,Yes,yes,NA,NA,259,3062
ZAF,Multiple methods - empirical,Multiple methods - empirical,TGW,KwaZulu Natal,NA,NA,2021,7796,9037,10392,NA,NA,NA,NA,Populations size estimates for Transgender persons in South Africa,NA,NA,Surveillance review,NA,Yes,yes,NA,NA,336,3131
ZMB,SS-PSE,SS-PSE,FSW,Solwezi,NA,NA,2017,552,888,1817,NA,NA,NA,NA,2017 IBBS,NA,CDC_010703463dde7afd03c155d1423b6745,CDC,3cfe5152b5aa3fa9b012199e7863631a,Yes,yes,NA,NA,259,3169
ZMB,2S-CRC,2S-CRC,FSW,Chililabombwe,2,NA,2015,NA,881,NA,NA,0.044,NA,NA,Mapping and Size Estimates of Female Sex Workers Populations in the Ten Corridors of Hope III Project Districts in Zambia,NA,CDC_28c444e2715836d007a2f45b09ad6a81,CDC,82f7e38b5cc1ca1114c2ce619109b563,Yes,yes,NA,NA,260,3177
ZMB,2S-CRC,2S-CRC,FSW,Chipata,2,NA,2015,NA,1584,NA,NA,0.053,NA,NA,Mapping and Size Estimates of Female Sex Workers Populations in the Ten Corridors of Hope III Project Districts in Zambia,NA,CDC_2089c52c3de083fbd333f306d6d69a12,CDC,cb732c7f41c497ea5d8988e8d5f75420,Yes,yes,NA,NA,260,3186
ZMB,2S-CRC,2S-CRC,FSW,Chirundu,2,NA,2015,NA,468,NA,NA,0.128,NA,NA,Mapping and Size Estimates of Female Sex Workers Populations in the Ten Corridors of Hope III Project Districts in Zambia,NA,CDC_e77b6734b4fca51addf4d8412e6681b6,CDC,dbf90340b1bdffcfb67e0368e61d108c,Yes,yes,NA,NA,260,3196
ZMB,2S-CRC,2S-CRC,FSW,Kapiri Mposhi,2,NA,2015,NA,629,NA,NA,0.057,NA,NA,Mapping and Size Estimates of Female Sex Workers Populations in the Ten Corridors of Hope III Project Districts in Zambia,NA,CDC_0b4250782675a1a94deb841848b3a982,CDC,e171f34df01d3134c9160c58920e6ddb,Yes,yes,NA,NA,260,3207
ZMB,2S-CRC,2S-CRC,FSW,Katete,2,NA,2015,NA,370,NA,NA,0.069,NA,NA,Mapping and Size Estimates of Female Sex Workers Populations in the Ten Corridors of Hope III Project Districts in Zambia,NA,CDC_8d9dc22de78bb15adf2728b42ead76a3,CDC,3cc6dbed76ae83cf0919c7ed9618c252,Yes,yes,NA,NA,260,3208
ZMB,2S-CRC,2S-CRC,FSW,Kazungula,2,NA,2015,NA,285,NA,NA,0.411,NA,NA,Mapping and Size Estimates of Female Sex Workers Populations in the Ten Corridors of Hope III Project Districts in Zambia,NA,CDC_b74da9f54439d2c699ad59a1d3e22278,CDC,73ad8e18023beae47631683e38c2fe5b,Yes,yes,NA,NA,260,3209
ZMB,2S-CRC,2S-CRC,FSW,Livingstone,2,NA,2015,NA,2227,NA,NA,0.061,NA,NA,Mapping and Size Estimates of Female Sex Workers Populations in the Ten Corridors of Hope III Project Districts in Zambia,NA,CDC_257841a14218266bf4cdcf802ef2e7c0,CDC,8a59d25d0e585e72ec3144ba1ab7e569,Yes,yes,NA,NA,260,3210
ZMB,2S-CRC,2S-CRC,FSW,Nakonde,2,NA,2015,NA,1303,NA,NA,0.126,NA,NA,Mapping and Size Estimates of Female Sex Workers Populations in the Ten Corridors of Hope III Project Districts in Zambia,NA,CDC_be797523dd89889f841b7bedd30a4e2e,CDC,adb3023b1e85e16b93701ad574fb34c7,Yes,yes,NA,NA,260,3213
ZMB,2S-CRC,2S-CRC,FSW,Sesheke,2,NA,2015,NA,586,NA,NA,0.133,NA,NA,Mapping and Size Estimates of Female Sex Workers Populations in the Ten Corridors of Hope III Project Districts in Zambia,NA,CDC_1fdc29b65799ba3c154f8589bac09487,CDC,90f987568d2ac837af2ed8455b9e7f08,Yes,yes,NA,NA,260,3214
ZMB,2S-CRC,2S-CRC,FSW,Solwezi,2,NA,2015,NA,1015,NA,NA,0.043,NA,NA,Mapping and Size Estimates of Female Sex Workers Populations in the Ten Corridors of Hope III Project Districts in Zambia,NA,CDC_af924f75ca80ac5867830b112b555475,CDC,1484ebdb81063fdd09883bbf6e44647d,Yes,yes,NA,NA,260,3215
AGO,Multiplier,Multiplier,FSW,Benguela,NA,NA,2015,2768,3277,3786,NA,NA,NA,NA,"Prevalencia Do VIH, Factores Biologicos E Comportamentais Da Infeccao Entre As Profissionais Do Sexo (MTS) Em Angola",NA,NA,Surveillance review,NA,Yes,yes,NA,NA,2,3461
AGO,Multiplier,Multiplier,FSW,Benguela,NA,NA,2015,5310,5695,6080,NA,NA,NA,NA,"Prevalencia Do VIH, Factores Biologicos E Comportamentais Da Infeccao Entre As Profissionais Do Sexo (MTS) Em Angola",NA,NA,Surveillance review,NA,Yes,yes,NA,NA,2,3462
AGO,Multiplier,Multiplier,FSW,Kilamba Kiaxi,NA,NA,2015,748,994,1240,NA,NA,NA,NA,"Prevalencia Do VIH, Factores Biologicos E Comportamentais Da Infeccao Entre As Profissionais Do Sexo (MTS) Em Angola",NA,NA,Surveillance review,NA,Yes,yes,NA,NA,2,3463
AGO,Multiplier,Multiplier,FSW,Lobito,NA,NA,2015,1364,1767,2170,NA,NA,NA,NA,"Prevalencia Do VIH, Factores Biologicos E Comportamentais Da Infeccao Entre As Profissionais Do Sexo (MTS) Em Angola",NA,NA,Surveillance review,NA,Yes,yes,NA,NA,2,3464
AGO,PLACE/mapping,PLACE/mapping,FSW,Bie,1,NA,2017,NA,4800,NA,NA,0.01,NA,NA,Mapeamento Programático e Prevalência de VIH e outras ITS entre Populações Chave de Angola: Estudo PLACE 2017,NA,NA,Surveillance review,NA,Yes,yes,NA,NA,3,3466
AGO,PLACE/mapping,PLACE/mapping,FSW,Cabinda,1,NA,2017,NA,8100,NA,NA,0.044,NA,NA,Mapeamento Programático e Prevalência de VIH e outras ITS entre Populações Chave de Angola: Estudo PLACE 2017,NA,NA,Surveillance review,NA,Yes,yes,NA,NA,3,3467
AGO,PLACE/mapping,PLACE/mapping,FSW,Cunene,1,NA,2017,NA,1200,NA,NA,0.005,NA,NA,Mapeamento Programático e Prevalência de VIH e outras ITS entre Populações Chave de Angola: Estudo PLACE 2017,NA,NA,Surveillance review,NA,Yes,yes,NA,NA,3,3468
AGO,PLACE/mapping,PLACE/mapping,FSW,Luanda,1,NA,2017,NA,32600,NA,NA,0.018,NA,NA,Mapeamento Programático e Prevalência de VIH e outras ITS entre Populações Chave de Angola: Estudo PLACE 2017,NA,NA,Surveillance review,NA,Yes,yes,NA,NA,3,3469
AGO,PLACE/mapping,PLACE/mapping,MSM,Benguela,1,NA,2017,NA,4300,NA,NA,0.009,NA,NA,Mapeamento Programatico E Prevalencia De VIH E Outras Its Entre Populacoes Chave De Angola: Estudo PLACE 2017,NA,NA,Surveillance review,NA,Yes,yes,NA,NA,3,3470
AGO,PLACE/mapping,PLACE/mapping,MSM,Bie,1,NA,2017,NA,600,NA,NA,0.002,NA,NA,Mapeamento Programático e Prevalência de VIH e outras ITS entre Populações Chave de Angola: Estudo PLACE 2017,NA,NA,Surveillance review,NA,Yes,yes,NA,NA,3,3471
AGO,PLACE/mapping,PLACE/mapping,MSM,Cabinda,1,NA,2017,NA,700,NA,NA,0.004,NA,NA,Mapeamento Programático e Prevalência de VIH e outras ITS entre Populações Chave de Angola: Estudo PLACE 2017,NA,NA,Surveillance review,NA,Yes,yes,NA,NA,3,3472
AGO,PLACE/mapping,PLACE/mapping,MSM,Cunene,1,NA,2017,NA,300,NA,NA,0.002,NA,NA,Mapeamento Programático e Prevalência de VIH e outras ITS entre Populações Chave de Angola: Estudo PLACE 2017,NA,NA,Surveillance review,NA,Yes,yes,NA,NA,3,3473
AGO,PLACE/mapping,PLACE/mapping,MSM,Luanda,1,NA,2017,NA,23100,NA,NA,0.013,NA,NA,Mapeamento Programático e Prevalência de VIH e outras ITS entre Populações Chave de Angola: Estudo PLACE 2017,NA,NA,Surveillance review,NA,Yes,yes,NA,NA,3,3474
AGO,PLACE/mapping,PLACE/mapping,TGW,Benguela,1,NA,2017,NA,120,NA,NA,2.11678e-4,NA,NA,Mapeamento Programatico E Prevalencia De VIH E Outras Its Entre Populacoes Chave De Angola: Estudo PLACE 2017,NA,NA,Surveillance review,NA,Yes,yes,NA,NA,3,3475
AGO,PLACE/mapping,PLACE/mapping,TGW,Bie,1,NA,2017,NA,10,NA,NA,2.65e-5,NA,NA,Mapeamento Programático e Prevalência de VIH e outras ITS entre Populações Chave de Angola: Estudo PLACE 2017,NA,NA,Surveillance review,NA,Yes,yes,NA,NA,3,3476
AGO,PLACE/mapping,PLACE/mapping,TGW,Cabinda,1,NA,2017,NA,120,NA,NA,6.44953e-4,NA,NA,Mapeamento Programático e Prevalência de VIH e outras ITS entre Populações Chave de Angola: Estudo PLACE 2017,NA,NA,Surveillance review,NA,Yes,yes,NA,NA,3,3477
AGO,PLACE/mapping,PLACE/mapping,TGW,Cunene,1,NA,2017,NA,50,NA,NA,1.8261e-4,NA,NA,Mapeamento Programático e Prevalência de VIH e outras ITS entre Populações Chave de Angola: Estudo PLACE 2017,NA,NA,Surveillance review,NA,Yes,yes,NA,NA,3,3478
AGO,PLACE/mapping,PLACE/mapping,TGW,Luanda,1,NA,2017,NA,3020,NA,NA,0.001674347,NA,NA,Mapeamento Programático e Prevalência de VIH e outras ITS entre Populações Chave de Angola: Estudo PLACE 2017,NA,NA,Surveillance review,NA,Yes,yes,NA,NA,3,3479
AGO,Object multiplier,Object multiplier,MSM,Luanda,NA,NA,2011,NA,6236,NA,NA,NA,NA,NA,4. AGO 2011 BBS,NA,CDC_fa4664a86899fb945756ef0a7d7240fb,CDC,c0522595f5d007d1547faff1a5ed3958,Yes,yes,NA,NA,4,3481
BDI,PLACE/mapping,PLACE/mapping,FSW,Burundi,NA,NA,2014,NA,51482,NA,NA,0.024,NA,NA,Burundi PLACE Report 2014,NA,CDC_ce43e3d6d8b0d256c9468236a23ee43b,CDC,d78b67d8cd690e0806ab03e9d18b7d32,Yes,yes,NA,NA,5,3485
BDI,PLACE/mapping,PLACE/mapping,MSM,Burundi,NA,NA,2014,NA,9346,NA,NA,0.004,NA,NA,Burundi PLACE Report 2014,NA,CDC_1ecbc5021c7be2e7a18f6541bb7b9a46,CDC,029de1dd9f26294bb65a47eba0343949,Yes,yes,NA,NA,5,3486
BDI,SS-PSE,SS-PSE,FSW,Makamba,NA,NA,2021,NA,452,NA,NA,NA,NA,NA,2021 BBS,NA,NA,Surveillance review,NA,Yes,yes,NA,NA,7,3522
BDI,SS-PSE,SS-PSE,FSW,Mukungu,NA,NA,2021,NA,463,NA,NA,NA,NA,NA,2021 BBS,NA,NA,Surveillance review,NA,Yes,yes,NA,NA,7,3523
BDI,SS-PSE,SS-PSE,FSW,Gitega,NA,NA,2021,NA,1588,NA,NA,NA,NA,NA,2021 BBS,NA,NA,Surveillance review,NA,Yes,yes,NA,NA,7,3524
BDI,SS-PSE,SS-PSE,FSW,Ngozi,NA,NA,2021,NA,819,NA,NA,NA,NA,NA,2021 BBS,NA,NA,Surveillance review,NA,Yes,yes,NA,NA,7,3525
BDI,SS-PSE,SS-PSE,FSW,Rumonge,NA,NA,2021,NA,668,NA,NA,NA,NA,NA,2021 BBS,NA,NA,Surveillance review,NA,Yes,yes,NA,NA,7,3526
BDI,SS-PSE,SS-PSE,FSW,Muyinga,NA,NA,2021,NA,642,NA,NA,NA,NA,NA,2021 BBS,NA,NA,Surveillance review,NA,Yes,yes,NA,NA,7,3527
BDI,Service multiplier,Service multiplier,MSM,Bujumbura,NA,NA,2021,NA,6452,NA,NA,NA,NA,NA,2021 BBS,NA,NA,Surveillance review,NA,Yes,yes,NA,NA,7,3532
BDI,SS-PSE,SS-PSE,MSM,Bujumbura,NA,NA,2021,NA,879,NA,NA,NA,NA,NA,2021 BBS,NA,NA,Surveillance review,NA,Yes,yes,NA,NA,7,3555
BDI,SS-PSE,SS-PSE,MSM,Kirundo,NA,NA,2021,NA,458,NA,NA,NA,NA,NA,2021 BBS,NA,NA,Surveillance review,NA,Yes,yes,NA,NA,7,3556
BDI,SS-PSE,SS-PSE,MSM,Makamba,NA,NA,2021,NA,126,NA,NA,NA,NA,NA,2021 BBS,NA,NA,Surveillance review,NA,Yes,yes,NA,NA,7,3557
BDI,SS-PSE,SS-PSE,MSM,Mukungu,NA,NA,2021,NA,440,NA,NA,NA,NA,NA,2021 BBS,NA,NA,Surveillance review,NA,Yes,yes,NA,NA,7,3558
BDI,SS-PSE,SS-PSE,MSM,Gitega,NA,NA,2021,NA,962,NA,NA,NA,NA,NA,2021 BBS,NA,NA,Surveillance review,NA,Yes,yes,NA,NA,7,3559
BDI,SS-PSE,SS-PSE,MSM,Ngozi,NA,NA,2021,NA,342,NA,NA,NA,NA,NA,2021 BBS,NA,NA,Surveillance review,NA,Yes,yes,NA,NA,7,3560
BDI,SS-PSE,SS-PSE,MSM,Rumonge,NA,NA,2021,NA,541,NA,NA,NA,NA,NA,2021 BBS,NA,NA,Surveillance review,NA,Yes,yes,NA,NA,7,3561
BDI,SS-PSE,SS-PSE,MSM,Muyinga,NA,NA,2021,NA,412,NA,NA,NA,NA,NA,2021 BBS,NA,NA,Surveillance review,NA,Yes,yes,NA,NA,7,3562
BDI,Service multiplier,Service multiplier,PWID,Bujumbura,NA,NA,2021,NA,4215,NA,NA,NA,NA,NA,2021 BBS,NA,NA,Surveillance review,NA,Yes,yes,NA,NA,7,3567
BDI,Service multiplier,Service multiplier,PWID,Bujumbura,NA,NA,2021,NA,7556,NA,NA,NA,NA,NA,2021 BBS,NA,NA,Surveillance review,NA,Yes,yes,NA,NA,7,3568
BDI,Service multiplier,Service multiplier,PWID,Bujumbura,NA,NA,2021,NA,5667,NA,NA,NA,NA,NA,2021 BBS,NA,NA,Surveillance review,NA,Yes,yes,NA,NA,7,3569
BEN,Object multiplier,Object multiplier,TGW,Abomey-Calavi,NA,NA,2020,NA,98,NA,NA,NA,NA,NA,"ENQUETE BIO-COMPORTEMENTALE, CARTOGRAPHIE ET ESTIMATION DE LA TAILLE DES TRANSGENRES AU BENIN, 2020",NA,NA,Surveillance review,NA,Yes,yes,NA,NA,22,3597
BEN,Object multiplier,Object multiplier,TGW,Bohicon,NA,NA,2020,NA,333,NA,NA,NA,NA,NA,"ENQUETE BIO-COMPORTEMENTALE, CARTOGRAPHIE ET ESTIMATION DE LA TAILLE DES TRANSGENRES AU BENIN, 2020",NA,NA,Surveillance review,NA,Yes,yes,NA,NA,22,3598
BEN,Object multiplier,Object multiplier,TGW,Cotonou,NA,NA,2020,NA,686,NA,NA,NA,NA,NA,"ENQUETE BIO-COMPORTEMENTALE, CARTOGRAPHIE ET ESTIMATION DE LA TAILLE DES TRANSGENRES AU BENIN, 2020",NA,NA,Surveillance review,NA,Yes,yes,NA,NA,22,3599
BEN,Object multiplier,Object multiplier,TGW,Ouidah,NA,NA,2020,NA,54,NA,NA,NA,NA,NA,"ENQUETE BIO-COMPORTEMENTALE, CARTOGRAPHIE ET ESTIMATION DE LA TAILLE DES TRANSGENRES AU BENIN, 2020",NA,NA,Surveillance review,NA,Yes,yes,NA,NA,22,3600
BEN,Object multiplier,Object multiplier,TGW,Parakou,NA,NA,2020,NA,393,NA,NA,NA,NA,NA,"ENQUETE BIO-COMPORTEMENTALE, CARTOGRAPHIE ET ESTIMATION DE LA TAILLE DES TRANSGENRES AU BENIN, 2020",NA,NA,Surveillance review,NA,Yes,yes,NA,NA,22,3601
