iso3,indicator,method,simple_method,kp,area_name,area_level,age_group,year,count_lower,count_estimate,count_upper,prop_lower,prop_estimate,prop_upper,denominator,ref,link,dataset_id,dataset,uid,data_checked,source_found,duplicate_of,is_aggregate,ethic,study_idx,observation_idx
ZAF,prevalence,lab,lab,MSM,Ehlanzeni DM,NA,NA,2012,NA,NA,NA,0.091,0.137,0.196,259,Lane et al,NA,CDC_fe722391cc77c6b9fc2dbae29c567392,CDC,cfa34b506111fe1522fcf7042e850ded,Yes,yes,NA,NA,NA,242,261
ZAF,prevalence,lab,lab,MSM,Gert Sibande DM,NA,Y015_049,2012,NA,NA,NA,0.21100000000000002,0.283,0.353,295,Lane et al,NA,KP Atlas_78c39931c851fe6e841c2c78a346ad6e,KP Atlas,86b1c07a98b6415fa34faf5cd3d3ca92,Yes,yes,NA,NA,NA,242,264
ZAF,prevalence,lab,lab,MSM,Cape Town,NA,NA,2012,NA,NA,NA,0.147,0.223,0.301,339,Marang Men's Study,NA,CDC_6a2a42213f50d8ce04cc1f4b855e9f74,CDC,01edca834d2f39d8b4831c90324aaab1,Yes,yes,NA,NA,NA,241,265
ZAF,prevalence,lab,lab,MSM,Johannesburg,NA,NA,2012,NA,NA,NA,0.204,0.268,0.356,280,Marang Men's Study,NA,CDC_31a51d40ded43d31a06d4093c81f687f,CDC,0c13ca2165ae0f8dc74001eef1f027e5,Yes,yes,NA,NA,NA,241,267
ZAF,prevalence,lab,lab,MSM,Durban,NA,NA,2012,NA,NA,NA,0.379,0.482,0.554,287,Marang Men's Study (2014),NA,CDC_32b8d6b542a25734000c910d1e5d90d6,CDC,94070c04b795ddc14f8f7cd9e3609bdc,Yes,yes,NA,NA,NA,241,299
ZAF,prevalence,lab,lab,MSM,Cape Town,NA,NA,2012,NA,NA,NA,NA,0.44,NA,200,Rebe et al 2015,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0138315#sec013,NA,Surveillance review,NA,Yes,yes,NA,NA,NA,253,314
AGO,prevalence,lab,lab,MSM,Benguela,NA,NA,2017,NA,NA,NA,0,0.03,0.05,256,Mapeamento Programatico E Prevalencia De VIH E Outras Its Entre Populacoes Chave De Angola: Estudo PLACE 2017,NA,CDC_4593e9347fcfb113d986bfaee0796a4f,CDC,bc951fa36d6bc345735de79352b2aa3c,Yes,yes,NA,NA,NA,3,315
ZAF,prevalence,lab,lab,PWID,Cape Town,NA,NA,2017,NA,NA,NA,0.077,0.114,0.152,348,TipVal 2017,NA,NA,Surveillance review,NA,Yes,yes,NA,NA,NA,239,383
ZAF,prevalence,lab,lab,PWID,Cape Town,NA,NA,2017,NA,NA,NA,NA,0.066445183,NA,301,Scheibe et al (2019),NA,NA,Surveillance review,NA,Yes,yes,NA,NA,NA,240,384
ZAF,prevalence,lab,lab,PWID,Cape Town,NA,NA,2017,NA,NA,NA,NA,0.07,NA,252,Scheibe et al (2019),https://harmreductionjournal.biomedcentral.com/articles/10.1186/s12954-019-0298-2#Sec4,NA,Surveillance review,NA,Yes,yes,NA,NA,NA,240,385
ZAF,prevalence,lab,lab,PWID,Cape Town,NA,NA,2017,NA,NA,NA,NA,0.09,NA,49,Scheibe et al (2019),https://harmreductionjournal.biomedcentral.com/articles/10.1186/s12954-019-0298-2#Sec5,NA,Surveillance review,NA,Yes,yes,NA,NA,NA,240,386
ZAF,prevalence,lab,lab,TGW,Cape Town,NA,NA,2017,NA,NA,NA,NA,0.571428571,NA,21,Jobson et al,https://www.tandfonline.com/doi/full/10.1080/09540121.2018.1465175?scroll=top&needAccess=true,NA,Surveillance review,NA,Yes,yes,NA,NA,NA,245,392
ZAF,prevalence,lab,NA,FSW,Cape Town,NA,Y015_049,2013,NA,NA,NA,0.301,0.397,0.498,649,UCSF (2015): South Africa Health Monitoring Study (SAHMS),NA,CDC_b96a9851923906adcbc12e681cbf0d34,CDC,5e88833c6b71a883c5d41a1f7104c73b,Yes,yes,NA,NA,NA,243,393
ZAF,prevalence,lab,NA,FSW,Durban,NA,Y015_049,2013,NA,NA,NA,0.375,0.535,0.656,741,UCSF (2015): South Africa Health Monitoring Study (SAHMS),NA,CDC_e9123663c54541d6e9c0fa40b678ac06,CDC,436bdb7a6eed03b06c6a37eac72df520,Yes,yes,NA,NA,NA,243,394
ZAF,prevalence,lab,NA,FSW,Johannesburg,NA,Y015_049,2013,NA,NA,NA,0.565,0.718,0.812,762,UCSF (2015): South Africa Health Monitoring Study (SAHMS),NA,CDC_277f6990a0c6569764c3752d3729fba4,CDC,6e25c6537fccdefadcbb871660dbe78b,Yes,yes,NA,NA,NA,243,404
ZAF,prevalence,lab,lab,FSW,Johannesburg,NA,NA,2014,NA,NA,NA,0.69,0.751,0.801,249,Black et al,https://sti.bmj.com/content/92/7/495,NA,Surveillance review,NA,Yes,yes,NA,NA,NA,256,405
ZAF,prevalence,lab,lab,TGW,Cape Town/Port Elizabeth,NA,NA,2016,NA,NA,NA,NA,0.590909091,NA,22,Sullivan et al,https://www.ncbi.nlm.nih.gov/labs/pmc/articles/PMC7527763/,NA,Surveillance review,NA,Yes,yes,NA,NA,NA,247,423
ZAF,prevalence,lab,lab,PWID,Durban,NA,NA,2017,NA,NA,NA,NA,0.169811321,NA,318,Scheibe et al (2019),NA,NA,Surveillance review,NA,Yes,yes,NA,NA,NA,240,440
ZAF,prevalence,lab,lab,PWID,Durban,NA,NA,2017,NA,NA,NA,NA,0.15,NA,287,Scheibe et al (2019),https://harmreductionjournal.biomedcentral.com/articles/10.1186/s12954-019-0298-2#Sec6,NA,Surveillance review,NA,Yes,yes,NA,NA,NA,240,441
ZAF,prevalence,lab,lab,PWID,Durban,NA,NA,2017,NA,NA,NA,NA,0.39,NA,31,Scheibe et al (2019),https://harmreductionjournal.biomedcentral.com/articles/10.1186/s12954-019-0298-2#Sec7,NA,Surveillance review,NA,Yes,yes,NA,NA,NA,240,442
AGO,prevalence,lab,lab,FSW,Benguela,NA,NA,2017,NA,NA,NA,0.02,0.05,0.07,343,Mapeamento Programatico E Prevalencia De VIH E Outras Its Entre Populacoes Chave De Angola: Estudo PLACE 2017,NA,CDC_e1c872aeeef88173025df03e760ce1c4,CDC,e9b7a13b92c7531c985bb03ef836598a,Yes,yes,NA,NA,NA,3,579
AGO,prevalence,lab,lab,MSM,Bie,NA,NA,2017,NA,NA,NA,0.1,0.07,0.12,68,Mapeamento Programatico E Prevalencia De VIH E Outras Its Entre Populacoes Chave De Angola: Estudo PLACE 2017,NA,NA,Surveillance review,NA,Yes,yes,NA,NA,NA,3,580
AGO,prevalence,lab,lab,FSW,Bie,NA,NA,2017,NA,NA,NA,0.06,0.12,0.18,340,Mapeamento Programatico E Prevalencia De VIH E Outras Its Entre Populacoes Chave De Angola: Estudo PLACE 2017,NA,NA,Surveillance review,NA,Yes,yes,NA,NA,NA,3,581
AGO,prevalence,lab,lab,MSM,Cabinda,NA,NA,2017,NA,NA,NA,0,0.03,0.09,39,Mapeamento Programatico E Prevalencia De VIH E Outras Its Entre Populacoes Chave De Angola: Estudo PLACE 2017,NA,NA,Surveillance review,NA,Yes,yes,NA,NA,NA,3,582
AGO,prevalence,lab,lab,FSW,Cabinda,NA,NA,2017,NA,NA,NA,0.03,0.06,0.1,184,Mapeamento Programatico E Prevalencia De VIH E Outras Its Entre Populacoes Chave De Angola: Estudo PLACE 2017,NA,NA,Surveillance review,NA,Yes,yes,NA,NA,NA,3,583
AGO,prevalence,lab,lab,MSM,Cunene,NA,NA,2017,NA,NA,NA,0,0.02,0.05,196,Mapeamento Programatico E Prevalencia De VIH E Outras Its Entre Populacoes Chave De Angola: Estudo PLACE 2017,NA,NA,Surveillance review,NA,Yes,yes,NA,NA,NA,3,584
AGO,prevalence,lab,lab,FSW,Cunene,NA,NA,2017,NA,NA,NA,0.03,0.05,0.07,506,Mapeamento Programatico E Prevalencia De VIH E Outras Its Entre Populacoes Chave De Angola: Estudo PLACE 2017,NA,NA,Surveillance review,NA,Yes,yes,NA,NA,NA,3,585
AGO,prevalence,lab,lab,TGW,Angola,NA,NA,2017,NA,NA,NA,NA,0.09,NA,89,Mapeamento Programatico E Prevalencia De VIH E Outras Its Entre Populacoes Chave De Angola: Estudo PLACE 2017,NA,NA,Surveillance review,NA,Yes,yes,NA,NA,NA,3,587
AGO,prevalence,lab,lab,MSM,Luanda,NA,NA,2017,NA,NA,NA,0,0.02,0.03,457,Mapeamento Programático e Prevalência de VIH e outras ITS entre Populações Chave de Angola: Estudo PLACE 2017,NA,KP Atlas_7813c95626aa1baa5077fb6500fc8fa2,KP Atlas,20c68c8ee3c8844f9b9f8821b2afcc12,Yes,yes,NA,NA,NA,3,588
AGO,prevalence,lab,lab,FSW,Luanda,NA,NA,2017,NA,NA,NA,0.05,0.08,0.11,503,Mapeamento Programático e Prevalência de VIH e outras ITS entre Populações Chave de Angola: Estudo PLACE 2017,NA,KP Atlas_79c56e7c7ab41d23c004f21c9e69eda7,KP Atlas,63e606ed2a16242fa3e71e47048422f6,Yes,yes,NA,NA,NA,3,589
AGO,prevalence,lab,lab,FSW,Namacunde,NA,Y015_024,2010,NA,NA,NA,NA,0.0812,NA,431,365. AGO Fidel,https://scholarworks.gsu.edu/cgi/viewcontent.cgi?article=1384&context=iph_theses,GF_669309938399ad5fdcab38da1e5d9338,GF,447dc7667ab33f6f9cadca02783fb75f,Yes,yes,NA,NA,NA,365,592
AGO,prevalence,lab,lab,MSM,Luanda,NA,NA,2011,NA,NA,NA,0.013,0.037,0.066,328,4. AGO 2011 BBS,NA,CDC_fec9345dafe2f3f21c03cef658515fdd,CDC,0f03019f9b689ec1c3a0a82ffb0f32a7,Yes,yes,NA,NA,NA,4,597
BDI,prevalence,lab,lab,FSW,Burundi,NA,NA,2014,NA,NA,NA,NA,0.213,NA,429,Burundi PLACE Report,NA,CDC_46f4349d3b38886a58d3def611d5c54d,CDC,eb04e7ac7cddd308897c07de6221ea45,Yes,yes,NA,NA,NA,5,616
BDI,prevalence,lab,lab,MSM,Burundi,NA,NA,2014,NA,NA,NA,NA,0.048,NA,290,Burundi PLACE Report,NA,CDC_4dbd026185d67867a7ba612a699db934,CDC,a361e2c8d50b93ef0ea1e602ec428d7f,Yes,yes,NA,NA,NA,5,617
BDI,prevalence,lab,lab,PWID,Burundi,NA,NA,2017,NA,NA,NA,NA,0.102,NA,127,Platt et al,https://pubmed.ncbi.nlm.nih.gov/30809876/,KP Atlas_e052a8115f2f7d45898d02c6ff80081a,KP Atlas,8fe34bbe34ed65fa1a7c7a6e6f9c99b1,Yes,yes,NA,NA,NA,6,632
UGA,prevalence,lab,Lab,PWID,Uganda,NA,NA,2019,NA,NA,NA,NA,0.45,NA,511,Platt et al,https://pubmed.ncbi.nlm.nih.gov/30809876/,NA,Surveillance review,NA,Yes,yes,NA,NA,NA,6,640
BDI,prevalence,lab,lab,FSW,"Bujumbura Mairie, Bujumbura Rural, Bubanza, Cibitoke, Muramvya, Mwaro",NA,NA,2021,NA,NA,NA,NA,0.382,NA,498,2021 BBS,NA,NA,Surveillance review,NA,Yes,yes,NA,NA,NA,7,644
